Limpopo: Elias Motsoaledi(LIM472) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,20449606,0,30000000,24500000,1628254,1866850,1301271,4796375,1819458,1852670,1826246,5498374,2504081,1364915,979465,4848461,1580677,2008663,1537032,5126372,20269582,30000001,-9730419,-32.43,24500000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,53899203,0,55300000,63450000,4675179,4832590,4770549,14278318,5094434,4614672,5033882,14742988,5254872,5453278,4310076,15018226,5654736,3803416,1685460,11143612,55183144,55300001,-116857,-0.21,63450000
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,2721392,0,5188000,3914000,276661,277130,277125,830916,296196,301055,296656,893907,292872,299578,299322,891772,279272,298066,290883,868221,3484816,5188000,-1703184,-32.83,3914000
Service charges - other,,0,0,2561000,445000,35390,23722,28422,87534,36097,23835,26239,86171,53692,32384,0,86076,6814,0,16737,23551,283332,2560999,-2277667,-88.94,445000
Rental of facilities and equipment,,1124658,0,1055000,3060000,63579,836460,81423,981462,64871,67025,64737,196633,155797,149166,87544,392507,80416,39044,77822,197282,1767884,1055001,712883,67.57,3060000
Interest earned - external investments,,3597940,0,2800000,4260000,359108,443525,723510,1526143,723773,-602566,38284,159491,519586,225153,189134,933873,319509,151745,159086,630340,3249847,2800001,449846,16.07,4260000
Interest earned - outstanding debtors,,5224936,0,5000000,7000000,417703,463570,501663,1382936,978881,428317,49392,1456590,655368,413675,488059,1557102,489829,419212,529903,1438944,5835572,5000002,835570,16.71,7000000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,1666250,0,610000,610000,23542,33850,18100,75492,26000,50025,13850,89875,51300,59150,61075,171525,38450,38675,31470,108595,445487,609999,-164512,-26.97,610000
Licences and permits,,4699395,0,5647500,6000000,0,531157,531660,1062817,517355,533958,444933,1496246,871030,439280,0,1310310,481301,480700,415475,1377476,5246849,5647503,-400654,-7.09,6000000
Agency services,,2623479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,146878000,0,170641000,170641000,66140400,84410,42115,66266925,1533943,55962143,0,57496086,1039837,276466,45646437,46962740,566302,312056,233835,1112193,171837944,170641000,1196944,0.7,170641000
Other own revenue,,2209864,0,1315100,1342900,48675,265611,19999,334285,531383,221245,-653302,99326,48291,116811,217522,382624,50277,22913,156507,229697,1045932,1315100,-269168,-20.47,1342900
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,245094723,0,280117600,285222900,73668491,9658875,8295837,91623203,11622391,63452379,7140917,82215687,11446726,8829856,52278634,72555216,9547583,7574490,5134210,22256283,268650389,280117607,-11467218,-4.093715537131517,285222900
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,87145982,0,97177379,93608856,6940887,6936902,6987630,20865419,7120033,7070678,11317000,25507711,7289270,6897452,7699167,21885889,10748931,6546343,7998666,25293940,93552959,97177381,-3624422,-3.73,93608856
