Limpopo: Makhuduthamaga(LIM473) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,43986731,0,35616305,29843789,2472899,2472899,2472899,7418697,2472899,2472899,2472899,7418697,2472899,2472899,2514566,7460364,2514566,2514566,2514566,7543698,29841456,35616306,-5774850,-16.21,29843789
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,75369,0,72600,82600,3000,19575,0,22575,0,0,0,0,3528,5804,3523,12855,8287,8287,7184,23758,59188,72600,-13412,-18.47,82600
Interest earned - external investments,,7827305,0,11397643,11547643,590319,766807,804521,2161647,695551,620458,516194,1832203,577016,613542,268342,1458900,1598707,1598707,2132673,5330087,10782837,11397643,-614806,-5.39,11547643
Interest earned - outstanding debtors,,12455292,0,10361493,16361493,1267223,1295904,1283041,3846168,1389371,1374962,1449794,4214127,1480606,1366293,1544119,4391018,242390,242390,1544869,2029649,14480962,10361493,4119469,39.76,16361493
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,156030,0,2500000,500000,3800,6650,18025,28475,9575,13175,16675,39425,7000,11400,3000,21400,1850,1850,5525,9225,98525,2500000,-2401475,-96.06,500000
Licences and permits,,4038872,0,5565352,4565352,417101,350861,342022,1109984,367863,298346,314284,980493,398674,346391,395619,1140684,376319,376319,370938,1123576,4354737,5565352,-1210615,-21.75,4565352
Agency services,,0,0,0,0,0,0,0,0,187342,0,0,187342,0,0,0,0,0,0,0,0,187342,,187342,0,0
Transfers recognised - operational,,162144001,0,185336000,185336000,72363784,1347000,0,73710784,0,158730,49969049,50127779,204937,870344,49459604,50534885,87644,87644,87644,262932,174636380,185336000,-10699620,-5.77,185336000
Other own revenue,,2226641,0,1430000,1230000,147564,5772370,39000,5958934,10088,154591,4386,169065,30990,119475,88092,238557,38771,38771,38914,116456,6483012,1430000,5053012,353.36,1230000
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,232910241,0,252279393,249466877,77265690,12032066,4959508,94257264,5132689,5093161,54743281,64969131,5175650,5806148,54276865,65258663,4868534,4868534,6702313,16439381,240924439,252279394,-11354955,-4.500944298288587,249466877
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,43738747,0,63225262,54320811,3842302,3858778,3780278,11481358,3978597,3690449,3790080,11459126,3979537,3961138,3958694,11899369,3634321,3634321,3658545,10927187,45767040,63225264,-17458224,-27.61,54320811
Remuneration of councillors,,16688275,0,18373380,18462919,1377706,1381138,1378517,4137361,1363914,1388702,1397252,4149868,1384142,1381855,1390084,4156081,2148609,2148609,1471932,5769150,18212460,18373380,-160920,-0.88,18462919
Debt impairment,,36155334,0,1637591,18935152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1637591,-1637591,-100,18935152
Depreciation and asset impairment,,10955840,0,15105200,12407721,1146959,1266939,1282266,3696164,1166000,1166000,0,2332000,992880,728410,989845,2711135,1017427,1017427,989657,3024511,11763810,15105204,-3341394,-22.12,12407721
Finance charges,,283366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Bulk purchases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other Materials,,0,0,0,0,0,0,0,0,707452,0,0,707452,0,0,0,0,0,0,0,0,707452,,707452,0,0
Contracted services,,28483939,0,35711560,45904860,1756964,1145551,1264786,4167301,21802,1097771,302170,1421743,2824694,8770451,2564470,14159615,3348081,3348081,8788967,15485129,35233788,35711556,-477768,-1.34,45904860
Transfers and grants,,0,0,0,0,0,0,0,0,0,0,0,0,91926,0,217893,309819,0,0,0,0,309819,,309819,0,0
Other expenditure,,41566670,0,56806182,57725668,4330988,2805653,4958507,12095148,3101897,3049565,3334420,9485882,2593905,2460888,4075339,9130132,2371681,2371681,2926657,7670019,38381181,56806179,-18424998,-32.43,57725668
Loss on disposal of PPE,,17909314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,195781485,0,190859175,207757131,12454919,10458059,12664354,35577332,10339662,10392487,8823922,29556071,11867084,17302742,13196325,42366151,12520119,12520119,17835758,42875996,150375550,190859174,-40483624,-21.21125390598201,207757131
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,37128756,0,61420218,41709746,64810771,1574007,-7704846,58679932,-5206973,-5299326,45919359,35413060,-6691434,-11496594,41080540,22892512,-7651585,-7651585,-11133445,-26436615,90548889,61420220,29128669,47.42521111125945,41709746
Transfers recognised - capital,,41539106,0,57452000,57452000,21277000,0,0,21277000,0,0,0,0,3946748,6295524,0,10242272,6902784,6902784,8436269,22241837,53761109,57452000,-3690891,-6.42,57452000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
