Limpopo: Fetakgomo(LIM474) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,9114916,0,9000000,9000000,803991,803991,803991,2411973,803991,806991,803991,2414973,803991,803991,803991,2411973,803991,803903,0,1607894,8846813,9000000,-153187,-1.7,9000000
Property rates - penalties and collection charges,,335556,0,22472,22472,0,-2905,7853,4948,14843,21870,28679,65392,33254,42486,0,75740,0,8612,0,8612,154692,22472,132220,588.38,22472
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,0,0,3420000,3420000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3420000,-3420000,-100,3420000
Service charges - other,,4133259,0,187029,364029,456590,364466,347095,1168151,381948,80363,6062,468373,390721,358050,37792,786563,37792,49582,0,87374,2510461,187029,2323432,1242.28,364029
Rental of facilities and equipment,,146609,0,271320,247320,2413,329,658,3400,21051,20310,526,41887,20523,15558,7318,43399,7318,1754,0,9072,97758,271320,-173562,-63.97,247320
Interest earned - external investments,,0,0,1550000,1550000,0,0,0,0,56234,58109,114343,228686,394694,58109,67481,520284,67481,648868,58000,774349,1523319,1550000,-26681,-1.72,1550000
Interest earned - outstanding debtors,,1016170,0,74158,34158,0,51525,58109,109634,0,0,37079,37079,0,0,0,0,0,0,0,0,146713,74158,72555,97.84,34158
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,1129443,0,550000,550000,68601,53026,38718,160345,38504,27717,26427,92648,28602,20191,281191,329984,281191,17324,0,298515,881492,550000,331492,60.27,550000
Licences and permits,,1765589,0,2000000,2000000,180061,166466,138877,485404,140528,145803,3409,289740,318374,165394,188204,671972,188204,0,0,188204,1635320,2000000,-364680,-18.23,2000000
Agency services,,321489,0,550000,350000,0,0,0,0,87670,0,0,87670,80651,62380,44248,187279,44248,0,0,44248,319197,550000,-230803,-41.96,350000
Transfers recognised - operational,,56485570,0,68361520,69272574,25606681,2435564,475082,28517327,411814,1774060,21700288,23886162,337445,484777,15420181,16242403,15420181,504869,908711,16833761,85479653,68361520,17118133,25.04,69272574
Other own revenue,,276161,0,4005400,4035400,1223193,95870,623413,1942476,236874,784044,423533,1444451,434327,359202,561320,1354849,561320,13,0,561333,5303109,4005400,1297709,32.4,4035400
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,74724762,0,89991899,90845953,28341530,3968332,2493796,34803658,2193457,3719267,23144337,29057061,2842582,2370138,17411726,22624446,17411726,2034925,966711,20413362,106898527,89991899,16906628,18.78683324595695,90845953
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,30649118,0,34682576,34247636,2635603,2991174,2650463,8277240,2681386,2937852,2450087,8069325,2594186,2727603,2640331,7962120,2640331,2280792,3697614,8618737,32927422,34682576,-1755154,-5.06,34247636
Remuneration of councillors,,8182621,0,8102030,8304840,654595,650992,666881,1972468,667616,681838,688478,2037932,658810,1052197,674357,2385364,674357,595509,696561,1966427,8362191,8102030,260161,3.21,8304840
Debt impairment,,0,0,10352000,10352000,0,0,0,0,2588000,666667,1333333,4588000,0,0,3333333,3333333,3333333,333,1714000,5047666,12968999,10352000,2616999,25.28,10352000
Depreciation and asset impairment,,2453066,0,4000000,5000000,333333,0,0,333333,999999,333333,603666,1936998,0,0,2416666,2416666,2416666,0,850001,3266667,7953664,4000000,3953664,98.84,5000000
Finance charges,,0,0,93000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93000,-93000,-100,0
Bulk purchases,,0,0,1700000,1700000,0,0,0,0,0,269990,0,269990,263844,0,0,263844,0,387880,0,387880,921714,1700000,-778286,-45.78,1700000
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64740,89718,154458,154458,,154458,0,0
Contracted services,,3069680,0,3000000,3200000,262814,263120,262814,788748,158769,447969,289691,896429,288472,335,0,288807,0,267273,0,267273,2241257,3000000,-758743,-25.29,3200000
Transfers and grants,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other expenditure,,26270390,0,25543161,20188527,1962233,2484764,1987367,6434364,1648715,1356621,1687463,4692799,1831350,2291768,2952195,7075313,2952195,2741743,3049230,8743168,26945644,25543161,1402483,5.49,20188527
Loss on disposal of PPE,,0,0,0,8826636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,8826636
Total Expenditure,,70624875,0,87472767,91819639,5848578,6390050,5567525,17806153,8744485,6694270,7052718,22491473,5636662,6071903,12016882,23725447,12016882,6338270,10097124,28452276,92475349,87472767,5002582,5.719016525451859,91819639
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,4099887,0,2519132,-973686,22492952,-2421718,-3073729,16997505,-6551028,-2975003,16091619,6565588,-2794080,-3701765,5394844,-1101001,5394844,-4303345,-9130413,-8038914,14423178,2519132,11904046,472.5455434649713,-973686
Transfers recognised - capital,,17205844,0,0,20352480,0,94865,1195585,1290450,869296,0,0,869296,0,3178133,9122834,12300967,9122834,1309880,0,10432714,24893427,20532480,4360947,21.24,20352480
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,21305731,0,2519132,19378794,22492952,-2326853,-1878144,18287955,-5681732,-2975003,16091619,7434884,-2794080,-523632,14517678,11199966,14517678,-2993465,-9130413,2393800,39316605,23051612,16264993,70.55902641429155,19378794
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,21305731,0,2519132,19378794,22492952,-2326853,-1878144,18287955,-5681732,-2975003,16091619,7434884,-2794080,-523632,14517678,11199966,14517678,-2993465,-9130413,2393800,39316605,23051612,16264993,70.55902641429155,19378794
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,21305731,0,2519132,19378794,22492952,-2326853,-1878144,18287955,-5681732,-2975003,16091619,7434884,-2794080,-523632,14517678,11199966,14517678,-2993465,-9130413,2393800,39316605,23051612,16264993,70.55902641429155,19378794
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,21305731,0,2519132,19378794,22492952,-2326853,-1878144,18287955,-5681732,-2975003,16091619,7434884,-2794080,-523632,14517678,11199966,14517678,-2993465,-9130413,2393800,39316605,23051612,16264993,70.55902641429155,19378794
