Limpopo: Greater Tubatse(LIM475) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,0,0,0,54820000,22451323,4755017,4711776,31918116,4714456,4710251,4710251,14134958,0,4710251,5028012,9738263,4840856,5080113,5260668,15181637,70972974,54820000,16152974,29.47,54820000
Property rates - penalties and collection charges,,0,0,0,4000000,491035,508030,646438,1645503,653690,649508,659133,1962331,0,667621,661620,1329241,663168,680595,677898,2021661,6958736,4000000,2958736,73.97,4000000
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,0,0,0,5160000,720917,733126,726487,2180530,727285,722264,726161,2175710,0,715518,742821,1458339,728922,729324,731839,2190085,8004664,5160000,2844664,55.13,5160000
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-322638,-322638,-322638,,-322638,0,0
Rental of facilities and equipment,,0,0,0,650000,47272,49173,47272,143717,21172,53737,35479,110388,0,35479,35479,70958,19843,19843,19843,59529,384592,650000,-265408,-40.83,650000
Interest earned - external investments,,0,0,0,3392000,0,143756,0,143756,149167,0,0,149167,0,0,0,0,0,21284953,0,21284953,21577876,3392000,18185876,536.14,3392000
Interest earned - outstanding debtors,,0,0,0,450000,83197,87759,86043,256999,88761,23628,93876,206265,0,95697,95049,190746,96375,98284,99523,294182,948192,450000,498192,110.71,450000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,0,0,0,300500,11800,22910,60375,95085,26700,21400,19221,67321,0,8900,15600,24500,28250,20098,27883,76231,263137,300500,-37363,-12.43,300500
Licences and permits,,0,0,0,8585000,1267946,39105,559595,1866646,83036,701870,567815,1352721,0,1174801,67603,1242404,563965,677460,84015,1325440,5787211,8585000,-2797789,-32.59,8585000
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,0,0,0,324293000,73997000,1480000,0,75477000,31412000,4097000,30582000,66091000,0,29556,111354203,111383759,409000,52043,52380,513423,253465182,324293000,-70827818,-21.84,324293000
Other own revenue,,0,0,0,1317000,32816,68074,42609,143499,179273,74246,36622,290141,0,136328,124327,260655,260095,90323,230085,580503,1274798,,1274798,0,1317000
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,0,0,0,402967500,99103306,7886950,6880595,113870851,38055540,11053904,37430558,86540002,0,7574151,118124714,125698865,7610474,28733036,6861496,43205006,369314724,401650500,-32335776,-8.050724697218104,402967500
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,0,0,0,105646399,7650698,7415848,7400060,22466606,7890584,7701972,8849899,24442455,0,7138432,7281667,14420099,-8202268,7221279,7633139,6652150,67981310,105646399,-37665089,-35.65,105646399
Remuneration of councillors,,0,0,0,17034360,1477152,1414309,1414309,4305770,1452994,1433643,1460322,4346959,0,1420907,1420907,2841814,-1998836,2265454,1512502,1779120,13273663,17034360,-3760697,-22.08,17034360
Debt impairment,,0,0,0,2700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2700000,-2700000,-100,2700000
Depreciation and asset impairment,,0,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,34614,34614,0,69228,69228,4800000,-4730772,-98.56,4800000
Finance charges,,0,0,0,-78500000,0,0,629201,629201,0,0,0,0,0,0,607835,607835,0,0,0,0,1237036,-78500000,79737036,-101.58,-78500000
Bulk purchases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,0,0,0,23740000,25503,2073823,854787,2954113,2036827,684188,3131156,5852171,0,847872,2425168,3273040,-807367,2148379,2076679,3417691,15497015,23740000,-8242985,-34.72,23740000
Transfers and grants,,0,0,0,3825000,5872,231375,247148,484395,14372,741157,252699,1008228,0,0,0,0,-4500,3500,7000,6000,1498623,,1498623,0,3825000
Other expenditure,,0,0,0,139271728,3633049,6623663,7943464,18200176,6717374,6569204,7344420,20630998,0,4828158,11967155,16795313,49789854,61078842,10522949,121391645,177018132,139271728,37746404,27.1,139271728
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,0,0,0,218517487,12792274,17759018,18488969,49040261,18112151,17130164,21038496,56280811,0,14235369,23702732,37938101,38811497,72752068,21752269,133315834,276575007,214692487,61882520,28.823793913198276,218517487
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,0,0,0,184450013,86311032,-9872068,-11608374,64830590,19943389,-6076260,16392062,30259191,0,-6661218,94421982,87760764,-31201023,-44019032,-14890773,-90110828,92739717,186958013,-94218296,-50.39543076444656,184450013
Transfers recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000,39144797,59144797,39801000,0,0,39801000,98945797,,98945797,0,0
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,0,0,0,184450013,86311032,-9872068,-11608374,64830590,19943389,-6076260,16392062,30259191,0,13338782,133566779,146905561,8599977,-44019032,-14890773,-50309828,191685514,186958013,4727501,2.52864315582986,184450013
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,0,0,0,184450013,86311032,-9872068,-11608374,64830590,19943389,-6076260,16392062,30259191,0,13338782,133566779,146905561,8599977,-44019032,-14890773,-50309828,191685514,186958013,4727501,2.52864315582986,184450013
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,0,0,0,184450013,86311032,-9872068,-11608374,64830590,19943389,-6076260,16392062,30259191,0,13338782,133566779,146905561,8599977,-44019032,-14890773,-50309828,191685514,186958013,4727501,2.52864315582986,184450013
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,0,0,0,184450013,86311032,-9872068,-11608374,64830590,19943389,-6076260,16392062,30259191,0,13338782,133566779,146905561,8599977,-44019032,-14890773,-50309828,191685514,186958013,4727501,2.52864315582986,184450013
