Mpumalanga: Albert Luthuli(MP301) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,29131077,0,33998776,36935293,0,426763,6184587,6611350,-12420355,0,422677,-11997678,426763,424801,426578,1278142,426850,426520,4206123,5059493,951307,33998772,-33047465,-97.2,36935293
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,16286890,0,23409043,23329582,0,1896373,866642,2763015,1051712,0,1779279,2830991,1250244,1063949,1127147,3441340,1770787,2375869,6876147,11022803,20058149,23409048,-3350899,-14.31,23329582
Service charges - water revenue,,4905024,0,6224848,6245810,0,1181170,725756,1906926,386758,0,377041,763799,997062,501928,1267395,2766385,523848,394026,907631,1825505,7262615,6224844,1037771,16.67,6245810
Service charges - sanitation revenue,,5007999,0,5930686,5930686,0,524084,443301,967385,579982,0,489275,1069257,489923,422807,499070,1411800,501674,501643,1000973,2004290,5452732,5930688,-477956,-8.06,5930686
Service charges - refuse revenue,,4506627,0,4769561,4769561,0,433463,0,433463,434041,0,432850,866891,428177,489868,435249,1353294,446008,457152,915987,1819147,4472795,4769556,-296761,-6.22,4769561
Service charges - other,,0,0,0,0,0,0,207255,207255,50,0,-10396,-10346,0,-515251,-150911,-666162,0,50,100,150,-469103,,-469103,0,0
Rental of facilities and equipment,,784644,0,488983,758956,0,47522,25955,73477,29554,0,37150,66704,36905,35935,27643,100483,31619,194810,392301,618730,859394,488988,370406,75.75,758956
Interest earned - external investments,,1238360,0,1842750,1842750,0,0,0,0,0,0,0,0,1682061,0,0,1682061,0,0,0,0,1682061,1842756,-160695,-8.72,1842750
Interest earned - outstanding debtors,,18256310,0,17689768,17689768,0,1607937,0,1607937,1459821,0,1665334,3125155,0,1670558,1720029,3390587,1734825,1754820,3555996,7045641,15169320,17689764,-2520444,-14.25,17689768
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,495161,0,205000,273090,0,34520,25125,59645,15950,0,32150,48100,8900,36150,10150,55200,20000,46190,18100,84290,247235,204996,42239,20.6,273090
Licences and permits,,2307245,0,0,0,0,110586,88064,198650,77327,0,85402,162729,159500,131842,75148,366490,144235,74524,67338,286097,1013966,,1013966,0,0
Agency services,,0,0,1119143,1119143,0,0,0,0,0,0,0,0,0,-289,0,-289,0,0,0,0,-289,1119144,-1119433,-100.03,1119143
Transfers recognised - operational,,181979473,0,199712350,199712350,0,74739054,0,74739054,-68731,0,11181693,11112962,-69790,-72352,-72403,-214545,775628,-75610,-147665,552353,86189824,199712351,-113522527,-56.84,199712350
Other own revenue,,16284466,0,1082812,983308,0,158096,68473,226569,80613,0,228105,308718,129655,151710,233397,514762,374059,191136,287829,853024,1903073,1082810,820263,75.75,983308
Gains on disposal of PPE,,0,0,0,0,0,7369,1,7370,0,0,0,0,0,0,0,0,0,0,0,0,7370,,7370,0,0
Total Revenue (excl. capital transfers and contributions),,281183276,0,296473720,299590297,0,81166937,8635159,89802096,-8373278,0,16720560,8347282,5539400,4341656,5598492,15479548,6749533,6341130,18080860,31171523,144800449,296473717,-151673268,-51.15909414661537,299590297
