Mpumalanga: Msukaligwa(MP302) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,62516946,0,66131310,66735152,5504797,5665659,5463437,16633893,5462138,5541060,5541045,16544243,5558742,5551178,5548124,16658044,5560497,5775355,5559470,16895322,66731502,66131314,600188,0.91,66735152
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,162539484,0,177150157,182413754,16352418,15695539,16190564,48238521,14844099,13499262,14624994,42968355,13925907,12732573,13555414,40213894,13099510,13650404,15326321,42076235,173497005,178761010,-5264005,-2.94,182413754
Service charges - water revenue,,24514594,0,25213589,36112156,2684277,2968151,2272437,7924865,2507257,2205685,5420418,10133360,5939675,-2478594,2460494,5921575,2325216,8690456,-3274998,7740674,31720474,36302558,-4582084,-12.62,36112156
Service charges - sanitation revenue,,17124312,0,37583881,20274038,2194020,1603067,1589393,5386480,1592518,1594745,1563075,4750338,1628021,1551202,1597143,4776366,945113,1562004,1563717,4070834,18984018,18179883,804135,4.42,20274038
Service charges - refuse revenue,,14450600,0,15149522,17350273,2003749,1330420,1325236,4659405,1335440,1347836,1332456,4015732,1345242,1282185,1174776,3802203,653804,1357888,1332870,3344562,15821902,15140864,681038,4.5,17350273
Service charges - other,,1640774,0,1663984,3037159,126070,128351,427647,682068,392708,330009,135808,858525,84707,76922,90119,251748,143629,181350,65764,390743,2183084,8377185,-6194101,-73.94,3037159
Rental of facilities and equipment,,1816339,0,1962158,2178460,159074,176846,207094,543014,254032,157585,160112,571729,170430,166356,164717,501503,159259,173067,157269,489595,2105841,1962158,143683,7.32,2178460
Interest earned - external investments,,563453,0,330000,200000,5769,38919,6295,50983,2765,0,7639,10404,0,0,27010,27010,-27123,0,27123,0,88397,330004,-241607,-73.21,200000
