Mpumalanga: Mkhondo(MP303) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,19951677,0,29672153,38077314,2458545,2436193,2458759,7353497,3850500,3857716,3126644,10834860,3091574,3207987,3175357,9474918,3268562,3039777,3039777,9348116,37011391,29672153,7339238,24.73,38077314
Property rates - penalties and collection charges,,0,0,0,0,0,31935,116246,148181,26038,36467,4608,67113,0,0,0,0,0,0,0,0,215294,,215294,0,0
Service charges - electricity revenue,,80990521,0,93339468,90622224,3855681,3519474,3262205,10637360,13329783,13329261,6974317,33633361,6885093,7833345,7460220,22178658,6701663,6896843,6896843,20495349,86944728,93339468,-6394740,-6.85,90622224
Service charges - water revenue,,9344699,0,15073014,10529308,1377165,1265858,967440,3610463,1216855,1153443,884755,3255053,1137440,1012373,951899,3101712,919575,954007,954007,2827589,12794817,15073014,-2278197,-15.11,10529308
Service charges - sanitation revenue,,5742279,0,10777779,9704746,583511,536601,591396,1711508,567910,579224,625734,1772868,581361,581197,558946,1721504,582668,586363,586363,1755394,6961274,10777779,-3816505,-35.41,9704746
Service charges - refuse revenue,,7094518,0,7599872,7858307,642924,643108,643130,1929162,644991,631864,665561,1942416,645129,643750,646054,1934933,646753,651191,651191,1949135,7755646,7599872,155774,2.05,7858307
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,528131,0,979741,1116611,26883,50187,40533,117603,187328,41312,49477,278117,56304,49705,30303,136312,21277,59398,59398,140073,672105,979298,-307193,-31.37,1116611
Interest earned - external investments,,2514374,0,2800000,1382342,143278,136461,150660,430399,93369,63193,104210,260772,163801,124722,85180,373703,87885,53724,53724,195333,1260207,2800000,-1539793,-54.99,1382342
Interest earned - outstanding debtors,,2820022,0,9000000,6355792,724834,0,0,724834,809282,805157,838623,2453062,850286,866602,882546,2599434,855563,847598,847598,2550759,8328089,9000000,-671911,-7.47,6355792
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,4033691,0,139920,1090175,26036,21484,40500,88020,16650,23624,36850,77124,55700,36658,0,92358,20650,60175,60175,141000,398502,1310000,-911498,-69.58,1090175
Licences and permits,,41059,0,98847,45370,0,0,0,0,476,15979,0,16455,7405,1025,969,9399,0,22443,22443,44886,70740,98847,-28107,-28.43,45370
Agency services,,7290663,0,8632116,6346946,0,0,0,0,1549969,1549969,0,3099938,1173557,0,754026,1927583,903139,794530,794530,2492199,7519720,8631485,-1111765,-12.88,6346946
Transfers recognised - operational,,115783596,0,132752000,132902000,51994000,2107227,0,54101227,0,43339220,0,43339220,28041,872000,66763,966804,16863,0,0,16863,98424114,132752000,-34327886,-25.86,132902000
Other own revenue,,13426266,0,28935912,24821400,5499963,1216962,802933,7519858,-2832012,-2832011,2139467,-3524556,396762,4440078,2153599,6990439,2342931,2348810,2348810,7040551,18026292,27766812,-9740520,-35.08,24821400
Gains on disposal of PPE,,761179,0,2810200,72000,0,0,0,0,0,0,36000,36000,36480,0,0,36480,80,176820,176820,353720,426200,2810200,-2384000,-84.83,72000
Total Revenue (excl. capital transfers and contributions),,270322675,0,342611022,330924535,67332820,11965490,9073802,88372112,19461139,62594418,15486246,97541803,15108933,19669442,16765862,51544237,16367609,16491679,16491679,49350967,286809119,342610928,-55801809,-16.2872239148192,330924535
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,97763984,0,99804548,95785457,8569699,8944802,8890127,26404628,8963426,8971703,9564206,27499335,9507687,9214451,8884061,27606199,9512587,9041680,9041680,27595947,109106109,99804548,9301561,9.32,95785457
Remuneration of councillors,,12104386,0,9899999,10726290,1005905,1017815,1061759,3085479,1022849,1044850,1045048,3112747,1025928,1030286,1046004,3102218,1518269,1104050,1104050,3726369,13026813,9899999,3126814,31.58,10726290
Debt impairment,,19646494,0,16358613,16358613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16358613,-16358613,-100,16358613
Depreciation and asset impairment,,66971948,0,73057708,73057708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73057708,-73057708,-100,73057708
Finance charges,,4513684,0,929280,728644,0,0,0,0,200636,0,0,200636,233643,0,2024,235667,0,11890,11890,23780,460083,929280,-469197,-50.49,728644
Bulk purchases,,76580731,0,80923864,82373864,90019,13433303,11781,13535103,6101202,6948998,11000000,24050200,3511500,3434362,3815142,10761004,58391,1341201,1341201,2740793,51087100,80923864,-29836764,-36.87,82373864
Other Materials,,24389114,0,26432069,18194946,1070391,574429,970561,2615381,1060096,778181,1599581,3437858,998773,1147090,2283939,4429802,1101767,643930,643930,2389627,12872668,26432069,-13559401,-51.3,18194946
Contracted services,,26120253,0,25753122,23952924,332436,2448760,2469156,5250352,2329393,2183509,3038955,7551857,3026054,2122148,823127,5971329,1140215,449053,449053,2038321,20811859,25752634,-4940775,-19.19,23952924
Transfers and grants,,3875969,0,12872024,12872024,268303,291556,693769,1253628,1231277,392844,434836,2058957,673233,1346074,874036,2893343,811423,230137,230137,1271697,7477625,12872024,-5394399,-41.91,12872024
Other expenditure,,55861383,0,69604545,69903241,4371180,2382695,4556658,11310533,2485873,4189843,4936305,11612021,3257407,4572384,5297722,13127513,4293293,5042890,5042890,14379073,50429140,69604544,-19175404,-27.55,69903241
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,387827946,0,415635772,403953711,15707933,29093360,18653811,63455104,23394752,24509928,31618931,79523611,22234225,22866795,23026055,68127075,18435945,17864831,17864831,54165607,265271397,415635283,-150363886,-36.17688202856445,403953711
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-117505271,0,-73024750,-73029176,51624887,-17127870,-9580009,24917008,-3933613,38084490,-16132685,18018192,-7125292,-3197353,-6260193,-16582838,-2068336,-1373152,-1373152,-4814640,21537722,-73024355,94562077,-129.49388871699037,-73029176
Transfers recognised - capital,,102971855,0,77765000,81376325,0,0,0,0,0,0,31667000,31667000,0,0,0,0,0,0,0,0,31667000,77765000,-46098000,-59.28,81376325
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,-14533416,0,4740250,8347149,51624887,-17127870,-9580009,24917008,-3933613,38084490,15534315,49685192,-7125292,-3197353,-6260193,-16582838,-2068336,-1373152,-1373152,-4814640,53204722,4740645,48464077,1022.3097700840286,8347149
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,-14533416,0,4740250,8347149,51624887,-17127870,-9580009,24917008,-3933613,38084490,15534315,49685192,-7125292,-3197353,-6260193,-16582838,-2068336,-1373152,-1373152,-4814640,53204722,4740645,48464077,1022.3097700840286,8347149
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,-14533416,0,4740250,8347149,51624887,-17127870,-9580009,24917008,-3933613,38084490,15534315,49685192,-7125292,-3197353,-6260193,-16582838,-2068336,-1373152,-1373152,-4814640,53204722,4740645,48464077,1022.3097700840286,8347149
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,-14533416,0,4740250,8347149,51624887,-17127870,-9580009,24917008,-3933613,38084490,15534315,49685192,-7125292,-3197353,-6260193,-16582838,-2068336,-1373152,-1373152,-4814640,53204722,4740645,48464077,1022.3097700840286,8347149
