Mpumalanga: Pixley Ka Seme (MP)(MP304) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,20681118,0,33000000,33265000,0,10449424,2755902,13205326,1107089,2242461,1100778,4450328,1449561,1620099,2209337,5278997,3050262,2181168,1994201,7225631,30160282,33000000,-2839718,-8.61,33265000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,48487057,40390529,0,2937754,3632026,6569780,3974684,3537313,3612293,11124290,3522950,4821017,4609459,12953426,4414138,4596761,3578493,12589392,43236888,48487056,-5250168,-10.83,40390529
Service charges - water revenue,,0,0,14775993,14815993,0,1055749,2800402,3856151,1043853,8042628,1577894,10664375,6415256,2172243,2541272,11128771,1694297,3010804,2043835,6748936,32398233,14775996,17622237,119.26,14815993
Service charges - sanitation revenue,,0,0,11742221,11742221,0,989784,991423,1981207,992091,992358,990446,2974895,1003370,1003645,1004231,3011246,1003439,1003788,1003630,3010857,10978205,11742216,-764011,-6.51,11742221
Service charges - refuse revenue,,0,0,8025006,8027106,0,567336,581667,1149003,582670,576816,583079,1742565,589544,590688,591361,1771593,591169,590549,591833,1773551,6436712,8025012,-1588300,-19.79,8027106
Service charges - other,,79291465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,21060,0,472000,161601,0,493,2566,3059,2392,1557,2008,5957,1217,4183,1437,6837,1528,987,1170,3685,19538,471996,-452458,-95.86,161601
Interest earned - external investments,,2617874,0,1605000,2305000,0,97272,158417,255689,120509,716861,48907,886277,82218,602188,311957,996363,291262,13108435,3028876,16428573,18566902,1605000,16961902,1056.82,2305000
Interest earned - outstanding debtors,,13748526,0,13846000,8561000,0,0,0,0,1553766,1464521,1503030,4521317,1617173,1624813,1703026,4945012,1709410,1744552,0,3453962,12920291,13845996,-925705,-6.69,8561000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,915548,0,176000,176000,0,6696,6905,13601,6583,66316,605,73504,7116,6300,0,13416,7570,1250,11715,20535,121056,176004,-54948,-31.22,176000
Licences and permits,,0,0,229,0,0,0,0,0,214153,1228409,0,1442562,0,0,534395,534395,239680,0,0,239680,2216637,228,2216409,972109.21,0
Agency services,,5133545,0,6422103,7653048,0,781605,-1088976,-307371,0,0,10188,10188,1213069,-612498,0,600571,0,36920,-469,36451,339839,6422100,-6082261,-94.71,7653048
Transfers recognised - operational,,94989529,0,95305000,95626279,0,0,819298,819298,0,36529702,0,36529702,558687,29319000,17628000,47505687,0,0,3498245,3498245,88352932,95304996,-6952064,-7.29,95626279
Other own revenue,,2291908,0,1830336,701336,0,46731,70633,117364,105264,205552,412297,723113,1583186,42722,155251,1781159,22032,41904,30676,94612,2716248,1830336,885912,48.4,701336
Gains on disposal of PPE,,169886,0,0,0,0,0,3508,3508,0,0,0,0,4825,0,0,4825,36342,0,0,36342,44675,,44675,0,0
Total Revenue (excl. capital transfers and contributions),,219860459,0,235686945,223425113,0,16932844,10733771,27666615,9703054,55604494,9841525,75149073,18048172,41194400,31289726,90532298,13061129,26317118,15782205,55160452,248508438,235686936,12821502,5.440056295695575,223425113
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,66578198,0,79317078,76363737,0,5839556,5698902,11538458,6241511,4561585,6632336,17435432,5448789,5157089,6960319,17566197,992394,6228824,5558599,12779817,59319904,79317084,-19997180,-25.21,76363737
Remuneration of councillors,,6517272,0,6949978,6949978,0,428370,432804,861174,542963,542963,43587,1129513,543092,542964,436806,1522862,944618,570118,579434,2094170,5607719,6949980,-1342261,-19.31,6949978
Debt impairment,,35166760,0,44330000,44019957,0,0,0,0,0,13028989,0,13028989,0,6805,309476,316281,8025085,397318,534302,8956705,22301975,44330004,-22028029,-49.69,44019957
Depreciation and asset impairment,,24405559,0,106920000,28770000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106920000,-106920000,-100,28770000
Finance charges,,0,0,828125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828120,-828120,-100,0
Bulk purchases,,34987900,0,38411635,36412000,0,4442691,705298,5147989,3723743,2795384,2625588,9144715,3145372,4829679,628104,8603155,2724538,3370203,2892648,8987389,31883248,38411640,-6528392,-17,36412000
Other Materials,,10058996,0,9937494,14024608,0,1424887,217336,1642223,587317,252408,568674,1408399,438140,368553,0,806693,0,0,0,0,3857315,9937500,-6080185,-61.18,14024608
Contracted services,,5888791,0,7656502,6719310,0,221849,250270,472119,437739,719117,1062167,2219023,175994,408535,679814,1264343,465492,315366,691757,1472615,5428100,7656504,-2228404,-29.1,6719310
Transfers and grants,,2030115,0,3331092,8731092,0,96675,345536,442211,14925,849147,59180,923252,328897,0,830940,1159837,831191,1074175,835018,2740384,5265684,3331092,1934592,58.08,8731092
Other expenditure,,28388201,0,37378939,39584648,0,2752528,2081305,4833833,3008174,2049703,2805983,7863860,2800352,1915764,8213659,12929775,1671087,2761216,8624794,13057097,38684565,37378944,1305621,3.49,39584648
Loss on disposal of PPE,,7145,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,44308,0,44308,44311,,44311,0,0
Total Expenditure,,214028937,0,335060843,261575330,0,15206556,9731451,24938007,14556372,24799296,13797515,53153183,12880636,13229392,18059118,44169146,15654405,14761528,19716552,50132485,172392821,335060868,-162668047,-48.54880486968714,261575330
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,5831522,0,-99373898,-38150217,0,1726288,1002320,2728608,-4853318,30805198,-3955990,21995890,5167536,27965008,13230608,46363152,-2593276,11555590,-3934347,5027967,76115617,-99373932,175489549,-176.5951547534619,-38150217
Transfers recognised - capital,,0,0,28220000,0,0,0,0,0,0,0,0,0,4438224,0,0,4438224,0,0,0,0,4438224,28220001,-23781777,-84.27,0
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,-500000,-100,0
Surplus/(Deficit) after capital transfers and contributions,,5831522,0,-70653898,-38150217,0,1726288,1002320,2728608,-4853318,30805198,-3955990,21995890,9605760,27965008,13230608,50801376,-2593276,11555590,-3934347,5027967,80553841,-70653931,151207772,-214.01183183990145,-38150217
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,5831522,0,-70653898,-38150217,0,1726288,1002320,2728608,-4853318,30805198,-3955990,21995890,9605760,27965008,13230608,50801376,-2593276,11555590,-3934347,5027967,80553841,-70653931,151207772,-214.01183183990145,-38150217
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,5831522,0,-70653898,-38150217,0,1726288,1002320,2728608,-4853318,30805198,-3955990,21995890,9605760,27965008,13230608,50801376,-2593276,11555590,-3934347,5027967,80553841,-70653931,151207772,-214.01183183990145,-38150217
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,5831522,0,-70653898,-38150217,0,1726288,1002320,2728608,-4853318,30805198,-3955990,21995890,9605760,27965008,13230608,50801376,-2593276,11555590,-3934347,5027967,80553841,-70653931,151207772,-214.01183183990145,-38150217
