Mpumalanga: Lekwa(MP305) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,0,0,52600000,52600000,4427356,4281056,4408497,13116909,4566192,0,4480830,9047022,4330732,4114889,4199981,12645602,4349145,4339608,4422249,13111002,47920535,52599996,-4679461,-8.9,52600000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,227984000,227984000,18906363,15352795,16285714,50544872,14010860,0,22168520,36179380,12324810,19606070,12318649,44249529,18596060,20312717,27066274,65975051,196948832,227984004,-31035172,-13.61,227984000
Service charges - water revenue,,0,0,40977890,40977890,3119957,3050697,3142519,9313173,3573288,0,1246001,4819289,6425656,1625070,3365809,11416535,3522209,1363743,5852205,10738157,36287154,40977888,-4690734,-11.45,40977890
Service charges - sanitation revenue,,0,0,24729600,24729600,1756679,1565997,1698888,5021564,1644061,0,111352,1755413,2441707,863228,2368886,5673821,1901538,1899269,2679400,6480207,18931005,24729600,-5798595,-23.45,24729600
Service charges - refuse revenue,,0,0,13861320,13861320,1314603,1176097,1155412,3646112,1148679,0,1138067,2286746,1129003,1125011,1113826,3367840,1126860,1112332,2226813,4466005,13766703,13861320,-94617,-0.68,13861320
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,0,0,594790,594790,47471,41116,46496,135083,148028,0,41433,189461,133495,142229,141028,416752,14189,50100,85817,150106,891402,594792,296610,49.87,594790
Interest earned - external investments,,0,0,254890,254890,12816,0,0,12816,0,0,51792,51792,0,0,0,0,0,22152,0,22152,86760,254892,-168132,-65.96,254890
Interest earned - outstanding debtors,,0,0,18200400,18200400,1955381,1973171,2088873,6017425,1685541,0,2158388,3843929,2209201,2120156,2224147,6553504,2022427,2270378,1943397,6236202,22651060,18200400,4450660,24.45,18200400
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,0,0,2907070,2907070,9103,5263,94915,109281,15425,0,11912,27337,83137,46689,20961,150787,91768,82330,15154,189252,476657,2907072,-2430415,-83.6,2907070
Licences and permits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Agency services,,0,0,16331260,16331260,1912331,95009,5684015,7691355,1645211,0,8872256,10517467,9210096,5195967,7159351,21565414,942826,920600,348591,2212017,41986253,16331256,25654997,157.09,16331260
Transfers recognised - operational,,0,0,90234900,90234900,35258000,0,0,35258000,0,0,0,0,0,0,0,0,0,0,23031000,23031000,58289000,90234900,-31945900,-35.4,90234900
Other own revenue,,0,0,1539670,1539670,188611,89688,246413,524712,91859,0,321622,413481,124966,104084,168739,397789,112215,211457,136123,459795,1795777,1539672,256105,16.63,1539670
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,0,0,490215790,490215790,68908671,27630889,34851742,131391302,28529144,0,40602173,69131317,38412803,34943393,33081377,106437573,32679237,32584686,67807023,133070946,440031138,490215792,-50184654,-10.237257717719547,490215790
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,0,0,127067559,127067559,10487650,10389435,10190850,31067935,10864991,0,10305533,21170524,11177818,9435529,6737287,27350634,10343598,6323255,15272945,31939798,111528891,127067556,-15538665,-12.23,127067559
Remuneration of councillors,,0,0,10503060,10503060,772839,894963,895603,2563405,897078,0,770990,1668068,769848,791060,774688,2335596,1157616,817461,1911683,3886760,10453829,10503060,-49231,-0.47,10503060
Debt impairment,,0,0,90817600,90817600,27955,46535,0,74490,0,0,10294,10294,0,0,0,0,0,0,0,0,84784,90817596,-90732812,-99.91,90817600
Depreciation and asset impairment,,0,0,139196260,139196260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139196256,-139196256,-100,139196260
Finance charges,,0,0,764360,764360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764364,-764364,-100,764360
Bulk purchases,,0,0,213085330,213085330,6265528,13782795,5000000,25048323,11066218,0,22227052,33293270,17327621,18666542,17307521,53301684,17908760,17969931,24159516,60038207,171681484,213085332,-41403848,-19.43,213085330
Other Materials,,0,0,5089300,5089300,550460,129523,188529,868512,219349,0,601578,820927,1082438,56694,130495,1269627,1221374,102585,764445,2088404,5047470,5089296,-41826,-0.82,5089300
Contracted services,,0,0,26339660,26339660,1477193,2852572,2535763,6865528,2120482,0,2482392,4602874,1643898,1833348,3025483,6502729,2063862,3754477,2868250,8686589,26657720,26339664,318056,1.21,26339660
Transfers and grants,,0,0,11393470,11393470,131778,130675,165311,427764,0,0,150519,150519,136683,0,0,136683,0,0,0,0,714966,11393472,-10678506,-93.72,11393470
Other expenditure,,0,0,58793231,58793231,3684045,3325345,3635030,10644420,5301510,0,3383387,8684897,4829983,4190506,3969658,12990147,3143125,2996262,4951780,11091167,43410631,58793232,-15382601,-26.16,58793231
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,0,0,683049830,683049830,23397448,31551843,22611086,77560377,30469628,0,39931745,70401373,36968289,34973679,31945132,103887100,35838335,31963971,49928619,117730925,369579775,683049828,-313470053,-45.89270652740725,683049830
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,0,0,-192834040,-192834040,45511223,-3920954,12240656,53830925,-1940484,0,670428,-1270056,1444514,-30286,1136245,2550473,-3159098,620715,17878404,15340021,70451363,-192834036,263285399,-136.5347137162031,-192834040
Transfers recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,0,0,-192834040,-192834040,45511223,-3920954,12240656,53830925,-1940484,0,670428,-1270056,1444514,-30286,1136245,2550473,-3159098,620715,17878404,15340021,70451363,-192834036,263285399,-136.5347137162031,-192834040
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,0,0,-192834040,-192834040,45511223,-3920954,12240656,53830925,-1940484,0,670428,-1270056,1444514,-30286,1136245,2550473,-3159098,620715,17878404,15340021,70451363,-192834036,263285399,-136.5347137162031,-192834040
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,0,0,-192834040,-192834040,45511223,-3920954,12240656,53830925,-1940484,0,670428,-1270056,1444514,-30286,1136245,2550473,-3159098,620715,17878404,15340021,70451363,-192834036,263285399,-136.5347137162031,-192834040
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,0,0,-192834040,-192834040,45511223,-3920954,12240656,53830925,-1940484,0,670428,-1270056,1444514,-30286,1136245,2550473,-3159098,620715,17878404,15340021,70451363,-192834036,263285399,-136.5347137162031,-192834040
