Mpumalanga: Dipaleseng(MP306) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,16839275,0,14918976,9264088,859796,749764,751562,2361122,748429,749595,756964,2254988,787955,788378,0,1576333,786410,0,760173,1546583,7739026,14918976,-7179950,-48.13,9264088
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,787322,787322,0,787322,0,787322,1574644,,1574644,0,0
Service charges - electricity revenue,,36260236,0,36730602,39459602,2660367,3510515,2565378,8736260,3501630,3171270,3051915,9724815,3842094,3441802,2337196,9621092,2897260,2337196,3535539,8769995,36852162,36730602,121560,0.33,39459602
Service charges - water revenue,,13795068,0,14868000,13200000,874390,1153431,947810,2975631,1413257,985741,1178017,3577015,1132469,1191313,1137627,3461409,1173514,1137627,1028625,3339766,13353821,14868000,-1514179,-10.18,13200000
Service charges - sanitation revenue,,12155665,0,12744000,12612930,1043926,1141472,1007267,3192665,1074459,1002295,1032972,3109726,1055267,1046321,996815,3098403,1054380,996815,987294,3038489,12439283,12744000,-304717,-2.39,12612930
Service charges - refuse revenue,,4707667,0,4855464,5040536,419387,418665,418616,1256668,419641,419690,420693,1260024,424494,423081,423245,1270820,426704,423245,427555,1277504,5065016,4855460,209556,4.32,5040536
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,212313,0,221000,202700,14862,18195,14825,47882,17325,25071,13584,55980,14682,18079,16217,48978,16117,16217,16005,48339,201179,221004,-19825,-8.97,202700
Interest earned - external investments,,631902,0,308552,500000,0,125655,0,125655,0,0,0,0,0,0,0,0,0,0,0,0,125655,308552,-182897,-59.28,500000
Interest earned - outstanding debtors,,9517462,0,5522400,15700000,1268181,1280951,1296329,3845461,1312709,1315128,1335954,3963791,1371340,1375657,1420584,4167581,1440540,1420584,1271096,4132220,16109053,5522404,10586649,191.7,15700000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,990830,0,234220,1012220,37010,44750,22600,104360,0,3300,6000,9300,8600,4800,6862,20262,2750,6862,12750,22362,156284,234000,-77716,-33.21,1012220
Licences and permits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Agency services,,3264756,0,2761837,3172800,344658,262923,336264,943845,264511,258341,168699,691551,215182,305084,298307,818573,260050,298307,321305,879662,3333631,2761841,571790,20.7,3172800
Transfers recognised - operational,,63691326,0,52787000,54986942,19245000,1508000,283555,21036555,0,16014825,0,16014825,14394,431000,13167000,13612394,0,13167000,2648000,15815000,66478774,52787000,13691774,25.94,54986942
Other own revenue,,2333695,0,3113385,1700538,24217,119050,176718,319985,247883,295044,89926,632853,153982,241878,128979,524839,94868,128979,427571,651418,2129095,3114000,-984905,-31.63,1700538
