Mpumalanga: Govan Mbeki(MP307) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,169762641,0,219807787,164999988,12851631,15717410,16667199,45236240,15069278,15069278,16460712,46599268,15273953,16872447,1388371,33534771,20129330,15521254,15427074,51077658,176447937,219807785,-43359848,-19.73,164999988
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,434856191,0,483238238,497887992,25185504,53477680,28745997,107409181,37189991,37189990,29174676,103554657,30980177,38663124,28695823,98339124,29766752,30685823,39197291,99649866,408952828,483238236,-74285408,-15.37,497887992
Service charges - water revenue,,279218197,0,275316632,291316596,20561692,24119033,22250537,66931262,21174465,21174463,24067808,66416736,19919771,33180524,22718658,75818953,20124119,22962600,22105829,65192548,274359499,275316635,-957136,-0.35,291316596
Service charges - sanitation revenue,,66213918,0,76733030,89093988,7514688,6365400,6503615,20383703,6432521,6432520,7396507,20261548,6063736,9504777,6271148,21839661,6892697,8197845,6753449,21843991,84328903,76733033,7595870,9.9,89093988
Service charges - refuse revenue,,84736413,0,95436960,105616992,10547244,7800487,7733375,26081106,7739462,7739463,7810529,23289454,7838247,7841917,7672189,23352353,7644665,7791704,7676862,23113231,95836144,95436961,399183,0.42,105616992
Service charges - other,,0,0,17500000,0,96,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,96,17500001,-17499905,-100,0
Rental of facilities and equipment,,2777647,0,3065404,3065400,379484,220913,232829,833226,-4777352,-4777351,244259,-9310444,5213941,179454,297818,5691213,114077,270779,298513,683369,-2102636,3065400,-5168036,-168.59,3065400
Interest earned - external investments,,1666607,0,1581495,37667340,44052,259613,342504,646169,147698,147698,291177,586573,40928,250594,237222,528744,274135,12031,217075,503241,2264727,1581494,683233,43.2,37667340
Interest earned - outstanding debtors,,35288433,0,36085834,0,3187675,3332345,3395726,9915746,3142854,3142854,1087833,7373541,3523671,3505057,-13469,7015259,-2633,-3035,1977,-3691,24300855,36085833,-11784978,-32.66,0
Dividends received,,57242,0,0,0,0,0,0,0,0,0,0,0,11973,0,0,11973,0,0,30120,30120,42093,3,42090,1403000,0
Fines,,22737891,0,7378016,24999996,393596,248005,407010,1048611,200433,200433,243909,644775,157023,-8734868,45821,-8532024,322848,774359,2812619,3909826,-2928812,7378018,-10306830,-139.7,24999996
Licences and permits,,3140,0,4969,4968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4971,-4971,-100,4968
Agency services,,23750711,0,23264012,23264016,7206099,-2528846,1867273,6544526,6799553,6799553,2673280,16272386,5313893,3294373,25586157,34194423,5908302,-3976100,2961931,4894133,61905468,23264011,38641457,166.1,23264016
Transfers recognised - operational,,220634065,0,224188000,224187996,87226008,2480390,-718390,88988008,0,0,63728000,63728000,15700390,621315,9397886,25719591,-81,0,52429008,52428927,230864526,224188004,6676522,2.98,224187996
Other own revenue,,37186369,0,29397366,29371536,5565021,2986697,4031211,12582929,2584143,2584140,2143016,7311299,2739395,3201897,2634582,8575874,1468929,1610554,2181172,5260655,33730757,29397364,4333393,14.74,29371536
Gains on disposal of PPE,,0,0,100000000,54999996,40504,2444714,3204456,5689674,2601942,2601942,2778741,7982625,1601151,832025,2208694,4641870,1131719,2046163,4438248,7616130,25930299,100000003,-74069704,-74.07,54999996
Total Revenue (excl. capital transfers and contributions),,1378889465,0,1592997743,1546476804,180703294,116923841,94663342,392290477,98304988,98304983,158100447,354710418,114378249,109212636,107140900,330731785,93774859,85893977,156531168,336200004,1413932684,1592997752,-179065068,-11.240760872084394,1546476804
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,342641284,0,361709374,364532105,30496456,30299422,30268899,91064777,31204627,31204636,31750746,94160009,32017185,32042353,32264425,96323963,32561817,32568481,32826372,97956670,379505419,361709364,17796055,4.92,364532105
Remuneration of councillors,,16309887,0,18543746,16543572,1346018,846387,1359516,3551921,1346018,1346018,1346018,4038054,1359901,1363613,1390931,4114445,2274530,1450713,1404810,5130053,16834473,18543750,-1709277,-9.22,16543572
Debt impairment,,142149354,0,114773224,125984376,7979,0,0,7979,0,0,0,0,0,0,0,0,0,0,0,0,7979,114773220,-114765241,-99.99,125984376
Depreciation and asset impairment,,188840840,0,322883601,190526196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322883604,-322883604,-100,190526196
Finance charges,,20940578,0,6510113,2726952,155272,1373387,1503467,3032126,1481492,1641678,998399,4121569,5291561,984265,4340971,10616797,186357,5717088,6231986,12135431,29905923,6510108,23395815,359.38,2726952
Bulk purchases,,556918671,0,572152115,537742152,179947,73528516,77324674,151033137,28961278,40211939,11609715,80782932,97890924,8662085,81827205,188380214,14188602,63283971,114123320,191595893,611792176,572152116,39640060,6.93,537742152
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,75975572,0,95636318,64706004,1976997,3740832,8590920,14308749,5916897,8032908,5500498,19450303,5678024,4919841,6753197,17351062,3094774,4843234,4848967,12786975,63897089,95636316,-31739227,-33.19,64706004
Transfers and grants,,49732937,0,58375219,58795224,17971392,4862252,3570998,26404642,3504007,3504007,10465,7018479,3724416,3476496,3341613,10542525,236199,847,1430867,1667913,45633559,58375224,-12741665,-21.83,58795224
Other expenditure,,262905021,0,282425485,177558756,10834141,16112517,24038685,50985343,6470464,17575100,18103638,42149202,21953406,33839976,19656599,75449981,13160587,8526426,18955396,40642409,209226935,282425484,-73198549,-25.92,177558756
Loss on disposal of PPE,,60383443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,1716797587,0,1833009195,1539115337,62968202,130763313,146657159,340388674,78884783,103516286,69319479,251720548,167915417,85288629,149574941,402778987,65702866,116390760,179821718,361915344,1356803553,1833009186,-476205633,-25.97944607354521,1539115337
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-337908122,0,-240011452,7361467,117735092,-13839472,-51993817,51901803,19420205,-5211303,88780968,102989870,-53537168,23924007,-42434041,-72047202,28071993,-30496783,-23290550,-25715340,57129131,-240011434,297140565,-123.80267058443557,7361467
Transfers recognised - capital,,189226437,0,71781000,81781000,36353000,-1860,0,36351140,0,0,1860,1860,-38691,530,23000740,22962579,7600,-36156,-1350,-29906,59285673,71781000,-12495327,-17.41,81781000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,-14009571,0,-5300000,-76416960,-6133528,-10720492,-7705248,-24559268,-11430371,-11430371,-15116475,-37977217,0,0,-5082657,-5082657,0,0,-9277,-9277,-67628419,5300000,-72928419,-1376.01,-76416960
Surplus/(Deficit) after capital transfers and contributions,,-162691256,0,-173530452,12725507,147954564,-24561824,-59699065,63693675,7989834,-16641674,73666353,65014513,-53575859,23924537,-24515958,-54167280,28079593,-30532939,-23301177,-25754523,48786385,-162930434,211716819,-129.94307681031526,12725507
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,-162691256,0,-173530452,12725507,147954564,-24561824,-59699065,63693675,7989834,-16641674,73666353,65014513,-53575859,23924537,-24515958,-54167280,28079593,-30532939,-23301177,-25754523,48786385,-162930434,211716819,-129.94307681031526,12725507
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,-162691256,0,-173530452,12725507,147954564,-24561824,-59699065,63693675,7989834,-16641674,73666353,65014513,-53575859,23924537,-24515958,-54167280,28079593,-30532939,-23301177,-25754523,48786385,-162930434,211716819,-129.94307681031526,12725507
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,-162691256,0,-173530452,12725507,147954564,-24561824,-59699065,63693675,7989834,-16641674,73666353,65014513,-53575859,23924537,-24515958,-54167280,28079593,-30532939,-23301177,-25754523,48786385,-162930434,211716819,-129.94307681031526,12725507
