Mpumalanga: Victor Khanye(MP311) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,0,0,0,0,13839913,-5291511,12054924,20603326,4995795,5025916,4143524,14165235,-1883429,0,3596864,1713435,4434854,6003226,6003226,16441306,52923302,47263140,5660162,11.98,0
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,7855613,10464950,8277029,26597592,8223466,10157413,16511700,34892579,9348324,0,10513100,19861424,11146574,11093909,11093909,33334392,114685987,105367464,9318523,8.84,0
Service charges - water revenue,,0,0,0,0,5415687,3727032,9569656,18712375,2199749,6629025,4684942,13513716,4605108,0,3280592,7885700,4932858,5752294,5752294,16437446,56549237,41961360,14587877,34.77,0
Service charges - sanitation revenue,,0,0,0,0,766886,717338,717865,2202089,718769,709915,709590,2138274,709590,0,709590,1419180,709811,709778,709778,2129367,7888910,8688276,-799366,-9.2,0
Service charges - refuse revenue,,0,0,0,0,774511,833487,836234,2444232,833625,822024,825750,2481399,825894,0,826085,1651979,827286,825268,825268,2477822,9055432,9797282,-741850,-7.57,0
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,0,0,0,0,218820,197670,205923,622413,192668,184499,177549,554716,183172,0,190145,373317,191488,188407,188407,568302,2118748,4,2118744,52968600,0
Interest earned - external investments,,0,0,0,0,11508,108685,27822,148015,54363,23887,29006,107256,39176,0,40983,80159,94676,58078,58078,210832,546262,2,546260,27313000,0
Interest earned - outstanding debtors,,0,0,0,0,2060088,2053394,2259295,6372777,1965685,1956900,2076079,5998664,2190315,0,2033208,4223523,1994405,2111461,2111461,6217327,22812291,3,22812288,760409600,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,0,0,0,0,10444,-1895,2790,11339,82357,37217,3500,123074,15535,0,9008,24543,10550,9200,9200,28950,187906,,187906,0,0
Licences and permits,,0,0,0,0,302188,207383,208283,717854,282770,252826,81104,616700,161166,0,168993,330159,197019,200830,200830,598679,2263392,,2263392,0,0
Agency services,,0,0,0,0,825886,1818778,1735799,4380463,1606253,1741861,1278927,4627041,20265,0,15279,35544,1667660,39854,39854,1747368,10790416,,10790416,0,0
Transfers recognised - operational,,0,0,0,0,23410000,0,0,23410000,0,0,19714000,19714000,0,0,0,0,0,0,0,0,43124000,,43124000,0,0
Other own revenue,,0,0,0,0,312052,82939,72164,467155,101046,1553069,1951903,3606018,222036,0,4821208,5043244,-4624291,236209,236209,-4151873,4964544,103773322,-98808778,-95.22,0
Gains on disposal of PPE,,0,0,0,0,1313,7272,-1414,7171,8787,7171,-6464,9494,465,0,5595,6060,-2828,-17170,-17170,-37168,-14443,,-14443,0,0
Total Revenue (excl. capital transfers and contributions),,0,0,0,0,55804909,14925522,35966370,106696801,21265333,29101723,52181110,102548166,16437617,0,26210650,42648267,21580062,27211344,27211344,76002750,327895984,316850853,11045131,3.485908557740256,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,0,0,0,0,7346639,7806509,7566000,22719148,7613416,7622887,8217971,23454274,7843379,0,7612497,15455876,8038748,11022745,11022745,30084238,91713536,105179844,-13466308,-12.8,0
