Mpumalanga: Emalahleni (Mp)(MP312) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,273564134,0,298838276,293554759,26742238,43980060,10626441,81348739,28144502,27118211,27188687,82451400,27796153,27286895,26939041,82022089,29083009,27337201,33943751,90363961,336186189,298838281,37347908,12.5,293554759
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,648582406,0,793418400,773547903,66942301,78119727,48398767,193460795,56966238,55644651,55744795,168355684,57453639,46810947,55788578,160053164,57313030,59113447,77963450,194389927,716259570,793418397,-77158827,-9.72,773547903
Service charges - water revenue,,280460317,0,320006122,319797057,21575190,24310443,15406520,61292153,25679030,28072205,24120068,77871303,22228654,24633288,23948862,70810804,23073163,27850111,36386616,87309890,297284150,320006125,-22721975,-7.1,319797057
Service charges - sanitation revenue,,107255807,0,117169969,117120969,8948150,9758021,9272739,27978910,9949246,10800434,9345247,30094927,8150391,9677179,8982340,26809910,8971724,11418240,12558878,32948842,117832589,117168765,663824,0.57,117120969
Service charges - refuse revenue,,63831576,0,70513514,69795719,6010660,5631387,5984201,17626248,6074812,5994522,5911133,17980467,6019308,6067171,6063543,18150022,6112389,6074608,9262175,21449172,75205909,70513518,4692391,6.65,69795719
Service charges - other,,359105,0,3000000,390389,7429,48619,10609,66657,171258,87431,39241,297930,8657,20754,63608,93019,16002,38801,-4291,50512,508118,3000004,-2491886,-83.06,390389
Rental of facilities and equipment,,10363914,0,10865443,10865443,858966,805451,967847,2632264,1044104,986780,950530,2981414,924074,901214,930851,2756139,929751,879555,1093071,2902377,11272194,10865447,406747,3.74,10865443
Interest earned - external investments,,2196121,0,1542479,1542479,0,38650,88558,127208,133149,33508,28339,194996,141040,99135,92127,332302,34821,162526,645922,843269,1497775,1542480,-44705,-2.9,1542479
