Mpumalanga: Steve Tshwete(MP313) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,264425808,0,272882246,278807712,23274375,23206390,23283456,69764221,23445664,23386711,23618741,70451116,23666380,23649133,23691601,71007114,23771966,23880774,23917909,71570649,282793100,272882246,9910854,3.63,278807712
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,449191695,0,486740811,484466807,38864516,48668281,45906282,133439079,39062292,40193899,36952727,116208918,36342495,38773431,35729231,110845157,38187347,37698661,49446740,125332748,485825902,486740811,-914909,-0.19,484466807
Service charges - water revenue,,56434561,0,69178505,68554660,5455372,5807537,5856670,17119579,6936780,7141998,5346755,19425533,5345632,5763203,5494978,16603813,5344770,5889205,4334104,15568079,68717004,69178505,-461501,-0.67,68554660
Service charges - sanitation revenue,,59951728,0,63559034,64421975,5432682,5460188,5343194,16236064,5570645,5523935,5443937,16538517,5436734,5476645,5463293,16376672,5520110,5513044,5082104,16115258,65266511,63559034,1707477,2.69,64421975
Service charges - refuse revenue,,61033051,0,68975164,69533699,5766534,5753263,5746740,17266537,5809124,5831995,5833298,17474417,5850228,5863789,5878392,17592409,5836135,5870474,5864183,17570792,69904155,68975164,928991,1.35,69533699
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,29792983,0,35361329,34603957,2969262,2892509,2969958,8831729,3008935,2895557,3034010,8938502,2941958,2959545,3151677,9053180,3072755,2679315,2666265,8418335,35241746,35361329,-119583,-0.34,34603957
Interest earned - external investments,,22475654,0,20693700,21469319,1840400,1408691,1276210,4525301,2214175,1742190,2789938,6746303,1346007,1757091,2987070,6090168,1449954,2898758,2141266,6489978,23851750,20693700,3158050,15.26,21469319
Interest earned - outstanding debtors,,2050542,0,1497709,1886987,142031,144689,149130,435850,160100,175593,174403,510096,340607,93863,171511,605981,185404,188608,185207,559219,2111146,1497709,613437,40.96,1886987
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,14347255,0,6707900,14208874,420120,552416,476955,1449491,640727,507014,500548,1648289,571248,615807,878560,2065615,278284,541964,184817,1005065,6168460,6707900,-539440,-8.04,14208874
