Mpumalanga: Emakhazeni(MP314) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,54239347,0,62157058,62157058,15028048,4463059,4457109,23948216,4507517,4493602,4507613,13508732,4222532,4376032,4859104,13457668,4213388,4660485,4027388,12901261,63815877,62157057,1658820,2.67,62157058
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,35865186,0,44342104,39342104,8269717,-892287,1203788,8581218,3534956,2282202,3293341,9110499,1740103,1858245,3200370,6798718,1766919,4769193,3628705,10164817,34655252,44342109,-9686857,-21.85,39342104
Service charges - water revenue,,11899474,0,12352441,11452441,824431,984361,578067,2386859,1683119,110596,1088928,2882643,2409695,949040,1011148,4369883,1008223,952331,988606,2949160,12588545,12352440,236105,1.91,11452441
Service charges - sanitation revenue,,7702383,0,8273187,8273187,702951,695803,667150,2065904,676875,680430,672573,2029878,669363,668534,676602,2014499,677404,674508,674482,2026394,8136675,8273184,-136509,-1.65,8273187
Service charges - refuse revenue,,7806108,0,8487064,8487064,766729,759714,715091,2241534,715656,715114,714939,2145709,715247,715249,724931,2155427,721336,716278,713830,2151444,8694114,8487060,207054,2.44,8487064
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,379921,0,443861,418461,30840,40162,35269,106271,35777,21876,112865,170518,20261,66602,81688,168551,44902,177474,138231,360607,805947,443856,362091,81.58,418461
Interest earned - external investments,,196359,0,216240,264000,10660,27301,65010,102971,68984,15980,47396,132360,32573,9328,8463,50364,18283,24817,34640,77740,363435,216240,147195,68.07,264000
Interest earned - outstanding debtors,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,198733,0,5401225,5250200,14550,897773,589896,1502219,909965,3620,217148,1130733,3000,2367725,690100,3060825,358000,7880,2432549,2798429,8492206,5401224,3090982,57.23,5250200
Licences and permits,,23172,0,32535,6600,45,477,62823,63345,1268,342,320,1930,84,664,404,1152,697,789,-61817,-60331,6096,32532,-26436,-81.26,6600
Agency services,,1431525,0,2384080,2010284,0,0,122782,122782,0,0,0,0,0,2024535,249510,2274045,295138,-268179,514292,541251,2938078,2384076,554002,23.24,2010284
