Mpumalanga: Thembisile Hani(MP315) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,13186995,0,6656525,22086221,1125927,1125927,1125927,3377781,1126180,1126180,1126180,3378540,1126180,65769255,0,66895435,64002955,2342858,33419994,99765807,173417563,6656525,166761038,2505.23,22086221
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,32652862,0,39931200,39931200,3223271,3223269,5314669,11761209,3207099,3207099,3259973,9674171,3223220,3315944,0,6539164,3315944,3224299,8233262,14773505,42748049,39931200,2816849,7.05,39931200
Service charges - sanitation revenue,,1383804,0,1533259,1533259,124520,124520,124579,373619,124579,124579,124698,373856,124327,139338,0,263665,139338,124682,124624,388644,1399784,1533259,-133475,-8.71,1533259
Service charges - refuse revenue,,17698825,0,3186000,12309256,1024220,1024454,1024467,3073141,1025925,1025925,1026149,3077999,1029153,1049215,0,2078368,1049215,1029818,2313292,4392325,12621833,3186000,9435833,296.17,12309256
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,371898,0,135201,534405,81958,45725,31832,159515,45225,45225,15824,106274,58395,19467,0,77862,19467,65539,117213,202219,545870,135318,410552,303.4,534405
Interest earned - external investments,,2636558,0,500000,1454904,61440,157792,33628,252860,1063095,1063095,65666,2191856,1286013,284701,0,1570714,284701,587521,319551,1191773,5207203,500000,4707203,941.44,1454904
