Mpumalanga: Dr J.S. Moroka(MP316) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,6167684,0,6862000,9649000,1320000,1330454,1258000,3908454,1277000,1288151,1275000,3840151,1336820,2062000,0,3398820,1299708,1229264,1441085,3970057,15117482,6862253,8255229,120.3,9649000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,25669332,0,28657000,20760000,2025088,8303176,2984000,13312264,3578000,6330000,2798000,12706000,4813268,1542000,0,6355268,14561108,4756898,8274706,27592712,59966244,28656891,31309353,109.26,20760000
Service charges - sanitation revenue,,3623789,0,2547000,3310000,1002849,306798,307000,1616647,304000,301000,300000,905000,323589,296000,0,619589,311560,291135,320961,923656,4064892,2546544,1518348,59.62,3310000
Service charges - refuse revenue,,4070023,0,2700000,3638000,326657,672781,345000,1344438,349000,331000,337000,1017000,351821,336000,0,687821,352104,324086,354660,1030850,4080109,2700000,1380109,51.12,3638000
Service charges - other,,0,0,187443,250000,28369,27410,17000,72779,28000,26220,18000,72220,24750,16870,0,41620,18300,5380,37490,61170,247789,187443,60346,32.19,250000
Rental of facilities and equipment,,2109854,0,172363,112000,8607,5948,5000,19555,9000,8000,4000,21000,21959,7611,0,29570,4925,6826,0,11751,81876,172363,-90487,-52.5,112000
Interest earned - external investments,,8848883,0,14161000,6415000,729000,343877,378000,1450877,721000,414229,477000,1612229,1158089,720280,0,1878369,0,416756,5056483,5473239,10414714,14161000,-3746286,-26.45,6415000
Interest earned - outstanding debtors,,17016016,0,9450000,9450000,1292655,1473019,1311000,4076674,0,1430430,1423000,2853430,1496970,1526000,0,3022970,1567528,1694093,2978000,6239621,16192695,9450000,6742695,71.35,9450000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,1170795,0,195915,196000,11250,4600,19000,34850,17000,11650,15000,43650,9150,40450,0,49600,16350,18700,24950,60000,188100,195915,-7815,-3.99,196000
Licences and permits,,3965356,0,2651543,3634000,0,580514,520000,1100514,0,1127277,549000,1676277,411213,749774,0,1160987,516713,481449,978290,1976452,5914230,2651543,3262687,123.05,3634000
Agency services,,0,0,982000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,982080,-982080,-100,0
Transfers recognised - operational,,0,0,296776000,297076000,113822000,0,0,113822000,11250000,66012000,0,77262000,0,1022000,0,1022000,0,0,0,0,192106000,296776000,-104670000,-35.27,297076000
Other own revenue,,457070095,0,2456000,5041000,756525,285426,1330000,2371951,119000,191913,460000,770913,171049,124169,0,295218,489037,208255,115375,812667,4250749,2455639,1795110,73.1,5041000
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,529711827,0,367798264,359531000,121323000,13334003,8474000,143131003,17652000,77471870,7656000,102779870,10118678,8443154,0,18561832,19137333,9432842,19582000,48152175,312624880,367797671,-55172791,-15.000853825417506,359531000
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,125122545,0,138681952,143850542,9481524,10850757,11325281,31657562,11153095,11376130,12583000,35112225,10864268,12957683,6900660,30722611,11102536,11216618,12325581,34644735,132137133,138681764,-6544631,-4.72,143850542
Remuneration of councillors,,18956638,0,18583255,18583255,1290441,1296911,1290441,3877793,1290441,1290441,1319627,3900509,1303417,1310295,1302271,3915983,2092309,2096109,1387000,5575418,17269703,18583255,-1313552,-7.07,18583255
Debt impairment,,33737194,0,35700000,35700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35700000,-35700000,-100,35700000
Depreciation and asset impairment,,119417371,0,140000000,140000000,0,0,0,0,0,0,0,0,0,3529405,0,3529405,651056,0,0,651056,4180461,140000000,-135819539,-97.01,140000000
Finance charges,,484815,0,350000,0,0,0,20900,20900,32123,0,0,32123,0,4417,30482,34899,13069,0,12000,25069,112991,350000,-237009,-67.72,0
Bulk purchases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other Materials,,23657062,0,36275700,39930318,1035996,2070088,781989,3888073,6818110,3408989,3715865,13942964,708681,1708624,790812,3208117,689709,4683707,5454469,10827885,31867039,36275700,-4408661,-12.15,39930318
Contracted services,,0,0,24220018,27588000,1054000,1249136,1472201,3775337,695278,0,8331179,9026457,2617858,1683961,3513304,7815123,1864022,2444671,1314898,5623591,26240508,24220000,2020508,8.34,27588000
Transfers and grants,,3210304,0,5465075,0,0,182880,2779,185659,32963,24309,24309,81581,32866,43360,0,76226,675299,11398,0,686697,1030163,5465075,-4434912,-81.15,0
Other expenditure,,179495170,0,123267000,116824484,6151129,7268346,9555588,22975063,7665000,12638131,9546103,29849234,10727456,13160288,12397966,36285710,10981000,11910350,23006000,45897350,135007357,123267000,11740357,9.52,116824484
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,504081099,0,522543000,522476599,19013090,22918118,24449179,66380387,27687010,28738000,35520083,91945093,26254546,34398033,24935495,85588074,28069000,32362853,43499948,103931801,347845355,522542794,-174697439,-33.43217837963334,522476599
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,25630728,0,-154744736,-162945599,102309910,-9584115,-15975179,76750616,-10035010,48733870,-27864083,10834777,-16135868,-25954879,-24935495,-67026242,-8931667,-22930011,-23917948,-55779626,-35220475,-154745123,119524648,-77.23968657803839,-162945599
Transfers recognised - capital,,0,0,111849375,111849000,88141000,2296000,0,90437000,0,22024000,0,22024000,0,0,0,0,0,0,0,0,112461000,111849375,611625,0.55,111849000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,25630728,0,-42895361,-51096599,190450910,-7288115,-15975179,167187616,-10035010,70757870,-27864083,32858777,-16135868,-25954879,-24935495,-67026242,-8931667,-22930011,-23917948,-55779626,77240525,-42895748,120136273,-280.06569089318594,-51096599
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,25630728,0,-42895361,-51096599,190450910,-7288115,-15975179,167187616,-10035010,70757870,-27864083,32858777,-16135868,-25954879,-24935495,-67026242,-8931667,-22930011,-23917948,-55779626,77240525,-42895748,120136273,-280.06569089318594,-51096599
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,25630728,0,-42895361,-51096599,190450910,-7288115,-15975179,167187616,-10035010,70757870,-27864083,32858777,-16135868,-25954879,-24935495,-67026242,-8931667,-22930011,-23917948,-55779626,77240525,-42895748,120136273,-280.06569089318594,-51096599
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,25630728,0,-42895361,-51096599,190450910,-7288115,-15975179,167187616,-10035010,70757870,-27864083,32858777,-16135868,-25954879,-24935495,-67026242,-8931667,-22930011,-23917948,-55779626,77240525,-42895748,120136273,-280.06569089318594,-51096599
