Mpumalanga: Thaba Chweu(MP321) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,34081703,0,60329441,112350176,52184091,42850080,1597039,96631210,-138806,-52524,-84624,-275954,-637716,140225,-5171,-502662,-389132,5159,32344,-351629,95500965,60329441,35171524,58.3,112350176
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,109882343,0,144700382,135785832,10692051,11082770,10401034,32175855,9144715,10085309,9553907,28783931,9637189,9149211,11606039,30392439,9870341,4968600,9007137,23846078,115198303,144700382,-29502079,-20.39,135785832
Service charges - water revenue,,27668548,0,25709234,29919741,2432196,2748870,2432349,7613415,2317025,2536890,2375064,7228979,2554827,2519622,2828395,7902844,2274332,2521426,1926430,6722188,29467426,25709234,3758192,14.62,29919741
Service charges - sanitation revenue,,9619645,0,10079090,10749144,893562,893330,897730,2684622,896396,897792,900076,2694264,898252,899434,931415,2729101,903833,1963148,917117,3784098,11892085,10079090,1812995,17.99,10749144
Service charges - refuse revenue,,10900874,0,11562244,12098551,1002563,1011463,1013227,3027253,1005923,1007887,1010857,3024667,1009977,1016077,1047348,3073402,1019058,0,1032846,2051904,11177226,11562244,-385018,-3.33,12098551
Service charges - other,,10,0,0,0,0,50808,0,50808,0,0,0,0,0,0,-362950,-362950,0,0,0,0,-312142,,-312142,0,0
Rental of facilities and equipment,,2208801,0,1805662,2399493,194540,191608,206365,592513,202670,200959,196627,600256,196491,369011,211181,776683,201801,204601,286169,692571,2662023,1805662,856361,47.43,2399493
Interest earned - external investments,,1111928,0,1500000,338517,14285,56984,32212,103481,19532,18712,35857,74101,24583,15270,1107,40960,22121,11623,178850,212594,431136,1500000,-1068864,-71.26,338517
Interest earned - outstanding debtors,,0,0,5197929,8168771,502442,576675,653014,1732131,784968,886556,906212,2577736,961946,989523,904423,2855892,1056420,1064004,864793,2985217,10150976,5197929,4953047,95.29,8168771
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,799773,0,1495163,1294393,139830,75645,201559,417034,207100,118765,101158,427023,84612,251032,333594,669238,149871,75935,192398,418204,1931499,1495164,436335,29.18,1294393
Licences and permits,,26491672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Agency services,,0,0,23450886,13138106,1973673,1090425,1875931,4940029,2158075,983087,636098,3777260,509836,838315,-386957,961194,2269685,334728,2610636,5215049,14893532,23450886,-8557354,-36.49,13138106
Transfers recognised - operational,,78180559,0,94676000,94737000,35820228,0,0,35820228,0,30162000,0,30162000,0,0,24507000,24507000,0,15522313,5345009,20867322,111356550,94676000,16680550,17.62,94737000
Other own revenue,,15331506,0,1852100,689738,191904,615433,94770,902107,95122,104398,37015,236535,193892,242196,151749,587837,122336,124965,12122214,12369515,14095994,1852100,12243894,661.08,689738
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,316277362,0,382358131,421669462,106041365,61244091,19405230,186690686,16692720,46949831,15668247,79310798,15433889,16429916,41767173,73630978,17500666,26796502,34515943,78813111,418445573,382358132,36087441,9.438125668005931,421669462
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,109417840,0,101341704,109880414,8827766,9551431,9315857,27695054,9360300,9302077,9268445,27930822,9089844,9172489,9365793,27628126,9240376,9729138,10160771,29130285,112384287,101341130,11043157,10.9,109880414
Remuneration of councillors,,7428187,0,8166520,7935039,601976,0,637486,1239462,641117,645228,639302,1925647,639302,639301,626081,1904684,1733346,723181,725427,3181954,8251747,8166519,85228,1.04,7935039
Debt impairment,,29687401,0,2000000,2000000,0,0,0,0,0,0,0,0,0,0,0,0,54884940,1490334,1848255,58223529,58223529,2000000,56223529,2811.18,2000000
Depreciation and asset impairment,,33077486,0,44187172,44187172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44187172,-44187172,-100,44187172
