Mpumalanga: Mbombela(MP322) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,290608403,0,324307862,334062904,29394315,29258828,28349194,87002337,26469873,27803999,28082506,82356378,28078482,28449455,27814016,84341953,27583586,27082578,24767589,79433753,333134421,324307862,8826559,2.72,334062904
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,600816891,0,681348254,660924298,54956148,61306202,57903260,174165610,56347360,50173141,48804057,155324558,54011518,58442092,67504911,179958521,57125463,50402701,51319987,158848151,668296840,681348255,-13051415,-1.92,660924298
Service charges - water revenue,,27481996,0,30074473,10138667,2437390,2412152,2879835,7729377,2863942,1963441,2421277,7248660,2062943,17467446,-11741197,7789192,2519622,2513359,2355502,7388483,30155712,30074473,81239,0.27,10138667
Service charges - sanitation revenue,,15874061,0,19652618,19652619,1643225,1532202,1941756,5117183,1706264,1398974,1464673,4569911,1346138,1610929,1541414,4498481,1605043,1514957,1582588,4702588,18888163,19652619,-764456,-3.89,19652619
Service charges - refuse revenue,,65065595,0,69157718,57658739,6023670,6080873,6034217,18138760,5983012,5989391,6069988,18042391,5997450,6016248,6091572,18105270,6021227,6063714,6078673,18163614,72450035,69157715,3292320,4.76,57658739
Service charges - other,,0,0,0,55110758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,55110758
Rental of facilities and equipment,,18592108,0,18849394,21224388,679397,646748,1375535,2701680,704884,1008823,701571,2415278,576638,702990,540128,1819756,563571,550447,643164,1757182,8693896,18849393,-10155497,-53.88,21224388
Interest earned - external investments,,0,0,6225821,6225821,64663,928684,260447,1253794,1057013,143524,1021236,2221773,-1332025,214740,276601,-840684,726409,232285,199304,1157998,3792881,6225819,-2432938,-39.08,6225821
Interest earned - outstanding debtors,,26495129,0,27716216,16321762,1430672,1324177,339559,3094408,1404696,1667277,1519518,4591491,4637047,1601582,1555511,7794140,1569566,1495806,-7200687,-4135315,11344724,27716215,-16371491,-59.07,16321762
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,15327210,0,4011559,14116682,391495,214183,233241,838919,281314,437739,427345,1146398,247912,223598,329735,801245,385596,288377,820771,1494744,4281306,4011559,269747,6.72,14116682
Licences and permits,,4374,0,49636,1800,0,210,270,480,0,270,50,320,90,210,0,300,0,210,50,260,1360,49637,-48277,-97.26,1800
Agency services,,28456300,0,119451645,125361683,8654111,11677500,12340510,32672121,10956447,8605466,11349694,30911607,9975409,9531851,10679361,30186621,10661903,10579788,12115620,33357311,127127660,119451646,7676014,6.43,125361683
Transfers recognised - operational,,359287316,0,397237000,395322171,154661060,1525913,2987426,159174399,4266501,7737643,131054324,143058468,28698722,5474124,15944240,50117086,109009721,6382754,3165910,118558385,470908338,397237000,73671338,18.55,395322171
Other own revenue,,87845147,0,26149076,26398927,2054362,922113,266468,3242943,934528,490023,4893676,6318227,1504927,7736043,113624,9354594,3750841,1917580,8262918,13931339,32847103,26149077,6698026,25.61,26398927
Gains on disposal of PPE,,1816084,0,3920000,3920000,19897143,-19895649,0,1494,61327,401981,11401,474709,-476203,0,0,-476203,0,0,1,1,1,3920000,-3919999,-100,3920000
Total Revenue (excl. capital transfers and contributions),,1537670614,0,1728151272,1746441219,282287651,97934136,114911718,495133505,113037161,107821692,237821316,458680169,135329048,137471308,120649916,393450272,221522548,109024556,104111390,434658494,1781922440,1728151270,53771170,3.1114851421542515,1746441219
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,459896517,0,483443112,492573950,34635112,40571711,40482219,115689042,41690296,39495051,43268626,124453973,54556957,40417815,39533390,134508162,42546069,43370479,43221181,129137729,503788906,483443111,20345795,4.21,492573950
Remuneration of councillors,,25891785,0,27723928,27723930,2163647,2163647,2163647,6490941,2196080,2189031,2186295,6571406,2131275,2132732,2156453,6420460,3748484,2327641,2327641,8403766,27886573,27723930,162643,0.59,27723930
Debt impairment,,48538777,0,101208684,91224727,0,16868114,8434057,25302171,8434057,8434057,8434057,25302171,8434057,13111071,8434057,29979185,8434057,8434057,8434057,25302171,105885698,101208683,4677015,4.62,91224727
Depreciation and asset impairment,,217954807,0,234411102,211097846,0,0,53311726,53311726,17291717,17353999,17294264,51939980,17294230,0,35525431,52819661,17544425,0,36164329,53708754,211780121,234411101,-22630980,-9.65,211097846
Finance charges,,52684475,0,51682413,52563197,60000,79833,635228,775061,74405,156862,13362048,13593315,10246754,-12080,551628,10786302,9857499,4,14409531,24267034,49421712,51682414,-2260702,-4.37,52563197
Bulk purchases,,437830995,0,446195293,446681757,0,30338491,54888559,85227050,34572998,73309235,82160349,190042582,-30078302,34745310,31639371,36306379,36902832,32824475,1398796,71126103,382702114,446195293,-63493179,-14.23,446681757
Other Materials,,1,0,43035117,45871895,2626389,3564282,4179951,10370622,5815081,4423084,4152640,14390805,2701295,4399843,5508720,12609858,2497076,2586770,2269760,7353606,44724891,43035116,1689775,3.93,45871895
Contracted services,,244593597,0,218204107,290555840,5906856,15365699,14248928,35521483,24578510,21739959,47227849,93546318,4871535,29208000,38684414,72763949,22695594,21413641,35900079,80009314,281841064,218204108,63636956,29.16,290555840
Transfers and grants,,23707021,0,138362950,148696923,67716,6843649,13773473,20684838,13776343,16492187,18128562,48397092,4350099,8022039,13624565,25996703,12976825,24764959,8160740,45902524,140981157,138362948,2618209,1.89,148696923
