Mpumalanga: Umjindi(MP323) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,22306340,0,17362016,17362016,2428800,0,2251569,4680369,2218048,2231697,1597971,6047716,1722525,1793147,58501,3574173,1622217,1750340,1747978,5120535,19422793,17362016,2060777,11.87,17362016
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,65908127,0,78772006,78772006,6654560,6282241,6165268,19102069,4843282,5737221,6073770,16654273,5514184,5481670,5815937,16811791,5957002,5232406,6442041,17631449,70199582,78772008,-8572426,-10.88,78772006
Service charges - water revenue,,21035902,0,29931182,29931182,5027891,0,1788995,6816886,2273846,2321390,1669736,6264972,2245306,1287799,168142,3701247,4309422,1618809,5087419,11015650,27798755,29931180,-2132425,-7.12,29931182
Service charges - sanitation revenue,,17145452,0,5972712,5972712,497618,489748,489754,1477120,488253,487860,485723,1461836,476391,496845,486120,1459356,483852,345932,485701,1315485,5713797,5972712,-258915,-4.33,5972712
Service charges - refuse revenue,,0,0,12396998,12396998,1042794,1055406,1060568,3158768,962601,1058106,1061421,3082128,1060799,1061800,1057600,3180199,1064270,1067443,1059982,3191695,12612790,12396996,215794,1.74,12396998
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,535811,0,1092412,1092412,46162,62558,39756,148476,42251,244815,45848,332914,50488,44721,37470,132679,60210,39262,125259,224731,838800,1092240,-253440,-23.2,1092412
Interest earned - external investments,,509136,0,350000,350000,24852,29551,69501,123904,78403,20228,201876,300507,256592,11703,-7126,261169,77565,148261,182813,408639,1094219,350004,744215,212.63,350000
