Mpumalanga: Nkomazi(MP324) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,64117324,0,81773272,81773272,12359304,10771281,10223476,33354061,1150426,3998990,8817744,13967160,8819953,8524224,8959546,26303723,8776352,8877407,11022793,28676552,102301496,81773272,20528224,25.1,81773272
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,55892235,0,68342371,59783705,4421532,5190435,3811060,13423027,6767322,4788047,4695651,16251020,6929800,5169747,5360479,17460026,6860344,16678368,5210996,28749708,75883781,68342371,7541410,11.03,59783705
Service charges - water revenue,,12385237,0,19360181,14831793,1104824,1346266,1401544,3852634,1389190,1248302,964009,3601501,1603295,1343648,1246134,4193077,1341575,1617254,1336764,4295593,15942805,19360181,-3417376,-17.65,14831793
Service charges - sanitation revenue,,3468359,0,3960840,3822614,319816,318764,319761,958341,319918,316827,318602,955347,314319,325750,320488,960557,320175,322509,320570,963254,3837499,3960840,-123341,-3.11,3822614
Service charges - refuse revenue,,5106381,0,5916606,5439313,459389,450251,458428,1368068,457216,441711,455456,1354383,459150,461219,463785,1384154,465320,469206,467156,1401682,5508287,5916609,-408322,-6.9,5439313
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,3609558,0,4573913,5163435,1826852,123014,105767,2055633,178668,122407,149259,450334,150956,114464,77246,342666,120502,159213,103895,383610,3232243,4573914,-1341671,-29.33,5163435
Interest earned - external investments,,1794382,0,2662000,662000,0,0,0,0,0,0,0,0,0,6169,0,6169,0,0,-13879,-13879,-7710,2662000,-2669710,-100.29,662000
