Northern Cape: Richtersveld(NC061) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,7932459,0,8824000,8693323,8559528,-26865,-14661,8518002,-4126,0,0,-4126,8557404,-49069,0,8508335,85454,-12571,0,72883,17095094,8823929,8271165,93.74,8693323
Property rates - penalties and collection charges,,757704,0,857000,1014670,70784,15473,15673,101930,146081,87582,87582,321245,70784,0,0,70784,83774,0,0,83774,577733,856942,-279209,-32.58,1014670
Service charges - electricity revenue,,8236331,0,9114000,10348307,945957,743194,715096,2404247,785241,757219,757219,2299679,1046158,249108,308732,1603998,639592,312477,323303,1275372,7583296,9114123,-1530827,-16.8,10348307
Service charges - water revenue,,5411191,0,5553000,4956450,539882,236822,328621,1105325,378018,389708,389708,1157434,610312,173,801,611286,413914,-13962,5315,405267,3279312,5553321,-2274009,-40.95,4956450
Service charges - sanitation revenue,,2357751,0,1390000,2160809,361557,193313,211726,766596,205961,226604,226604,659169,356378,6854,-9406,353826,222046,3097,23736,248879,2028470,1389797,638673,45.95,2160809
Service charges - refuse revenue,,2441053,0,2006000,2144000,347970,197918,212908,758796,216354,213594,213594,643542,347970,6824,0,354794,215606,-8044,8450,216012,1973144,2006445,-33301,-1.66,2144000
Service charges - other,,-435272,0,2752361,3352520,2698,2595,3740,9033,3501,4085,4085,11671,2698,3578,3316,9592,2207,2699,3892,8798,39094,2751916,-2712822,-98.58,3352520
Rental of facilities and equipment,,1925364,0,2204509,2162614,156030,95985,111350,363365,130870,78349,78349,287568,156030,72843,119670,348543,148113,63825,48412,260350,1259826,2204981,-945155,-42.86,2162614
Interest earned - external investments,,359693,0,368000,367887,15754,31453,0,47207,14090,17005,20017,51112,15754,26102,18224,60080,19801,0,25980,45781,204180,367884,-163704,-44.5,367887
Interest earned - outstanding debtors,,1735139,0,1710000,2275000,159402,146302,147329,453033,178421,164535,164558,507514,159402,22,0,159424,169853,0,0,169853,1289824,1710156,-420332,-24.58,2275000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,8347,0,11000,6000,2069,400,0,2469,260,150,150,560,2069,0,400,2469,1610,2400,330,4340,9838,10568,-730,-6.91,6000
Licences and permits,,27702,0,528,26328,25,25,25,75,25,25,25,75,25,6406,5125,11556,7656,9853,5962,23471,35177,528,34649,6562.31,26328
Agency services,,383514,0,395000,381204,37670,20076,21758,79504,29553,35651,35651,100855,37670,33835,40699,112204,24595,20625,38750,83970,376533,395001,-18468,-4.68,381204
Transfers recognised - operational,,15826594,0,18875008,20999782,5073140,140,140,5073420,140,4437140,4437140,8874420,5073140,5090192,3472140,13635472,140,140,875,1155,27584467,18875007,8709460,46.14,20999782
Other own revenue,,1014510,0,4158000,2176471,2488,264336,2454,269278,37574,11905,180707,230186,20680,36891,97840,155411,3181,46082,395827,445090,1099965,4157727,-3057762,-73.54,2176471
