Northern Cape: Kamiesberg(NC064) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,3164373,0,4256500,5666000,0,0,0,0,6657424,0,0,6657424,0,0,0,0,0,0,0,0,6657424,4256506,2400918,56.41,5666000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,2028663,0,4889000,5208000,410525,506778,448385,1365688,445332,364074,439066,1248472,459363,275272,417474,1152109,486889,418975,478876,1384740,5151009,4888812,262197,5.36,5208000
Service charges - water revenue,,3198738,0,3487000,3505000,256627,269776,273352,799755,297709,302141,352951,952801,287572,334976,339121,961669,305895,521841,270011,1097747,3811972,3487101,324871,9.32,3505000
Service charges - sanitation revenue,,1221429,0,1404750,1409000,110101,110266,105197,325564,109913,109913,109913,329739,107838,108910,108825,325573,110528,110916,110916,332360,1313236,1404553,-91317,-6.5,1409000
Service charges - refuse revenue,,1520272,0,1876500,1947000,140838,140564,139137,420539,140893,141011,139985,421889,116166,139884,141329,397379,140928,136980,144311,422219,1662026,1877109,-215083,-11.46,1947000
Service charges - other,,0,0,0,0,30605,3622,5947,40174,2648,7912,6306,16866,5505,5945,626,12076,1699,1456,-17409,-14254,54862,,54862,0,0
Rental of facilities and equipment,,213720,0,0,0,33478,32447,3138,69063,32714,20949,6848,60511,33536,15598,23668,72802,13739,13679,31174,58592,260968,,260968,0,0
Interest earned - external investments,,73864,0,0,0,27,74,31,132,30,76,441,547,112,110,88,310,151,140545,-140405,291,1280,,1280,0,0
Interest earned - outstanding debtors,,2444736,0,1182000,992000,215112,216161,-14049,417224,222258,223028,227056,672342,223210,222731,234459,680400,264908,253104,271095,789107,2559073,1181715,1377358,116.56,992000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,934,0,0,0,0,0,311,311,0,101,0,101,0,67,104,171,0,0,2916,2916,3499,,3499,0,0
Licences and permits,,342124,0,0,0,25,125,0,150,75,0,75,150,25,25,25,75,25,85,121949,122059,122434,,122434,0,0
Agency services,,399806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392899,392899,392899,,392899,0,0
Transfers recognised - operational,,17838499,0,18888000,18888000,5065000,934000,0,5999000,0,0,0,0,5051000,0,0,5051000,0,2361000,0,2361000,13411000,18887999,-5476999,-29,18888000
Other own revenue,,675131,0,370500,472000,126565,44532,45340,216437,41567,39746,47567,128880,20566,38562,38287,97415,38160,38079,133739,209978,652710,370689,282021,76.08,472000
Gains on disposal of PPE,,0,0,0,0,1053,0,0,1053,219,0,-3640,-3421,0,88,0,88,0,0,0,0,-2280,,-2280,0,0
Total Revenue (excl. capital transfers and contributions),,33122289,0,36354250,38087000,6389956,2258345,1006789,9655090,7950782,1208951,1326568,10486301,6304893,1142168,1304006,8751067,1362922,3996660,1800072,7159654,36052112,36354484,-302372,-0.8317323387123305,38087000
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
