Northern Cape: Hantam(NC065) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,5679400,0,6261350,6211183,6254791,8278,-2553,6260516,4653,-55717,954,-50110,0,109,3311,3420,0,0,-2006,-2006,6211820,6261349,-49529,-0.79,6211183
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,18254298,0,20717126,21124298,1797716,2229480,1770762,5797958,1792639,1648482,1390267,4831388,1874886,1776871,1612556,5264313,3038407,230490,1866955,5135852,21029511,20717126,312385,1.51,21124298
Service charges - water revenue,,5431104,0,7805748,7409461,528403,584228,633599,1746230,632279,703523,610885,1946687,707769,894355,698902,2301026,706306,627432,672468,2006206,8000149,7805748,194401,2.49,7409461
Service charges - sanitation revenue,,6972006,0,4502035,5156213,805944,848226,843655,2497825,836014,839046,827681,2502741,840486,834593,821380,2496459,836832,832949,828581,2498362,9995387,4502035,5493352,122.02,5156213
Service charges - refuse revenue,,0,0,4741060,4789620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4741060,-4741060,-100,4789620
Service charges - other,,180893,0,185000,338965,19597,45117,54823,119537,19057,10175,24502,53734,22523,4019,17077,43619,7351,14823,10992,33166,250056,185000,65056,35.17,338965
Rental of facilities and equipment,,151989,0,756970,756420,7937,7870,8120,23927,7940,8379,6934,23253,7617,10573,8206,26396,6222,5092,5917,17231,90807,756970,-666163,-88,756420
Interest earned - external investments,,439818,0,250000,400000,3928,96938,54564,155430,44992,36383,40094,121469,28204,23051,25984,77239,27089,8363,68057,103509,457647,250000,207647,83.06,400000
Interest earned - outstanding debtors,,1322358,0,1080000,1410542,116229,109083,105964,331276,129550,117759,130780,378089,71103,110432,117777,299312,127704,134938,105687,368329,1377006,1080000,297006,27.5,1410542
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,91096,0,48000,48000,4023,7510,3921,15454,5309,11850,606,17765,5597,7160,10052,22809,11353,834,6641,18828,74856,48000,26856,55.95,48000
Licences and permits,,1388550,0,1413300,1413000,0,105010,127937,232947,106537,135907,113686,356130,63882,101648,134000,299530,214845,0,222392,437237,1325844,1413300,-87456,-6.19,1413000
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,28383572,0,25542000,25542000,0,0,0,0,0,0,0,0,14996000,0,0,14996000,0,0,0,0,14996000,25542000,-10546000,-41.29,25542000
Other own revenue,,423326,0,6770137,6212310,3600,1949,6826,12375,5245,2993,4442,12680,5467,2483,5877,13827,21666,9065,30324,61055,99937,6770137,-6670200,-98.52,6212310
Gains on disposal of PPE,,145290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,68863700,0,80072726,80812012,9542168,4043689,3607618,17193475,3584215,3458780,3150831,10193826,18623534,3765294,3455122,25843950,4997775,1863986,3816008,10677769,63909020,80072725,-16163705,-20.18628065923821,80812012
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,25309374,0,28353958,29728318,2182516,2218253,2202367,6603136,2266689,3487304,2309392,8063385,2345319,3075006,2312353,7732678,2354206,2622453,1671785,6648444,29047643,28353958,693685,2.45,29728318
Remuneration of councillors,,2372134,0,2590045,2590045,196678,196678,196678,590034,196678,196678,196678,590034,196678,196678,196678,590034,304863,207175,207724,719762,2489864,2590045,-100181,-3.87,2590045
Debt impairment,,4818879,0,4784045,3527745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4784045,-4784045,-100,3527745
Depreciation and asset impairment,,3776336,0,4477715,4315256,0,0,1073019,1073019,357376,368128,359527,1085031,359528,359527,0,719055,719052,359529,0,1078581,3955686,4477715,-522029,-11.66,4315256
Finance charges,,1339080,0,1528032,1431257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528032,-1528032,-100,1431257
Bulk purchases,,15016782,0,18956000,18956000,0,3151950,555355,3707305,1542967,999125,434720,2976812,1897158,1127563,985982,4010703,1049690,1142251,1018325,3210266,13905086,18956000,-5050914,-26.65,18956000
Other Materials,,2802979,0,3757920,3307020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3757920,-3757920,-100,3307020
