Northern Cape: Karoo Hoogland(NC066) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,4499439,0,4861787,4861787,5199391,450512,6952,5656855,-9736,11234,3094,4592,25644,10196,11288,47128,11288,11288,0,22576,5731151,4861787,869364,17.88,4861787
Property rates - penalties and collection charges,,262140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,7000273,0,8668991,8668991,754041,600910,771368,2126319,681558,705176,659836,2046570,848645,570026,664777,2083448,717775,712661,885077,2315513,8571850,8668992,-97142,-1.12,8668991
Service charges - water revenue,,2022283,0,2700000,2700000,236302,150025,153302,539629,186962,189099,196053,572114,255633,-97965,261611,419279,222325,228556,213860,664741,2195763,2700000,-504237,-18.68,2700000
Service charges - sanitation revenue,,1608151,0,3493000,3493000,329850,295738,316816,942404,315844,308268,308882,932994,306887,204048,243965,754900,252445,244957,244897,742299,3372597,3492996,-120399,-3.45,3493000
Service charges - refuse revenue,,1481323,0,0,0,0,0,0,0,0,0,0,0,0,1732515,216640,1949155,216640,217009,216570,650219,2599374,,2599374,0,0
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,695194,0,0,0,52096,74833,45277,172206,46111,43906,54455,144472,45801,60817,42657,149275,91983,42296,121334,255613,721566,,721566,0,0
Interest earned - external investments,,146147,0,0,0,0,0,29180,29180,34,7,3652,3693,13686,13758,12184,39628,15012,13302,11415,39729,112230,,112230,0,0
Interest earned - outstanding debtors,,525780,0,0,0,67821,69872,74762,212455,76817,79291,78851,234959,78192,81499,82023,241714,62443,82113,81762,226318,915446,,915446,0,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,5519,0,0,0,150,180,435,765,514,2109,104,2727,112,988,318,1418,107,122,278,507,5417,,5417,0,0
Licences and permits,,78792,0,0,0,0,20,12570,12590,0,0,4290,4290,0,0,0,0,100,0,10914,11014,27894,,27894,0,0
Agency services,,220798,0,0,0,73,22901,17484,40458,13501,33493,17784,64778,18092,24684,22775,65551,24538,20459,15721,60718,231505,,231505,0,0
Transfers recognised - operational,,17872328,0,17403000,17403000,7606000,1341081,0,8947081,15,0,4890000,4890015,220,49734,5104722,5154676,502444,0,0,502444,19494216,17403000,2091216,12.02,17403000
Other own revenue,,275610,0,2341228,2341228,269521,12662,316574,598757,310403,396157,227600,934160,243367,36200,22831,302398,21689,201318,61520,284527,2119842,2343096,-223254,-9.53,2341228
Gains on disposal of PPE,,234907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,36928684,0,39468006,39468006,14515245,3018734,1744720,19278699,1622023,1768740,6444601,9835364,1836279,2686500,6685791,11208570,2138789,1774081,1863348,5776218,46098851,39469871,6628980,16.79503842310506,39468006
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,17201933,0,18157192,18157192,1516438,1513028,1516285,4545751,1694968,1395449,2366062,5456479,1324583,1302531,1322078,3949192,1289411,1546801,1479702,4315914,18267336,18157188,110148,0.61,18157192
