Northern Cape: Khai-Ma(NC067) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,2810413,0,3319410,3000120,2999335,460,0,2999795,0,0,0,0,0,0,0,0,171,0,-24,147,2999942,3319416,-319474,-9.62,3000120
Property rates - penalties and collection charges,,0,0,100000,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99996,-99996,-100,80000
Service charges - electricity revenue,,5742539,0,6763170,6957780,675384,604999,605840,1886223,538327,494540,467808,1500675,648147,551207,572646,1772000,343375,517398,620016,1480789,6639687,6763176,-123489,-1.83,6957780
Service charges - water revenue,,5680126,0,6598810,6324900,504434,305739,427433,1237606,471549,545341,476342,1493232,620351,595124,572517,1787992,489746,445483,500088,1435317,5954147,6598812,-644665,-9.77,6324900
Service charges - sanitation revenue,,843192,0,1630930,1015000,78530,79992,62675,221197,87015,79799,76320,243134,79123,81244,80969,241336,84563,89911,83306,257780,963447,1630932,-667485,-40.93,1015000
Service charges - refuse revenue,,680061,0,763160,763160,67531,67524,64183,199238,68631,64046,66528,199205,66456,66350,66631,199437,66259,68072,66986,201317,799197,763164,36033,4.72,763160
Service charges - other,,0,0,48500,48500,546,94,1014,1654,677,336,54,1067,804,234,264,1302,13961,432,5764,20157,24180,47496,-23316,-49.09,48500
Rental of facilities and equipment,,170159,0,1082500,122500,10016,10006,13910,33932,10664,11020,45163,66847,10801,10693,11863,33357,10146,18061,12144,40351,174487,1082496,-908009,-83.88,122500
Interest earned - external investments,,366699,0,200000,200000,26634,0,59219,85853,21718,0,30306,52024,11023,6911,7997,25931,0,0,18847,18847,182655,200004,-17349,-8.67,200000
Interest earned - outstanding debtors,,2734920,0,648000,648000,47931,52763,56152,156846,59035,66926,71375,197336,74169,78286,82970,235425,84965,89533,93864,268362,857969,648000,209969,32.4,648000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,3050,0,30000,30000,200,0,0,200,0,0,0,0,0,0,1600,1600,1000,0,0,1000,2800,30000,-27200,-90.67,30000
Licences and permits,,26787,0,35550,35550,2714,1666,2907,7287,1463,2078,2388,5929,1866,2044,1557,5467,837,809,3216,4862,23545,35556,-12011,-33.78,35550
Agency services,,134019,0,135000,135000,13548,11845,14688,40081,10202,12084,13832,36118,19064,11161,18987,49212,14817,11056,12389,38262,163673,135000,28673,21.24,135000
Transfers recognised - operational,,25299702,0,23216180,24589640,2006303,2420160,3648014,8074477,1123686,332120,2260187,3715993,604308,5393905,1101542,7099755,1139781,3091230,1690253,5921264,24811489,23216184,1595305,6.87,24589640
Other own revenue,,2169048,0,3977530,8328660,1691,384,4244,6319,2645,1551,948565,952761,3785,850,4428,9063,862,29694,373,30929,999072,3978528,-2979456,-74.89,8328660
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,46660715,0,48548740,52278810,6434797,3555632,4960279,14950708,2395612,1609841,4458868,8464321,2139897,6798009,2523971,11461877,2250483,4361679,3107222,9719384,44596290,48548760,-3952470,-8.14123779886448,52278810
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,11146536,0,17461430,15921320,971547,951651,974588,2897786,922455,938212,953756,2814423,1008464,1005058,1023047,3036569,897843,964066,933864,2795773,11544551,17460984,-5916433,-33.88,15921320
Remuneration of councillors,,1736146,0,1858090,1858090,144679,144679,144679,434037,138218,138218,144679,421115,144679,144679,144679,434037,144679,144679,144679,434037,1723226,1858092,-134866,-7.26,1858090
