Northern Cape: Ubuntu(NC071) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,2441770,0,7757000,7757000,248954,73402,71627,393983,82277,-36641,19426137,19471773,-3685,5700724,-47509,5649530,45321,0,0,45321,25560607,7756533,17804074,229.54,7757000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,9130000,0,11614000,11614000,468230,571642,468923,1508795,505424,786011,690471,1981906,843301,767549,737719,2348569,885486,0,0,885486,6724756,11614044,-4889288,-42.1,11614000
Service charges - water revenue,,5785508,0,6465000,6465000,538620,643551,1240256,2422427,793306,457457,1184440,2435203,512206,1029327,519075,2060608,3148101,0,0,3148101,10066339,6464868,3601471,55.71,6465000
Service charges - sanitation revenue,,1504000,0,3305000,3305000,283696,292800,290120,866616,285308,199139,260163,744610,235052,231927,247281,714260,259046,0,0,259046,2584532,3304728,-720196,-21.79,3305000
Service charges - refuse revenue,,2018762,0,3431000,3431000,344918,345603,346029,1036550,345758,213101,281375,840234,267106,253531,248445,769082,281335,0,0,281335,2927201,3431016,-503815,-14.68,3431000
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,437956,0,658000,658000,26643,17653,20542,64838,28100,33325,32603,94028,45754,23061,25458,94273,31342,0,0,31342,284481,657744,-373263,-56.75,658000
Interest earned - external investments,,189124,0,388000,388000,94233,11326,14389,119948,14676,10819,10697,36192,17472,14608,9440,41520,15317,0,0,15317,212977,387996,-175019,-45.11,388000
Interest earned - outstanding debtors,,1782380,0,2200000,2200000,190658,296715,195157,682530,214509,216895,216453,647857,214509,221262,239285,675056,242663,0,0,242663,2248106,2199996,48110,2.19,2200000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,52473517,0,21504000,21504000,1306645,194937,676572,2178154,413736,377841,521661,1313238,413736,1683109,324850,2421695,432078,0,0,432078,6345165,21504204,-15159039,-70.49,21504000
Licences and permits,,988021,0,1063000,1063000,85626,105253,91948,282827,103216,90062,32098,225376,91407,39298,73602,204307,67242,0,0,67242,779752,1062960,-283208,-26.64,1063000
Agency services,,12855,0,15000,15000,0,0,0,0,0,254,569,823,225,434,260,919,122,0,0,122,1864,15000,-13136,-87.57,15000
Transfers recognised - operational,,30114716,0,26240000,26240000,10408721,325099,0,10733820,109253,1894399,6844456,8848108,539657,3736392,2473349,6749398,0,0,0,0,26331326,26148000,183326,0.7,26240000
Other own revenue,,332309,0,790000,790000,1886929,2097071,2441870,6425870,2188124,-186424,-11994,1989706,236923,-221557,-24259,-8893,-137130,0,0,-137130,8269553,881976,7387577,837.62,790000
Gains on disposal of PPE,,0,0,45000,45000,0,0,0,0,0,0,0,0,20000,6500,0,26500,0,0,0,0,26500,45000,-18500,-41.11,45000
Total Revenue (excl. capital transfers and contributions),,107210918,0,85475000,85475000,15883873,4975052,5857433,26716358,5083687,4056238,29489129,38629054,3433663,13486165,4826996,21746824,5270923,0,0,5270923,92363159,85474065,6889094,8.059864708669231,85475000
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,24732334,0,31664000,31664000,2398022,2294681,2250342,6943045,2211082,2105473,2171010,6487565,2197670,2209527,2105885,6513082,-2240635,0,0,-2240635,17703057,31664660,-13961603,-44.09,31664000
Remuneration of councillors,,2359485,0,2837000,2837000,180005,180005,180005,540015,180005,195692,195692,571389,195692,195692,195692,587076,-195692,0,0,-195692,1502788,2837481,-1334693,-47.04,2837000
Debt impairment,,44825749,0,3930000,3930000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3929658,-3929658,-100,3930000
Depreciation and asset impairment,,5948667,0,6396000,6396000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6394872,-6394872,-100,6396000
Finance charges,,900353,0,769000,769000,57341,31481,26178,115000,27566,83784,112432,223782,89715,184921,129119,403755,102667,0,0,102667,845204,769464,75740,9.84,769000
Bulk purchases,,12782651,0,10715000,10715000,0,0,0,0,157501,2627399,302215,3087115,327297,2612713,811283,3751293,5327695,0,0,5327695,12166103,10715112,1450991,13.54,10715000
Other Materials,,1255587,0,0,0,213723,126338,47476,387537,103032,0,0,103032,0,0,0,0,0,0,0,0,490569,,490569,0,0
Contracted services,,7142222,0,14005000,14005000,565447,218608,546996,1331051,223995,242709,289070,755774,186657,885930,470612,1543199,-232277,0,0,-232277,3397747,14004996,-10607249,-75.74,14005000
Transfers and grants,,6849945,0,4029000,4029000,0,0,0,0,0,275783,344234,620017,1020556,302498,333546,1656600,-212253,0,0,-212253,2064364,4028844,-1964480,-48.76,4029000
Other expenditure,,7928929,0,13252000,13252000,537372,1130398,531776,2199546,1488036,2765163,2742851,6996050,356670,1190780,159286,1706736,1516641,0,0,1516641,12418973,13251372,-832399,-6.28,13252000
Loss on disposal of PPE,,652957,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,-1128,-100,1000
Total Expenditure,,115378879,0,87598000,87598000,3951910,3981511,3582773,11516194,4391217,8296003,6157504,18844724,4374257,7582061,4205423,16161741,4066146,0,0,4066146,50588805,87597587,-37008782,-42.248631803065535,87598000
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-8167961,0,-2123000,-2123000,11931963,993541,2274660,15200164,692470,-4239765,23331625,19784330,-940594,5904104,621573,5585083,1204777,0,0,1204777,41774354,-2123522,43897876,-2067.220212458359,-2123000
Transfers recognised - capital,,12069660,0,11155000,11155000,0,258109,39868,297977,651998,447477,505390,1604865,508381,138155,0,646536,0,0,0,0,2549378,11155000,-8605622,-77.15,11155000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,3901699,0,9032000,9032000,11931963,1251650,2314528,15498141,1344468,-3792288,23837015,21389195,-432213,6042259,621573,6231619,1204777,0,0,1204777,44323732,9031478,35292254,390.7694178073622,9032000
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,3901699,0,9032000,9032000,11931963,1251650,2314528,15498141,1344468,-3792288,23837015,21389195,-432213,6042259,621573,6231619,1204777,0,0,1204777,44323732,9031478,35292254,390.7694178073622,9032000
