Northern Cape: Umsobomvu(NC072) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,4631572,0,5030845,8116592,1153618,1469443,555791,3178852,560970,318668,569931,1449569,567530,556377,594389,1718296,574357,584905,807308,1966570,8313287,5030846,3282441,65.25,8116592
Property rates - penalties and collection charges,,170266,0,168540,178652,13806,13706,13673,41185,18451,25586,23496,67533,23117,22718,823,46658,18569,16873,16829,52271,207647,168540,39107,23.2,178652
Service charges - electricity revenue,,22230485,0,27752812,27859500,3202337,625079,1740933,5568349,1589696,1527571,1697713,4814980,1519740,3081538,273904,4875182,1563324,1462052,5121403,8146779,23405290,27752812,-4347522,-15.67,27859500
Service charges - water revenue,,11039542,0,9931254,12385074,883609,929560,1003147,2816316,1066137,966898,1126887,3159922,1245725,955011,1047973,3248709,1129562,882822,921023,2933407,12158354,9931253,2227101,22.43,12385074
Service charges - sanitation revenue,,7008543,0,7417821,7791777,648214,649870,648001,1946085,651176,650476,655344,1956996,644794,638316,650039,1933149,655483,655580,668611,1979674,7815904,7417824,398080,5.37,7791777
Service charges - refuse revenue,,5455432,0,5725794,5974883,490998,492200,521068,1504266,494342,493656,495731,1483729,499690,495405,496679,1491774,498704,498293,497865,1494862,5974631,5725794,248837,4.35,5974883
Service charges - other,,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,406806,0,395540,1041720,87704,83835,84203,255742,86234,85898,83392,255524,83225,84539,90165,257929,86629,86571,85264,258464,1027659,395540,632119,159.81,1041720
Interest earned - external investments,,692873,0,312000,422000,6749,57249,116781,180779,4980,57242,5198,67420,63545,6898,6122,76565,127430,12064,67445,206939,531703,312000,219703,70.42,422000
Interest earned - outstanding debtors,,1634306,0,1426994,1672090,126140,303698,48726,478564,183678,153099,158637,495414,172705,184856,162079,519640,170214,171670,144979,486863,1980481,1426994,553487,38.79,1672090
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,684469,0,1575000,2019124,125594,135014,121178,381786,90094,123527,215688,429309,658447,786580,688811,2133838,505890,658483,584866,1749239,4694172,1575000,3119172,198.04,2019124
Licences and permits,,531236,0,710282,714462,210841,-10688,172519,372672,7865,22135,-87862,-57862,237741,-12732,-96247,128762,173072,40977,-74554,139495,583067,710280,-127213,-17.91,714462
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,33932000,0,36664400,36664400,14617000,934000,495500,16046500,0,10067000,0,10067000,0,495500,8771000,9266500,0,0,1284400,1284400,36664400,36664400,0,0,36664400
Other own revenue,,6675300,0,4189588,4285036,34079,49529,29630,113238,62714,18284,28892,109890,48145,37489,128571,214205,40226,89308,3605169,3734703,4172036,4189584,-17548,-0.42,4285036
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,95092980,0,101300870,109125310,21600689,5732495,5551150,32884334,4816337,14510040,4973047,24299424,5764404,7332495,12814308,25911207,5543460,5159598,13730608,24433666,107528631,101300867,6227764,6.147789435997621,109125310
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,33695252,0,39056525,39083860,2746470,2686485,2667850,8100805,2641486,2833932,2776794,8252212,2885174,3039349,2819524,8744047,2727894,2741608,2873127,8342629,33439693,39056532,-5616839,-14.38,39083860
Remuneration of councillors,,2992090,0,2944519,2944519,249087,243916,255152,748155,266527,231170,260545,758242,231479,232406,233848,697733,463174,245947,82725,791846,2995976,2944524,51452,1.75,2944519
Debt impairment,,8606162,0,5238063,5238093,436318,436315,436688,1309321,436688,436688,436688,1310064,436688,0,873376,1310064,436688,436695,435239,1308622,5238071,5238060,11,0,5238093
Depreciation and asset impairment,,27893034,0,23834140,23834140,1986179,1986166,1986171,5958516,1986171,1986171,1986171,5958513,1986171,0,3972342,5958513,1986171,1986171,1986126,5958468,23834010,23834136,-126,0,23834140
Finance charges,,465601,0,296000,360000,33624,34231,34417,102272,34417,30964,31296,96677,31288,30540,27738,89566,29455,28100,37391,94946,383461,296004,87457,29.55,360000
Bulk purchases,,18410486,0,18670000,18670000,25356,2566300,2390446,4982102,1252058,1261220,1188172,3701450,1315821,1280284,166728,2762833,2194504,1418170,1210743,4823417,16269802,18669999,-2400197,-12.86,18670000
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,0,0,4562362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4562364,-4562364,-100,0
Transfers and grants,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other expenditure,,32688428,0,31427172,40421323,2286760,2689057,3585370,8561187,2843756,3239555,3057231,9140542,2098150,2850118,3952866,8901134,978828,2456938,6013641,9449407,36052270,31425941,4626329,14.72,40421323
Loss on disposal of PPE,,28481,0,0,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1224,-1224,-100,1228
Total Expenditure,,124779534,0,126028781,130553163,7763794,10642470,11356094,29762358,9461103,10019700,9736897,29217700,8984771,7432697,12046422,28463890,8816714,9313629,12638992,30769335,118213283,126028784,-7815501,-6.201361904753441,130553163
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-29686554,0,-24727911,-21427853,13836895,-4909975,-5804944,3121976,-4644766,4490340,-4763850,-4918276,-3220367,-100202,767886,-2552683,-3273254,-4154031,1091616,-6335669,-10684652,-24727917,14043265,-56.79113610742061,-21427853
Transfers recognised - capital,,52349106,0,43090600,50831600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26641537,26641537,26641537,43090600,-16449063,-38.17,50831600
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,22662552,0,18362689,29403747,13836895,-4909975,-5804944,3121976,-4644766,4490340,-4763850,-4918276,-3220367,-100202,767886,-2552683,-3273254,-4154031,27733153,20305868,15956885,18362683,-2405798,-13.101560376552818,29403747
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,22662552,0,18362689,29403747,13836895,-4909975,-5804944,3121976,-4644766,4490340,-4763850,-4918276,-3220367,-100202,767886,-2552683,-3273254,-4154031,27733153,20305868,15956885,18362683,-2405798,-13.101560376552818,29403747
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,22662552,0,18362689,29403747,13836895,-4909975,-5804944,3121976,-4644766,4490340,-4763850,-4918276,-3220367,-100202,767886,-2552683,-3273254,-4154031,27733153,20305868,15956885,18362683,-2405798,-13.101560376552818,29403747
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,22662552,0,18362689,29403747,13836895,-4909975,-5804944,3121976,-4644766,4490340,-4763850,-4918276,-3220367,-100202,767886,-2552683,-3273254,-4154031,27733153,20305868,15956885,18362683,-2405798,-13.101560376552818,29403747
