Northern Cape: Emthanjeni(NC073) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,21035469,0,23784540,23784540,10495742,1054603,1054603,12604948,1054603,1025843,1052865,3133311,839212,1034816,1052865,2926893,1042545,1088550,1108821,3239916,21905068,23784540,-1879472,-7.9,23784540
Property rates - penalties and collection charges,,149924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,56487600,0,53613903,50113903,3946700,4114017,3825361,11886078,3077941,3284895,3216892,9579728,3510187,3252508,3190477,9953172,3272465,3261101,3556122,10089688,41508666,53613903,-12105237,-22.58,50113903
Service charges - water revenue,,18745519,0,24575065,23775065,1674663,1799651,1707330,5181644,1595952,2142478,1713047,5451477,2478360,1960564,1942831,6381755,2016331,1506337,1972725,5495393,22510269,24575065,-2064796,-8.4,23775065
Service charges - sanitation revenue,,10301577,0,13906439,13906439,1194037,1191795,1190638,3576470,1184630,1192092,1191745,3568467,1192421,1191911,1192226,3576558,1192065,1193096,1192983,3578144,14299639,13906440,393199,2.83,13906439
Service charges - refuse revenue,,5705360,0,8347396,8347396,686378,686207,687067,2059652,682634,687234,687733,2057601,687317,687899,687983,2063199,687983,688232,688232,2064447,8244899,8347400,-102501,-1.23,8347396
Service charges - other,,414760,0,69100,221785,32649,35626,37666,105941,32778,32906,3722,69406,33385,32256,37666,103307,33333,30929,32242,96504,375158,69104,306054,442.89,221785
Rental of facilities and equipment,,721563,0,755229,602544,58794,59132,66852,184778,62877,61937,88364,213178,75386,60352,520507,656245,58322,63705,42870,164897,1219098,755229,463869,61.42,602544
Interest earned - external investments,,1030475,0,940000,940000,17929,19777,0,37706,9698,3510,0,13208,30196,0,9276,39472,5630,452,853652,859734,950120,940001,10119,1.08,940000
Interest earned - outstanding debtors,,625352,0,819350,819350,72495,75783,80203,228481,84099,96728,-63622,117205,84565,88463,89767,262795,89472,92800,25250,207522,816003,819350,-3347,-0.41,819350
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,19521175,0,6623680,6623680,25090,41379,28131,94600,765055,12776,295894,1073725,189779,39138,42262,271179,20708,2048878,521415,2591001,4030505,6623680,-2593175,-39.15,6623680
Licences and permits,,1304582,0,1874316,1874316,47550,27466,20261,95277,31471,40400,12082,83953,4026,44111,30287,78424,34374,23239,32261,89874,347528,1874316,-1526788,-81.46,1874316
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,45752312,0,39633000,39633000,348967,15460519,127112,15936598,501555,12081000,265854,12848409,223438,506091,9685896,10415425,138171,-5112,0,133059,39333491,39633000,-299509,-0.76,39633000
Other own revenue,,3223461,0,25130879,19130879,1902217,1672434,1498592,5073243,1882966,724071,1359973,3967010,1445761,1749593,1352551,4547905,1400988,2019606,2978376,6398970,19987128,25130879,-5143751,-20.47,19130879
Gains on disposal of PPE,,164093,0,120000,120000,2575,7481,1035182,1045238,-27037,53432,1,26396,2932,0,9622,12554,5000,0,5275,10275,1094463,120000,974463,812.05,120000
Total Revenue (excl. capital transfers and contributions),,185183222,0,200192897,189892897,20505786,26245870,11358998,58110654,10939222,21439302,9824550,42203074,10796965,10647702,19844216,41288883,9997387,12011813,13010224,35019424,176622035,200192907,-23570872,-11.77407948824081,189892897
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,59893633,0,62979514,62965013,4977018,4936831,5037604,14951453,5356699,5258014,5677691,16292404,5111655,5127330,4976456,15215441,5101990,5088256,5241965,15432211,61891509,62979514,-1088005,-1.73,62965013
Remuneration of councillors,,4157184,0,4308243,4260840,319143,325227,325227,969597,319143,325227,325227,969597,326024,325390,325390,976804,325390,503198,338010,1166598,4082596,4308240,-225644,-5.24,4260840
Debt impairment,,47931544,0,10826537,10502523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10826537,-10826537,-100,10502523
Depreciation and asset impairment,,68084142,0,8680580,8680760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1220,1220,1220,8680760,-8679540,-99.99,8680760
Finance charges,,1607928,0,1700309,2530309,34054,32618,161518,228190,32523,29207,640,62370,55154,24903,154855,234912,20909,21990,19831,62730,588202,1700309,-1112107,-65.41,2530309
Bulk purchases,,43535580,0,47529004,47529004,6291715,3150502,4295836,13738053,3265561,3188825,3083476,9537862,3089338,6144235,3018093,12251666,3144873,3092642,5271222,11508737,47036318,47529004,-492686,-1.04,47529004
Other Materials,,5587721,0,8350214,8350214,203874,697242,99713,1000829,656954,346366,227792,1231112,343686,677044,693190,1713920,576907,617304,817390,2011601,5957462,8350214,-2392752,-28.65,8350214
Contracted services,,7227685,0,8830182,8238182,596496,338467,511935,1446898,407789,171996,1093852,1673637,262418,602924,664983,1530325,323845,388664,928041,1640550,6291410,8830182,-2538772,-28.75,8238182
Transfers and grants,,750004,0,13669128,13669128,1462837,903984,533861,2900682,437382,1424112,1030772,2892266,765806,715721,863019,2344546,843178,847711,3664155,5355044,13492538,13669128,-176590,-1.29,13669128
Other expenditure,,26086966,0,34793481,35278085,2209260,4901404,2129789,9240453,2645268,2044086,1146565,5835919,2787803,-811203,2290537,4267137,2057172,2003519,2619521,6680212,26023721,34793481,-8769760,-25.21,35278085
Loss on disposal of PPE,,203456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,265065843,0,201667192,202004058,16094397,15286275,13095483,44476155,13121319,12787833,12586015,38495167,12741884,12806344,12986523,38534751,12394264,12563284,18901355,43858903,165364976,201667369,-36302393,-18.001123920052727,202004058
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-79882621,0,-1474295,-12111161,4411389,10959595,-1736485,13634499,-2182097,8651469,-2761465,3707907,-1944919,-2158642,6857693,2754132,-2396877,-551471,-5891131,-8839479,11257059,-1474462,12731521,-863.4689127288462,-12111161
Transfers recognised - capital,,13101844,0,29248000,12708000,0,0,0,0,0,0,0,0,0,0,0,0,0,645000,0,645000,645000,29248000,-28603000,-97.79,12708000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,-66780777,0,27773705,596839,4411389,10959595,-1736485,13634499,-2182097,8651469,-2761465,3707907,-1944919,-2158642,6857693,2754132,-2396877,93529,-5891131,-8194479,11902059,27773538,-15871479,-57.146046715402264,596839
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,-66780777,0,27773705,596839,4411389,10959595,-1736485,13634499,-2182097,8651469,-2761465,3707907,-1944919,-2158642,6857693,2754132,-2396877,93529,-5891131,-8194479,11902059,27773538,-15871479,-57.146046715402264,596839
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,-66780777,0,27773705,596839,4411389,10959595,-1736485,13634499,-2182097,8651469,-2761465,3707907,-1944919,-2158642,6857693,2754132,-2396877,93529,-5891131,-8194479,11902059,27773538,-15871479,-57.146046715402264,596839
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,-66780777,0,27773705,596839,4411389,10959595,-1736485,13634499,-2182097,8651469,-2761465,3707907,-1944919,-2158642,6857693,2754132,-2396877,93529,-5891131,-8194479,11902059,27773538,-15871479,-57.146046715402264,596839
