Northern Cape: Kareeberg(NC074) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,4237388,0,4141323,4141323,4281382,-114443,0,4166939,0,0,0,0,0,0,0,0,0,0,30773,30773,4197712,4141323,56389,1.36,4141323
Property rates - penalties and collection charges,,186851,0,190000,190000,16596,16638,13301,46535,29271,25288,23419,77978,18700,17841,16317,52858,15099,14647,13486,43232,220603,190000,30603,16.11,190000
Service charges - electricity revenue,,7610609,0,7980926,7980926,653096,704662,649328,2007086,645453,593178,516317,1754948,747474,586368,619612,1953454,624081,538115,740202,1902398,7617886,7980926,-363040,-4.55,7980926
Service charges - water revenue,,3872495,0,4137237,4137237,327329,334458,390656,1052443,347385,345532,334677,1027594,382974,362140,418880,1163994,360527,346796,367636,1074959,4318990,4137237,181753,4.39,4137237
Service charges - sanitation revenue,,2396121,0,2478859,2478859,206964,218555,217377,642896,211074,218324,216842,646240,212799,215675,220462,648936,215222,207384,237768,660374,2598446,2478859,119587,4.82,2478859
Service charges - refuse revenue,,3119131,0,3421030,3421030,283564,286416,286258,856238,284157,284364,282334,850855,283144,284218,284736,852098,283745,285015,286510,855270,3414461,3421030,-6569,-0.19,3421030
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,513160,0,483118,483118,136640,3782,17133,157555,5142,6002,3522,14666,151043,7492,28189,186724,4472,3572,22876,30920,389865,483120,-93255,-19.3,483118
Interest earned - external investments,,1335243,0,1297000,1297000,17099,65400,173520,256019,124369,86118,172379,382866,132282,62753,63315,258350,252385,65129,378063,695577,1592812,1297000,295812,22.81,1297000
Interest earned - outstanding debtors,,2955,0,3300,3300,229,226,224,679,0,440,216,656,213,210,208,631,205,202,199,606,2572,3300,-728,-22.06,3300
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,5910,0,12230,12230,4,452,45,501,1110,570,200,1880,0,843,96,939,418,2126,1016,3560,6880,12230,-5350,-43.74,12230
Licences and permits,,8970,0,7420,7420,954,954,333,2241,414,414,318,1146,636,954,984,2574,0,0,111,111,6072,7420,-1348,-18.17,7420
Agency services,,136904,0,97000,97000,15805,13614,8240,37659,8305,8945,7552,24802,9508,10989,16638,37135,7980,7056,32717,47753,147349,96999,50350,51.91,97000
Transfers recognised - operational,,17905813,0,20489000,20489000,5976000,0,0,5976000,0,0,5031000,5031000,0,0,4089000,4089000,0,0,4455846,4455846,19551846,20489000,-937154,-4.57,20489000
Other own revenue,,1372948,0,7240558,7240558,2713,316405,146918,466036,37019,51729,34698,123446,17206,2288,40385,59879,62563,36042,1565287,1663892,2313253,7240556,-4927303,-68.05,7240558
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,19474,0,0,19474,0,0,0,0,19474,,19474,0,0
Total Revenue (excl. capital transfers and contributions),,42704498,0,51979001,51979001,11918375,1847119,1903333,15668827,1693699,1620904,6623474,9938077,1975453,1551771,5798822,9326046,1826697,1506084,8132490,11465271,46398221,51979000,-5580779,-10.736603243617616,51979001
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,13236780,0,15378405,15378405,1101935,1121149,1096880,3319964,1138996,1123802,1305756,3568554,1194111,1058578,1095159,3347848,1063080,1165098,3788423,6016601,16252967,15378405,874562,5.69,15378405
Remuneration of councillors,,1912960,0,2018982,2018982,148093,148093,157035,453221,156259,165271,165955,487485,159369,157704,157790,474863,156106,249412,199023,604541,2020110,2018982,1128,0.06,2018982
Debt impairment,,1449360,0,2339502,2339502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2339502,-2339502,-100,2339502
Depreciation and asset impairment,,2734043,0,3671152,3671152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2830534,2830534,2830534,3671152,-840618,-22.9,3671152
Finance charges,,811725,0,531013,531013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728386,728386,728386,531013,197373,37.17,531013
Bulk purchases,,7904574,0,8543845,8543845,644553,976151,821610,2442314,589260,637798,618576,1845634,635705,616324,577194,1829223,636936,565122,1213496,2415554,8532725,8543845,-11120,-0.13,8543845
Other Materials,,494609,0,431200,431200,9916,41181,38347,89444,71594,37595,52424,161613,24535,50837,67448,142820,179517,36583,219225,435325,829202,431200,398002,92.3,431200
Contracted services,,220170,0,541400,541400,13363,7163,3992,24518,0,4081,19947,24028,37663,68659,125367,231689,51785,96026,1179246,1327057,1607292,541400,1065892,196.88,541400
Transfers and grants,,7536185,0,8302311,8302311,3711438,0,0,3711438,0,0,2766438,2766438,0,0,1824435,1824435,0,0,-283864,-283864,8018447,8302312,-283865,-3.42,8302311
Other expenditure,,10902003,0,12019191,12019191,693308,414240,736679,1844227,1046103,980161,729972,2756236,296361,251079,256689,804129,362771,210687,1955470,2528928,7933520,13759191,-5825671,-42.34,12019191
Loss on disposal of PPE,,11885,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38236,38236,38236,2000,36236,1811.8,2000
Total Expenditure,,47214294,0,53779001,53779001,6322606,2707977,2854543,11885126,3002212,2948708,5659068,11609988,2347744,2203181,4104082,8655007,2450195,2322928,11868175,16641298,48791419,55519002,-6727583,-12.117622359278,53779001
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-4509796,0,-1800000,-1800000,5595769,-860858,-951210,3783701,-1308513,-1327804,964406,-1671911,-372291,-651410,1694740,671039,-623498,-816844,-3735685,-5176027,-2393198,-3540002,1146804,-32.39557491775428,-1800000
Transfers recognised - capital,,7357500,0,19848000,19848000,0,0,3301885,3301885,0,0,690171,690171,0,20153,261415,281568,0,0,5752551,5752551,10026175,19848000,-9821825,-49.49,19848000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,2847704,0,18048000,18048000,5595769,-860858,2350675,7085586,-1308513,-1327804,1654577,-981740,-372291,-631257,1956155,952607,-623498,-816844,2016866,576524,7632977,16307998,-8675021,-53.19488633736648,18048000
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,2847704,0,18048000,18048000,5595769,-860858,2350675,7085586,-1308513,-1327804,1654577,-981740,-372291,-631257,1956155,952607,-623498,-816844,2016866,576524,7632977,16307998,-8675021,-53.19488633736648,18048000
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,2847704,0,18048000,18048000,5595769,-860858,2350675,7085586,-1308513,-1327804,1654577,-981740,-372291,-631257,1956155,952607,-623498,-816844,2016866,576524,7632977,16307998,-8675021,-53.19488633736648,18048000
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
