Northern Cape: Renosterberg(NC075) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,4230021,0,2963000,2963000,196987,184558,148103,529648,188038,0,0,188038,65727,162425,170702,398854,0,83086,0,83086,1199626,2963000,-1763374,-59.51,2963000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,5908689,0,8396900,8396900,493405,172272,539046,1204723,437226,0,0,437226,213195,398379,454319,1065893,454318,312169,330220,1096707,3804549,8396900,-4592351,-54.69,8396900
Service charges - water revenue,,7502735,0,2853000,2853000,280853,120597,301921,703371,255429,0,0,255429,73820,196123,472177,742120,472176,137537,155297,765010,2465930,2853000,-387070,-13.57,2853000
Service charges - sanitation revenue,,3339745,0,1909800,1909800,123508,66091,69662,259261,119704,0,0,119704,23960,51109,113621,188690,113621,36594,45130,195345,763000,1909800,-1146800,-60.05,1909800
Service charges - refuse revenue,,1875797,0,830800,830800,82035,52679,76381,211095,65648,0,0,65648,14169,36621,75901,126691,75901,24573,27694,128168,531602,830800,-299198,-36.01,830800
Service charges - other,,864921,0,0,0,0,184558,0,184558,0,0,0,0,0,0,0,0,0,0,144442,144442,329000,,329000,0,0
Rental of facilities and equipment,,596960,0,430000,430000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430000,-430000,-100,430000
Interest earned - external investments,,148299,0,350000,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350000,-350000,-100,350000
Interest earned - outstanding debtors,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,7450,0,10500,10500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10500,-10500,-100,10500
Licences and permits,,219,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-1000,-100,1000
Agency services,,80647,0,65200,65200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65200,-65200,-100,65200
Transfers recognised - operational,,35125600,0,19786000,19786000,8339000,1334000,0,9673000,0,0,0,0,0,0,0,0,0,0,0,0,9673000,19786000,-10113000,-51.11,19786000
Other own revenue,,67950,0,52800,52800,240117,41172,22757,304046,0,0,0,0,13113,28208,69312,110633,69312,22787,31154,123253,537932,52800,485132,918.81,52800
Gains on disposal of PPE,,0,0,4550000,4550000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4550000,-4550000,-100,4550000
Total Revenue (excl. capital transfers and contributions),,59749033,0,42199000,42199000,9755905,2155927,1157870,13069702,1066045,0,0,1066045,403984,872865,1356032,2632881,1185328,616746,733937,2536011,19304639,42199000,-22894361,-54.25332590819688,42199000
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,14783224,0,17188800,17188800,1589500,1235033,1240071,4064604,1808698,1180947,1346162,4335807,1308338,1004987,990332,3303657,1121001,1109958,1127021,3357980,15062048,17188800,-2126752,-12.37,17188800
Remuneration of councillors,,1956519,0,2007600,2007600,169000,0,0,169000,0,0,0,0,0,169228,169227,338455,169228,169228,196228,534684,1042139,2007600,-965461,-48.09,2007600
Debt impairment,,17034137,0,1181400,1181400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181400,-1181400,-100,1181400
Depreciation and asset impairment,,18217574,0,4497600,4497600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4497600,-4497600,-100,4497600
Finance charges,,880522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Bulk purchases,,8299177,0,7005900,7005900,0,0,0,0,0,0,0,0,800000,344930,0,1144930,60000,0,0,60000,1204930,7005900,-5800970,-82.8,7005900
Other Materials,,4313155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,3663825,0,290000,290000,18500,0,0,18500,0,0,0,0,802496,200000,0,1002496,0,0,0,0,1020996,290000,730996,252.07,290000
Transfers and grants,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other expenditure,,7588714,0,8163800,8163800,947967,1652343,955397,3555707,1209477,1387854,359865,2957196,968237,361064,1058895,2388196,1811099,182772,695315,2689186,11590285,8162200,3428085,42,8163800
Loss on disposal of PPE,,12691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,76749538,0,40335100,40335100,2724967,2887376,2195468,7807811,3018175,2568801,1706027,7293003,3879071,2080209,2218454,8177734,3161328,1461958,2018564,6641850,29920398,40333500,-10413102,-25.81750158057198,40335100
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-17000505,0,1863900,1863900,7030938,-731449,-1037598,5261891,-1952130,-2568801,-1706027,-6226958,-3475087,-1207344,-862422,-5544853,-1976000,-845212,-1284627,-4105839,-10615759,1865500,-12481259,-669.0570356472796,1863900
Transfers recognised - capital,,0,0,7741000,7741000,7741000,0,0,7741000,0,0,0,0,0,0,0,0,0,0,0,0,7741000,7741000,0,0,7741000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,-17000505,0,9604900,9604900,14771938,-731449,-1037598,13002891,-1952130,-2568801,-1706027,-6226958,-3475087,-1207344,-862422,-5544853,-1976000,-845212,-1284627,-4105839,-2874759,9606500,-12481259,-129.9251444334565,9604900
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,-17000505,0,9604900,9604900,14771938,-731449,-1037598,13002891,-1952130,-2568801,-1706027,-6226958,-3475087,-1207344,-862422,-5544853,-1976000,-845212,-1284627,-4105839,-2874759,9606500,-12481259,-129.9251444334565,9604900
