Northern Cape: Thembelihle(NC076) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,2093143,0,3400848,4060123,3270773,-354253,-54072,2862448,-2190,-48967,-17864,-69021,-5560,-52757,-9333,-67650,-44049,99661,-157103,-101491,2624286,3400848,-776562,-22.83,4060123
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,7895231,0,9925430,10002734,1026959,905335,838133,2770427,883479,495732,642320,2021531,1040510,927599,745859,2713968,876645,598862,738151,2213658,9719584,9925430,-205846,-2.07,10002734
Service charges - water revenue,,3007066,0,3438274,4669105,271894,-102395,-243931,-74432,265366,262045,-33684,493727,414413,300090,256863,971366,282718,209029,174278,666025,2056686,3438274,-1381588,-40.18,4669105
Service charges - sanitation revenue,,2244953,0,2491563,2469664,208427,187951,196887,593265,204993,181480,155095,541568,214733,229464,101367,545564,201492,195039,170355,566886,2247283,2491563,-244280,-9.8,2469664
Service charges - refuse revenue,,1193347,0,1368152,1349064,109737,102220,103385,315342,107664,83029,68498,259191,107276,102810,42633,252719,108817,105841,73211,287869,1115121,1368152,-253031,-18.49,1349064
Service charges - other,,6307,0,0,0,25230,-13635,33935,45530,0,0,58595,58595,-3674,58726,16516,71568,40965,233005,353272,627242,802935,,802935,0,0
Rental of facilities and equipment,,306078,0,488317,514735,24021,22108,103632,149761,29258,34418,35291,98967,31810,38334,28729,98873,36214,31539,26841,94594,442195,488317,-46122,-9.45,514735
Interest earned - external investments,,659824,0,346726,301344,4431,56716,25543,86690,-15477,5262,124002,113787,8296,3873,4001,16170,7240,5082,161086,173408,390055,346726,43329,12.5,301344
Interest earned - outstanding debtors,,669042,0,3178348,904282,68785,88096,77410,234291,81298,62328,75085,218711,59206,79968,64511,203685,60497,60657,30664,151818,808505,3178348,-2369843,-74.56,904282
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,465797,0,4021200,4512100,39,204,1200,1443,1500,1150,1250,3900,800,1850,3250,5900,0,900,6050,6950,18193,4021200,-4003007,-99.55,4512100
Licences and permits,,21773,0,280031,184400,2125,4340,1814,8279,3264,1629,4060,8953,3637,3391,0,7028,207,207,621,1035,25295,280031,-254736,-90.97,184400
Agency services,,0,0,0,0,-1090,2503,42936,44349,13853,8621,5190,27664,6474,21925,16280,44679,17295,9274,46551,73120,189812,,189812,0,0
Transfers recognised - operational,,16749566,0,21531900,21531900,6621158,0,-3630,6617528,0,-2463,9119000,9116537,0,0,1446000,1446000,462420,1500000,3033000,4995420,22175485,21531900,643585,2.99,21531900
Other own revenue,,1714587,0,818910,485585,252389,27145,67962,347496,60410,41266,1006030,1107706,35798,31087,270989,337874,31136,265507,185059,481702,2274778,818910,1455868,177.78,485585
Gains on disposal of PPE,,84850,0,0,0,0,0,879,879,0,0,0,0,0,0,0,0,0,0,0,0,879,,879,0,0
Total Revenue (excl. capital transfers and contributions),,37111564,0,51289699,50985036,11884878,926335,1192083,14003296,1633418,1125530,11242868,14001816,1913719,1746360,2987665,6647744,2081597,3314603,4842036,10238236,44891092,51289699,-6398607,-12.475423183902873,50985036
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,15586859,0,21324785,20206875,1631968,1618783,1700095,4950846,1592469,1804804,2333958,5731231,1875222,1821009,1852021,5548252,1741118,1727813,1717923,5186854,21417183,21324785,92398,0.43,20206875
Remuneration of councillors,,1932774,0,2380013,2618997,126231,154195,154195,434621,126231,126231,126231,378693,190810,189105,191502,571417,199843,294378,199843,694064,2078795,2380013,-301218,-12.66,2618997
Debt impairment,,4853581,0,8749043,8749043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8749043,-8749043,-100,8749043
Depreciation and asset impairment,,10756485,0,3290695,10106929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3290695,-3290695,-100,10106929
Finance charges,,877763,0,393084,645000,48938,62914,194122,305974,160213,121261,60931,342405,211405,60824,123533,395762,61843,180841,97631,340315,1384456,393084,991372,252.2,645000
Bulk purchases,,9595531,0,6897840,9389853,0,1365,28977,30342,472210,314040,34960,821210,67395,0,86268,153663,0,651882,35981,687863,1693078,6897840,-5204762,-75.45,9389853
Other Materials,,1901859,0,1287995,796283,20868,36549,65256,122673,50596,181805,56038,288439,54105,60282,185742,300129,161276,82306,354607,598189,1309430,1287995,21435,1.66,796283
Contracted services,,0,0,161080,161080,191534,10941,19540,222015,147995,13935,116504,278434,25631,51827,-137278,-59820,484512,17163,57245,558920,999549,161080,838469,520.53,161080
Transfers and grants,,722822,0,1312846,1335004,473765,147531,369503,990799,1467836,226843,-2179851,-485172,192320,135309,663893,991522,240372,134060,323046,697478,2194627,1312846,881781,67.17,1335004
