Northern Cape: Siyathemba(NC077) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,7696812,0,8523000,8523000,21815,8665631,-236002,8451444,0,603,-1082,-479,603,2454,2626,5683,-11667,-20261,14,-31914,8424734,8024970,399764,4.98,8523000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,12229281,0,23191000,23191000,1453479,1241849,1192617,3887945,0,1132753,1118936,2251689,1132753,1195470,1486534,3814757,1195583,1039552,1278504,3513639,13468030,21950832,-8482802,-38.64,23191000
Service charges - water revenue,,8046529,0,6985000,6985000,801546,754952,777606,2334104,0,1043421,892567,1935988,1043421,1066225,1017675,3127321,880857,797604,791074,2469535,9866948,4691016,5175932,110.34,6985000
Service charges - sanitation revenue,,3065501,0,4215000,4215000,586736,582249,585713,1754698,0,579766,577194,1156960,579766,577665,580084,1737515,580722,579754,582734,1743210,6392383,3775536,2616847,69.31,4215000
Service charges - refuse revenue,,1176593,0,723000,723000,230165,231590,231470,693225,0,232777,232135,464912,232777,232493,231712,696982,232135,229923,232976,695034,2550153,1065096,1485057,139.43,723000
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,730173,0,880000,880000,23045,66966,57919,147930,0,81987,91415,173402,81987,54387,58270,194644,56249,80563,79254,216066,732042,880496,-148454,-16.86,880000
Interest earned - external investments,,98482,0,400000,400000,-6034,9266,11297,14529,0,4723,6973,11696,4723,7402,4901,17026,8439,6235,6982,21656,64907,350004,-285097,-81.46,400000
Interest earned - outstanding debtors,,641156,0,350000,350000,66128,66218,399877,532223,0,71422,73275,144697,71422,75156,68840,215418,75643,76517,77459,229619,1121957,320004,801953,250.61,350000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,32010,0,401000,401000,11201,1350,1200,13751,0,3888,350,4238,3888,9388,2200,15476,1250,1263,2450,4963,38428,145996,-107568,-73.68,401000
Licences and permits,,100,0,0,0,50,50,25,125,0,125,25,150,125,1639,0,1764,0,1197,0,1197,3236,,3236,0,0
Agency services,,1055429,0,1032000,1032000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,983004,-983004,-100,1032000
Transfers recognised - operational,,21171433,0,22427000,22427000,10640639,456287,623,11097549,0,7078511,0,7078511,7078511,9026,3812,7091349,3996,6079000,0,6082996,31350405,25405996,5944409,23.4,22427000
Other own revenue,,1225968,0,4862000,4862000,163664,219186,178029,560879,0,209311,158806,368117,209311,157527,203914,570752,139746,178757,495686,814189,2313937,1067755,1246182,116.71,4862000
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,57169467,0,73989000,73989000,13992434,12295594,3200374,29488402,0,10439287,3150594,13589881,10439287,3388832,3660568,17488687,3162953,9050104,3547133,15760190,76327160,68660705,7666455,11.165709702514706,73989000
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
