Northern Cape: Siyancuma(NC078) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,7620826,0,10699000,8973815,7782915,2727,-319,7785323,-42618,0,0,-42618,585,-8590,0,-8005,177,0,0,177,7734877,10698612,-2963735,-27.7,8973815
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,24517848,0,34049632,34801434,2253246,2608455,2218282,7079983,1840990,1754213,2028631,5623834,2142764,2107290,2209355,6459409,2185889,2186739,2297853,6670481,25833707,34049628,-8215921,-24.13,34801434
Service charges - water revenue,,9855869,0,16331318,15479174,958695,938182,3361596,5258473,-822347,1046196,1174091,1397940,1061296,625513,558963,2245772,418101,418101,880951,1717153,10619338,16331316,-5711978,-34.98,15479174
Service charges - sanitation revenue,,4139441,0,6545406,6592086,631743,521894,553037,1706674,552087,555006,554501,1661594,550864,526746,556842,1634452,558515,558515,557893,1674923,6677643,6545412,132231,2.02,6592086
Service charges - refuse revenue,,3474875,0,6224350,5682706,445921,446532,474211,1366664,473016,475411,475559,1423986,475708,476005,468860,1420573,476005,482560,475796,1434361,5645584,6224352,-578768,-9.3,5682706
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,-13300,-906,-14206,-2862,0,0,-2862,-17068,,-17068,0,0
Rental of facilities and equipment,,484676,0,1195000,362851,4655,87247,8086,99988,11330,4617,156038,171985,7439,7727,11581,26747,7876,8500,20424,36800,335520,1195248,-859728,-71.93,362851
Interest earned - external investments,,307316,0,260000,0,0,2291,2442,4733,125233,56256,5201,186690,2750,3514,77281,83545,220,250,462,932,275900,260004,15896,6.11,0
Interest earned - outstanding debtors,,629910,0,629000,1249000,35437,48822,53173,137432,70317,62113,56007,188437,59457,57838,57873,175168,57727,60800,56838,175365,676402,629004,47398,7.54,1249000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,86940,0,7236000,736758,2037,24399,1954,28390,11550,4467,9600,25617,35779,48573,66900,151252,57475,60582,18043,136100,341359,7236204,-6894845,-95.28,736758
Licences and permits,,913975,0,450000,450000,53100,64359,-89648,27811,12216,20665,7254,40135,14521,101127,120366,236014,574,860,11335,12769,316729,450000,-133271,-29.62,450000
Agency services,,0,0,711000,758320,3499,3513,153883,160895,55357,81069,44021,180447,84575,0,0,84575,100213,140586,74956,315755,741672,711072,30600,4.3,758320
Transfers recognised - operational,,42690668,0,50143000,42342661,10270976,1290000,-654691,10906285,-669273,8239364,-689537,6880554,-771226,0,0,-771226,0,0,13812935,13812935,30828548,50142660,-19314112,-38.52,42342661
Other own revenue,,11919878,0,509000,724199,30556,63523,48432,142511,84512,42446,22663,149621,49974,40683,46341,136998,37041,40330,166365,243736,672866,509088,163778,32.17,724199
Gains on disposal of PPE,,136819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,50000,50000,,50000,0,0
Total Revenue (excl. capital transfers and contributions),,106779041,0,134982706,118153004,22472780,6101944,6130438,34705162,1702370,12341823,3844029,17888222,3714486,3973126,4173456,11861068,3896951,3957823,18423851,26278625,90733077,134982600,-44249523,-32.78164963484183,118153004
