Northern Cape: Mier(NC081) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,980409,0,1513994,2386314,1413680,19,17125,1430824,99208,8111,19,107338,19,1379,9205,10603,11423,5759,19,17201,1565966,1513992,51974,3.43,2386314
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,1008764,0,1379596,1379596,73423,73889,75232,222544,86770,90344,74149,251263,85775,62282,82616,230673,63109,63620,67778,194507,898987,1379592,-480605,-34.84,1379596
Service charges - sanitation revenue,,555795,0,2571447,2571447,58453,58556,59448,176457,58664,58725,58725,176114,58561,58664,58978,176203,59249,59842,77010,196101,724875,2571444,-1846569,-71.81,2571447
Service charges - refuse revenue,,934004,0,1469138,1469138,87668,87668,87668,263004,87740,87740,87740,263220,87668,87812,87884,263364,88028,88387,88387,264802,1054390,1469136,-414746,-28.23,1469138
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,730128,0,1072591,1072591,54032,31628,61172,146832,51126,51498,175148,277772,66842,45487,48504,160833,244015,124,42731,286870,872307,1072596,-200289,-18.67,1072591
Interest earned - external investments,,450562,0,400000,400000,46625,105,0,46730,44490,0,0,44490,204994,0,-20669,184325,20669,149593,24046,194308,469853,399996,69857,17.46,400000
Interest earned - outstanding debtors,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Licences and permits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,21586316,0,16544000,22141994,4918909,1185677,540317,6644903,523191,4325442,0,4848633,325344,272811,3652316,4250471,306001,29348,2259665,2595014,18339021,16544001,1795020,10.85,22141994
Other own revenue,,1557439,0,256467,306467,97075,184131,127260,408466,154805,23198,291014,469017,74788,203978,338399,617165,268050,634972,1184429,2087451,3582099,256464,3325635,1296.73,306467
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,27803417,0,25207233,31727547,6749865,1621673,968222,9339760,1105994,4645058,686795,6437847,903991,732413,4257233,5893637,1060544,1031645,3744065,5836254,27507498,25207221,2300277,9.125468452075697,31727547
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,7399416,0,9430802,10375088,641272,649389,717256,2007917,740477,725065,824969,2290511,772018,754619,789835,2316472,765702,769714,849677,2385093,8999993,9430800,-430807,-4.57,10375088
Remuneration of councillors,,1615984,0,1781301,1893935,264775,236724,144679,646178,147036,147036,149178,443250,149178,149178,149179,447535,149179,149179,149179,447537,1984500,1781304,203196,11.41,1893935
Debt impairment,,1691418,0,4426610,3744555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4426610,-4426610,-100,3744555
Depreciation and asset impairment,,7374354,0,399451,399451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399451,-399451,-100,399451
Finance charges,,67917,0,75000,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2171,2171,2171,75000,-72829,-97.11,75000
