Northern Cape: !Kai! Garib(NC082) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,14317649,0,24018845,24018845,23242941,-77,-590777,22652087,596,-1208477,-813,-1208694,34110,114347,16446,164903,16446,5027,5027,26500,21634796,24018840,-2384044,-9.93,24018845
Property rates - penalties and collection charges,,3296798,0,2000000,3000000,139345,275725,59284,474354,475754,432910,430026,1338690,431003,0,0,431003,0,421697,421697,843394,3087441,2000004,1087437,54.37,3000000
Service charges - electricity revenue,,49793828,0,61972990,48820000,4183392,2459423,3281242,9924057,3923862,4463527,4639932,13027321,6746672,10477111,5747502,22971285,5747502,4370307,4370307,14488116,60410779,61972992,-1562213,-2.52,48820000
Service charges - water revenue,,11897839,0,13821000,11007000,928886,403656,921836,2254378,1431047,998577,1100859,3530483,1534667,1909528,1432317,4876512,1432317,993527,993527,3419371,14080744,13800000,280744,2.03,11007000
Service charges - sanitation revenue,,6906919,0,7516000,7600000,626515,628857,629389,1884761,621947,635640,626704,1884291,624692,1247559,622817,2495068,622817,621016,621016,1864849,8128969,7515996,612973,8.16,7600000
Service charges - refuse revenue,,4702348,0,5300000,4850000,436754,436884,436380,1310018,434784,436499,436036,1307319,436438,863861,435194,1735493,435194,436084,436084,1307362,5660192,5300004,360188,6.8,4850000
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000,-21000,-100,0
Rental of facilities and equipment,,156568,0,956143,185335,51419,10665,10177,72261,15134,12016,11354,38504,36137,7985,4603,48725,4603,27522,27522,59647,219137,956148,-737011,-77.08,185335
Interest earned - external investments,,262150,0,15750,120000,0,6718,1249,7967,903,689,4710,6302,61126,0,0,61126,0,628,628,1256,76651,15756,60895,386.49,120000
Interest earned - outstanding debtors,,7907071,0,8500000,8550000,754769,770934,736183,2261886,791351,599307,801089,2191747,818593,0,0,818593,0,850589,850589,1701178,6973404,8499996,-1526592,-17.96,8550000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,83781,0,58800,102250,6226,2443,5013,13682,11604,11795,4236,27635,16676,1100,1050,18826,1050,0,0,1050,61193,58800,2393,4.07,102250
Licences and permits,,0,0,476000,0,60788,40209,47227,148224,56710,30417,25214,112341,55426,350,926615,982391,926615,0,0,926615,2169571,476004,1693567,355.79,0
Agency services,,774095,0,6481820,8083140,724761,422467,739602,1886830,1138176,485150,333243,1956569,695489,0,0,695489,0,315509,315509,631018,5169906,6481824,-1311918,-20.24,8083140
Transfers recognised - operational,,50936027,0,54401000,53467000,19906828,3286022,524,23193374,1024,17176622,0,17177646,0,1000000,675573,1675573,675573,0,0,675573,42722166,54401004,-11678838,-21.47,53467000
Other own revenue,,551625,0,553823,753535,57436,29673,29181,116290,79678,72622,35851,188151,86840,37253,34376,158469,34376,29770,29770,93916,556826,553824,3002,0.54,753535
Gains on disposal of PPE,,66000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,151652698,0,186072171,170557105,51120060,8773599,6306510,66200169,8982570,24147294,8448441,41578305,11577869,15659094,9896493,37133456,9896493,8071676,8071676,26039845,170951775,186072192,-15120417,-8.126102475323126,170557105
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,75168472,0,73480358,74450450,5315993,5513600,5923296,16752889,6346221,8813768,7284284,22444273,6700364,7083275,3902563,17686202,3902563,6454440,6454440,16811443,73694807,73480355,214452,0.29,74450450
Remuneration of councillors,,4703976,0,4415000,6087000,391874,429243,410558,1231675,394543,391874,410580,1196997,410558,0,0,410558,0,432495,432495,864990,3704220,4415004,-710784,-16.1,6087000
Debt impairment,,5623291,0,20580000,20580000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20580000,-20580000,-100,20580000
Depreciation and asset impairment,,43249655,0,7255107,4071360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7255104,-7255104,-100,4071360
Finance charges,,2319928,0,1011000,1820000,0,419,0,419,0,615,0,615,0,15050,143712,158762,143712,0,0,143712,303508,1011000,-707492,-69.98,1820000
Bulk purchases,,40587742,0,44300000,44000000,4259443,77562,88833,4425838,14836513,3341795,3635422,21813730,4115186,4295325,3622476,12032987,3622476,2843003,2843003,9308482,47581037,44300004,3281033,7.41,44000000
Other Materials,,5076996,0,4441000,2936817,28264,154185,152098,334547,176167,246975,363036,786178,237962,400243,367116,1005321,367116,73750,73750,514616,2640662,4440996,-1800334,-40.54,2936817
Contracted services,,10504651,0,5871200,11223000,447689,543895,455749,1447333,953927,535288,728721,2217936,779558,816982,737405,2333945,737405,485854,485854,1709113,7708327,5871204,1837123,31.29,11223000
Transfers and grants,,20498556,0,4158000,13102200,657979,944939,668384,2271302,883671,741019,742753,2367443,757825,0,0,757825,0,858601,858601,1717202,7113772,4158000,2955772,71.09,13102200
Other expenditure,,22237408,0,22519200,15398279,621099,1581181,618948,2821228,1203924,2087863,1014955,4306742,1349650,956328,3948036,6254014,3948036,587316,587316,5122668,18504652,22519200,-4014548,-17.83,15398279
Loss on disposal of PPE,,2419050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,232389725,0,188030865,193669106,11722341,9245024,8317866,29285231,24794966,16159197,14179751,55133914,14351103,13567203,12721308,40639614,12721308,11735459,11735459,36192226,161250985,188030867,-26779882,-14.242279699747382,193669106
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-80737027,0,-1958694,-23112001,39397719,-471425,-2011356,36914938,-15812396,7988097,-5731310,-13555609,-2773234,2091891,-2824815,-3506158,-2824815,-3663783,-3663783,-10152381,9700790,-1958675,11659465,-595.273080015827,-23112001
Transfers recognised - capital,,29336176,0,21178000,23112000,0,17503000,0,17503000,0,3000000,0,3000000,1420572,4399,63010,1487981,63010,0,0,63010,22053991,21178000,875991,4.14,23112000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,-51400851,0,19219306,-1,39397719,17031575,-2011356,54417938,-15812396,10988097,-5731310,-10555609,-1352662,2096290,-2761805,-2018177,-2761805,-3663783,-3663783,-10089371,31754781,19219325,12535456,65.22318551770158,-1
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,-51400851,0,19219306,-1,39397719,17031575,-2011356,54417938,-15812396,10988097,-5731310,-10555609,-1352662,2096290,-2761805,-2018177,-2761805,-3663783,-3663783,-10089371,31754781,19219325,12535456,65.22318551770158,-1
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,-51400851,0,19219306,-1,39397719,17031575,-2011356,54417938,-15812396,10988097,-5731310,-10555609,-1352662,2096290,-2761805,-2018177,-2761805,-3663783,-3663783,-10089371,31754781,19219325,12535456,65.22318551770158,-1
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,-51400851,0,19219306,-1,39397719,17031575,-2011356,54417938,-15812396,10988097,-5731310,-10555609,-1352662,2096290,-2761805,-2018177,-2761805,-3663783,-3663783,-10089371,31754781,19219325,12535456,65.22318551770158,-1
