Northern Cape: //Khara Hais(NC083) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,58864646,0,65415543,70551549,18130677,4253866,3485230,25869773,5390115,5013457,5040794,15444366,5006028,5025342,4908775,14940145,4838363,3904171,4759490,13502024,69756308,125379788,-55623480,-44.36,70551549
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,207548106,0,221832139,218455838,18069934,20727722,19400727,58198383,18304894,18958365,20234878,57498137,21720201,20944321,21744403,64408925,19560313,17808579,18853842,56222734,236328179,425178271,-188850092,-44.42,218455838
Service charges - water revenue,,44483099,0,47377813,45228261,2990431,3297072,3572699,9860202,3883249,4358638,5927656,14169543,5363050,5213078,4890567,15466695,4223128,5218600,4374033,13815761,53312201,90807474,-37495273,-41.29,45228261
Service charges - sanitation revenue,,27781515,0,28725373,28727353,2238429,2606388,2577040,7421857,2651450,2215248,2267642,7134340,2238619,3207920,2175114,7621653,2169000,2305790,3961469,8436259,30614109,55056964,-24442855,-44.4,28727353
Service charges - refuse revenue,,26273550,0,26698341,26690190,1939631,2475012,2409452,6824095,2515376,1920622,1948910,6384908,1930547,3662790,1887696,7481033,1882186,1941221,5248060,9071467,29761503,51171823,-21410320,-41.84,26690190
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,8123688,0,8004982,8791877,704462,560956,447268,1712686,825284,568827,943038,2337149,591670,581550,732192,1905412,420984,1185689,540569,2147242,8102489,15342884,-7240395,-47.19,8791877
Interest earned - external investments,,1164803,0,1230674,500000,55041,32754,73334,161129,50392,75780,95363,221535,70339,115740,22596,208675,30212,28354,55635,114201,705540,2358790,-1653250,-70.09,500000
Interest earned - outstanding debtors,,1996524,0,1977704,2392573,160850,185190,195748,541788,180325,234440,195062,609827,240670,221510,208099,670279,245635,204149,205249,655033,2476927,3790603,-1313676,-34.66,2392573
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,873270,0,1632411,403312,23328,22321,33216,78865,52237,51151,31890,135278,34086,34448,40240,108774,39986,56413,94162,190561,513478,3128785,-2615307,-83.59,403312
Licences and permits,,1642016,0,1668581,1606940,174430,132641,155226,462297,180359,120690,81094,382143,149317,131465,173102,453884,116129,131207,124880,372216,1670540,3198109,-1527569,-47.76,1606940
Agency services,,3457704,0,3497000,3450000,336048,296282,300644,932974,364316,319663,219044,903023,348006,255977,362360,966343,273055,305177,303876,882108,3684448,6702587,-3018139,-45.03,3450000
Transfers recognised - operational,,69642639,0,64572070,69462539,22232664,40191,1104904,23377759,1086749,762283,11899885,13748917,7849275,1565146,8480865,17895286,8264493,697636,1219040,10181169,65203131,123763136,-58560005,-47.32,69462539
Other own revenue,,26971922,0,9338040,8278509,568363,569705,1933555,3071623,778825,658256,673563,2110644,486925,789309,731150,2007384,582657,1084419,3188908,4855984,12045635,17897910,-5852275,-32.7,8278509
Gains on disposal of PPE,,3076237,0,15200000,27010000,1,15375,0,15376,12249159,0,104669,12353828,82745,29476,374125,486346,3331250,-1376017,188480,2143713,14999263,29133337,-14134074,-48.52,27010000
Total Revenue (excl. capital transfers and contributions),,481899719,0,497170671,511548941,67624289,35215475,35689043,138528807,48512730,35257420,49663488,133433638,46111478,41778072,46731284,134620834,45977391,33495388,43117693,122590472,529173751,952910461,-423736710,-44.46763125628023,511548941
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,199439592,0,211756719,206159637,15974911,15710921,15852752,47538584,15659810,25081007,15115598,55856415,15266217,15225183,14993541,45484941,15479223,15170771,14590288,45240282,194120222,405867042,-211746820,-52.17,206159637
Remuneration of councillors,,7120448,0,7981288,7981288,576051,576051,594736,1746838,594736,594736,594736,1784208,594736,594736,594736,1784208,625569,625569,916502,2167640,7482894,15297465,-7814571,-51.08,7981288
Debt impairment,,240590,0,2000000,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3833337,-3833337,-100,2000000
Depreciation and asset impairment,,94513205,0,110733857,110733857,0,0,18452388,18452388,18452388,0,0,18452388,27678580,9226195,9226195,46130970,9227823,9227823,9227823,27683469,110719215,212239888,-101520673,-47.83,110733857
Finance charges,,19944458,0,16658043,15284295,227510,211554,288585,727649,197832,127381,3968706,4293919,3119497,236505,363490,3719492,163008,281454,287505,731967,9473027,31927913,-22454886,-70.33,15284295
Bulk purchases,,136031708,0,150166696,150166696,15486646,17905512,16214884,49607042,9814929,10751647,10350270,30916846,11135351,11994679,10875457,34005487,13969854,9588353,10705484,34263691,148793066,287819497,-139026431,-48.3,150166696
Other Materials,,10558605,0,0,17344664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,17344664
Contracted services,,15953851,0,14773304,14096578,87818,697369,728209,1513396,903587,392064,530068,1825719,1213977,695195,191317,2100489,667982,820452,421800,1910234,7349838,28315503,-20965665,-74.04,14096578
Transfers and grants,,27209537,0,25117000,20087000,874000,1998652,2228957,5101609,2268678,1238076,1198154,4704908,1271557,3617695,1293146,6182398,1419868,1930468,7101787,10452123,26441038,48140913,-21699875,-45.08,20087000
Other expenditure,,50824525,0,76977325,55316813,1783505,5549238,4304158,11636901,4629773,4604286,7201717,16435776,3991993,4705892,5908715,14606600,2839760,5927298,7559772,16326830,59006107,147539872,-88533765,-60.01,55316813
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,561836519,0,616164232,599170828,35010441,42649297,58664669,136324407,52521733,42789197,38959249,134270179,64271908,46296080,43446597,154014585,44393087,43572188,50810961,138776236,563385407,1180981430,-617596023,-52.295151076168914,599170828
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-79936800,0,-118993561,-87621887,32613848,-7433822,-22975626,2204400,-4009003,-7531777,10704239,-836541,-18160430,-4518008,3284687,-19393751,1584304,-10076800,-7693268,-16185764,-34211656,-228070969,193859313,-84.999556870388,-87621887
Transfers recognised - capital,,52910396,0,22508246,39476950,0,0,1595966,1595966,5789877,2410174,2987253,11187304,558029,5026016,5024502,10608547,3768919,1553679,3193514,8516112,31907929,43140803,-11232874,-26.04,39476950
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,-27026404,0,-96485315,-48144937,32613848,-7433822,-21379660,3800366,1780874,-5121603,13691492,10350763,-17602401,508008,8309189,-8785204,5353223,-8523121,-4499754,-7669652,-2303727,-184930166,182626439,-98.75427192338107,-48144937
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,-27026404,0,-96485315,-48144937,32613848,-7433822,-21379660,3800366,1780874,-5121603,13691492,10350763,-17602401,508008,8309189,-8785204,5353223,-8523121,-4499754,-7669652,-2303727,-184930166,182626439,-98.75427192338107,-48144937
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,-27026404,0,-96485315,-48144937,32613848,-7433822,-21379660,3800366,1780874,-5121603,13691492,10350763,-17602401,508008,8309189,-8785204,5353223,-8523121,-4499754,-7669652,-2303727,-184930166,182626439,-98.75427192338107,-48144937
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,-27026404,0,-96485315,-48144937,32613848,-7433822,-21379660,3800366,1780874,-5121603,13691492,10350763,-17602401,508008,8309189,-8785204,5353223,-8523121,-4499754,-7669652,-2303727,-184930166,182626439,-98.75427192338107,-48144937
