Northern Cape: !Kheis(NC084) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,1780984,0,3165000,3385626,72097,40275,40275,152647,40275,40275,40275,120825,40275,0,0,40275,40275,0,40269,80544,394291,1708420,-1314129,-76.92,3385626
Property rates - penalties and collection charges,,0,0,166000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,3754632,0,4089000,4064000,273767,288606,254467,816840,408393,338568,341054,1088015,444749,473577,0,918326,425123,275731,347311,1048165,3871346,3417302,454044,13.29,4064000
Service charges - sanitation revenue,,1668747,0,1679000,1756994,156890,155039,154385,466314,102360,156073,153750,412183,155093,154494,0,309587,156581,154930,157307,468818,1656902,1445249,211653,14.64,1756994
Service charges - refuse revenue,,2268775,0,2298000,2589683,217805,217805,215469,651079,212866,215448,215448,643762,215448,215448,0,430896,213468,213468,213929,640865,2366602,1918545,448057,23.35,2589683
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,479099,0,514000,74172,44167,44632,47446,136245,45512,45627,44664,135803,43759,975930,0,1019689,46850,44345,45405,136600,1428337,484187,944150,195,74172
Interest earned - external investments,,140376,0,41000,60000,0,0,17241,17241,0,0,0,0,0,0,0,0,43967,0,0,43967,61208,310298,-249090,-80.27,60000
Interest earned - outstanding debtors,,0,0,1707000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1767265,-1767265,-100,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,0,0,14000,14000,3669,4104,4410,12183,4401,4326,3741,12468,5403,5415,0,10818,2799,3321,1074,7194,42663,3972,38691,974.09,14000
Licences and permits,,187744,0,0,361000,2353,315,3120,5788,2546,2428,310,5284,2348,306,0,2654,1013,1184,907,3104,16830,2592,14238,549.31,361000
Agency services,,0,0,930000,0,141060,120715,116711,378486,76801,146932,95499,319232,97232,97458,0,194690,75844,83172,131686,290702,1183110,171408,1011702,590.23,0
Transfers recognised - operational,,17619000,0,21277000,22278000,8909000,26365,934000,9869365,290000,3982980,0,4272980,0,0,0,0,0,0,0,0,14142345,19771000,-5628655,-28.47,22278000
Other own revenue,,488518,0,738000,260000,64869,17160,22514,104543,1459225,1164490,20717,2644432,351217,11816,0,363033,12747,192214,55344,260305,3372313,22462,3349851,14913.41,260000
Gains on disposal of PPE,,124000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382056,-382056,-100,0
Total Revenue (excl. capital transfers and contributions),,28511875,0,36618000,34843475,9885677,915016,1810038,12610731,2642379,6097147,915458,9654984,1355524,1934444,0,3289968,1018667,968365,993232,2980264,28535947,31404756,-2868809,-9.13495076987702,34843475
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,11956290,0,18873000,18848000,947685,1028170,1155253,3131108,1473546,1877479,1174301,4525326,1169886,1155748,0,2325634,1133457,1186495,1322498,3642450,13624518,14072971,-448453,-3.19,18848000
Remuneration of councillors,,1469533,0,2037000,2117000,111600,110759,164403,386762,189148,127383,165735,482266,128332,119054,0,247386,216291,126197,126197,468685,1585099,1759633,-174534,-9.92,2117000
Debt impairment,,12919458,0,4926000,4926000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5340423,-5340423,-100,4926000
Depreciation and asset impairment,,15984034,0,10282000,10282000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10190584,-10190584,-100,10282000
Finance charges,,319608,0,581000,650000,159881,0,0,159881,0,0,0,0,0,0,0,0,0,0,0,0,159881,203593,-43712,-21.47,650000
Bulk purchases,,897827,0,899000,960000,138458,69974,69974,278406,69974,69974,188764,328712,0,0,0,0,169493,69974,0,239467,846585,899267,-52682,-5.86,960000
Other Materials,,665000,0,3063000,1976000,24626,9482,20627,54735,26195,6096,6096,38387,42412,14165,0,56577,10483,132287,185453,328223,477922,842670,-364748,-43.28,1976000
Contracted services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers and grants,,0,0,1905000,1905000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1890492,-1890492,-100,1905000
Other expenditure,,12578000,0,13592000,13993000,6499397,1161170,1777787,9438354,715634,1062563,1112340,2890537,731747,164579,0,896326,702014,709201,413577,1824792,15050009,10369403,4680606,45.14,13993000
