Northern Cape: Tsantsabane(NC085) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,24108144,0,21447000,23447000,1317874,550354,550982,2419210,637848,619843,640921,1898612,641219,640361,0,1281580,705782,705782,490506,1902070,7501472,21447000,-13945528,-65.02,23447000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,37403846,0,42295000,45295000,3191357,3042263,5230400,11464020,3068659,3068266,2065178,8202103,3481676,3898756,0,7380432,2172841,2172841,1543983,5889665,32936220,42295000,-9358780,-22.13,45295000
Service charges - water revenue,,17757340,0,32315000,32315000,1539542,1164959,1557593,4262094,1729589,1561547,1263447,4554583,1980836,1759785,0,3740621,896799,896799,1250544,3044142,15601440,32315000,-16713560,-51.72,32315000
Service charges - sanitation revenue,,9968730,0,7000000,7000000,1016218,1153888,1158890,3328996,740499,1160738,1157668,3058905,1165384,752624,0,1918008,575443,575443,1176589,2327475,10633384,7000000,3633384,51.91,7000000
Service charges - refuse revenue,,8016413,0,5917000,6117000,1845054,839749,857044,3541847,588911,737220,859769,2185900,842860,622628,0,1465488,403645,403645,242893,1050183,8243418,5917000,2326418,39.32,6117000
Service charges - other,,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2000
Rental of facilities and equipment,,292567,0,304000,209000,19312,18159,20314,57785,24084,32856,23696,80636,30660,28810,0,59470,28810,28810,0,57620,255511,304000,-48489,-15.95,209000
Interest earned - external investments,,880398,0,265000,265000,30985,50874,3274,85133,10540,0,17975,28515,30394,21296,0,51690,21296,21296,7747,50339,215677,265000,-49323,-18.61,265000
Interest earned - outstanding debtors,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,81269,0,290000,290000,17100,0,0,17100,60,0,0,60,24090,2529,0,26619,2529,2529,0,5058,48837,290000,-241163,-83.16,290000
Licences and permits,,262888,0,385000,335000,94593,60,3492,98145,0,122928,60,122988,180,83397,0,83577,83397,83397,0,166794,471504,385000,86504,22.47,335000
Agency services,,636799,0,650000,0,223859,0,0,223859,0,0,0,0,0,0,0,0,0,0,0,0,223859,650000,-426141,-65.56,0
Transfers recognised - operational,,38168571,0,32303000,5243000,12544000,17567,12903,12574470,0,6859000,1928435,8787435,0,0,0,0,0,0,6,6,21361911,32303000,-10941089,-33.87,5243000
Other own revenue,,4827776,0,12220000,37873000,419876,64232,167866,651974,102224,557111,177333,836668,219759,502811,0,722570,3065816,3065816,527038,6658670,8869882,12220000,-3350118,-27.42,37873000
Gains on disposal of PPE,,29000000,0,30000000,30000000,0,0,1890646,1890646,0,0,0,0,0,0,0,0,0,0,0,0,1890646,30000000,-28109354,-93.7,30000000
