Northern Cape: Kgatelopele(NC086) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,3452723,0,9550000,9550000,798000,3579,0,801579,0,0,0,0,0,0,0,0,0,0,0,0,801579,9550000,-8748421,-91.61,9550000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,13214370,0,17926500,17927000,1480100,1195228,1294035,3969363,1222744,973536,0,2196280,1362783,0,0,1362783,1335407,1106483,1466290,3908180,11436606,17926872,-6490266,-36.2,17927000
Service charges - water revenue,,6117078,0,7842000,7842000,603728,524912,620334,1748974,672286,621683,0,1293969,689849,0,0,689849,579035,626462,447818,1653315,5386107,7841794,-2455687,-31.32,7842000
Service charges - sanitation revenue,,3839773,0,4054000,4054000,343939,348594,342297,1034830,345937,338763,0,684700,338322,0,0,338322,350850,349324,350607,1050781,3108633,4054213,-945580,-23.32,4054000
Service charges - refuse revenue,,5356401,0,5964001,5964000,486109,481850,484132,1452091,485511,485419,0,970930,487243,0,0,487243,488656,485851,488078,1462585,4372849,5963556,-1590707,-26.67,5964000
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,321274,0,259000,259000,5357,58838,71053,135248,56482,-139102,0,-82620,12536,0,0,12536,12556,12556,14233,39345,104509,258542,-154033,-59.58,259000
Interest earned - external investments,,1135531,0,27000,226000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27000,-27000,-100,226000
Interest earned - outstanding debtors,,0,0,0,101000,0,10708,10966,21674,10641,0,0,10641,10078,0,0,10078,9587,9493,9310,28390,70783,,70783,0,101000
Dividends received,,6800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,24232,0,12000,12000,2647,176,0,2823,2015,79,0,2094,22,0,0,22,18,88,1202,1308,6247,11657,-5410,-46.41,12000
Licences and permits,,0,0,405000,405000,-328386,13522,2055,-312809,-694372,-3145,0,-697517,-9328,0,0,-9328,1712,4616,1464,7792,-1011862,405000,-1416862,-349.84,405000
Agency services,,0,0,414000,414000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414091,-414091,-100,414000
Transfers recognised - operational,,34294728,0,20836000,20836000,8170000,672173,6153557,14995730,1187500,5365000,0,6552500,0,0,0,0,183105,0,0,183105,21731335,20836000,895335,4.3,20836000
Other own revenue,,1856221,0,6821500,6822000,64422,46399,128068,238889,110507,42884,0,153391,110458,0,0,110458,11114,77087,238529,326730,829468,6822000,-5992532,-87.84,6822000
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,69619131,0,74111001,74412000,11625916,3355979,9106497,24088392,3399251,7685117,0,11084368,3001963,0,0,3001963,2972040,2671960,3017531,8661531,46836254,74110725,-27274471,-36.802326518867545,74412000
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,14189312,0,19681000,19681000,1298391,1495023,1552787,4346201,1608725,2173983,0,3782708,1409432,0,0,1409432,1479152,1482914,1514550,4476616,14014957,19681096,-5666139,-28.79,19681000
Remuneration of councillors,,2121944,0,2639000,2639000,166160,174291,168322,508773,168875,168156,0,337031,163960,0,0,163960,141522,260383,179019,580924,1590688,2639374,-1048686,-39.73,2639000
Debt impairment,,5639658,0,5600000,5600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5600000,-5600000,-100,5600000
Depreciation and asset impairment,,11154464,0,5909000,5228429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5909000,-5909000,-100,5228429
Finance charges,,0,0,584000,584000,107852,12482,0,120334,12310,-641,0,11669,10437,0,0,10437,8891,8871,8113,25875,168315,584000,-415685,-71.18,584000
Bulk purchases,,12755592,0,14868000,14868000,0,1910843,1727964,3638807,955234,995443,0,1950677,1364793,0,0,1364793,0,1845889,1367034,3212923,10167200,14868025,-4700825,-31.62,14868000
Other Materials,,1442463,0,3669000,3669000,67693,127569,285818,481080,75080,166798,0,241878,266972,0,0,266972,0,143496,107973,251469,1241399,3668628,-2427229,-66.16,3669000
Contracted services,,3408647,0,4307000,4307000,1045109,436775,1637649,3119533,728267,1426700,0,2154967,230439,0,0,230439,266362,-237790,676882,705454,6210393,4307000,1903393,44.19,4307000
Transfers and grants,,7256541,0,7311000,7311000,2348241,2037282,3165246,7550769,1299157,1326705,0,2625862,492488,0,0,492488,454474,575129,1016104,2045707,12714826,7311000,5403826,73.91,7311000
Other expenditure,,8399055,0,9543000,10223821,597232,547438,304917,1449587,370837,448352,0,819189,395040,0,0,395040,146696,360390,542276,1049362,3713178,9542344,-5829166,-61.09,10223821
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,-100,,-100,0,0
Total Expenditure,,66367676,0,74111000,74111250,5630678,6741703,8842703,21215084,5218485,6705496,0,11923981,4333561,0,0,4333561,2497097,4439282,5411851,12348230,49820856,74110467,-24289611,-32.77487240769917,74111250
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,3251455,0,1,300750,5995238,-3385724,263794,2873308,-1819234,979621,0,-839613,-1331598,0,0,-1331598,474943,-1767322,-2394320,-3686699,-2984602,258,-2984860,-1156922.4806201549,300750
Transfers recognised - capital,,0,0,7843000,7843000,5500000,2383356,1000,7884356,0,300000,0,300000,1273782,0,0,1273782,442051,0,0,442051,9900189,7843000,2057189,26.23,7843000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,3251455,0,7843001,8143750,11495238,-1002368,264794,10757664,-1819234,1279621,0,-539613,-57816,0,0,-57816,916994,-1767322,-2394320,-3244648,6915587,7843258,-927671,-11.827623163741393,8143750
