Northern Cape: Sol Plaatje(NC091) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,368225172,0,397945837,397945837,178772734,19738775,19632741,218144250,20381624,7916856,32115466,60413946,20052296,20058071,20062986,60173353,20066034,20050588,20072419,60189041,398920590,397946459,974131,0.24,397945837
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,528884697,0,608853019,568853019,46936879,50823708,39993707,137754294,54979426,30576139,42263659,127819224,58189071,34705540,43691480,136586091,57234685,41416548,44405762,143056995,545216604,608853119,-63636515,-10.45,568853019
Service charges - water revenue,,197867362,0,239314763,224314763,14086267,16055133,15921831,46063231,19234129,23070387,14697918,57002434,23320908,22473944,21106472,66901324,19774071,12104156,16269518,48147745,218114734,239315043,-21200309,-8.86,224314763
Service charges - sanitation revenue,,63600733,0,67186734,67886734,5630273,6296215,5616257,17542745,5611352,5594002,5651703,16857057,5595918,5626865,5617575,16840358,5626872,5467126,5622121,16716119,67956279,67186712,769567,1.15,67886734
Service charges - refuse revenue,,44695360,0,46840676,46840676,3955586,4028742,3929438,11913766,3928629,3933799,3960737,11823165,3909251,3957018,3929258,11795527,3959276,3911688,3960629,11831593,47364051,46840532,523519,1.12,46840676
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,17795472,0,17606040,17606040,1220478,1200744,1317876,3739098,1394101,1277436,1388170,4059707,1894514,1152290,1404358,4451162,1430086,1217440,1544191,4191717,16441684,17606040,-1164356,-6.61,17606040
Interest earned - external investments,,21412753,0,12000000,16000000,-4314565,659522,1383659,-2271384,2313425,247065,857096,3417586,506935,1213024,1026660,2746619,1708719,263989,13898948,15871656,19764477,12000000,7764477,64.7,16000000
Interest earned - outstanding debtors,,56744324,0,45000000,65000000,5329228,5511966,6850864,17692058,6917663,5326901,6459005,18703569,6709314,6930325,5932622,19572261,6648914,3988581,6471368,17108863,73076751,45000000,28076751,62.39,65000000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,11553669,0,7635300,11635300,315623,231327,232957,779907,452646,594588,397585,1444819,203376,374484,688324,1266184,321527,235525,597093,1154145,4645055,7635300,-2990245,-39.16,11635300
Licences and permits,,2708265,0,2672000,2672000,194239,241464,239511,675214,321607,151065,134542,607214,574316,291644,509438,1375398,87587,314850,193940,596377,3254203,2672000,582203,21.79,2672000
Agency services,,4339326,0,4900000,4900000,870058,518926,150443,1539427,1113232,-939963,1143052,1316321,642984,1776316,1233987,3653287,-1036187,1524539,-167065,321287,6830322,4900000,1930322,39.39,4900000
Transfers recognised - operational,,166600914,0,164709767,169842130,53915168,444167,312000,54671335,312000,0,48480000,48792000,0,4563000,39390000,43953000,0,0,0,0,147416335,164709767,-17293432,-10.5,169842130
Other own revenue,,36945398,0,33745339,82399080,-9714065,15385599,5008228,10679762,8923956,6591410,12824003,28339369,8576373,2823507,8164018,19563898,2018179,2472762,3990397,8481338,67064367,33744881,33319486,98.74,82399080
Gains on disposal of PPE,,275336,0,0,0,0,0,0,0,-127,127,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,1521648781,0,1648409475,1675895579,297197903,121136288,100589512,518923703,125883663,84339812,170372936,380596411,130175256,105946028,152757178,388878462,117839763,92967792,116859321,327666876,1616065452,1648409853,-32344401,-1.9621577086023398,1675895579
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,474749081,0,547623567,551623567,39399187,40580235,38283774,118263196,40015046,42230645,49999246,132244937,39954637,42476383,40763201,123194221,39535243,41863997,39530439,120929679,494632033,547623877,-52991844,-9.68,551623567
Remuneration of councillors,,18459181,0,19967560,19967560,1567966,1567966,1567966,4703898,1548049,1582167,1571147,4701363,1571147,1566693,1832693,4970533,2158017,1653627,1653627,5465271,19841065,19967560,-126495,-0.63,19967560
Debt impairment,,126810256,0,145000000,145000000,0,145000000,0,145000000,0,0,0,0,0,0,0,0,0,0,0,0,145000000,145000000,0,0,145000000
Depreciation and asset impairment,,41988288,0,52550000,52550000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32843,32843,32843,52550001,-52517158,-99.94,52550000
Finance charges,,28056347,0,36559194,34559194,0,0,0,0,0,-106070,15538711,15432641,0,0,0,0,0,0,14919312,14919312,30351953,36559194,-6207241,-16.98,34559194
Bulk purchases,,381004927,0,422000000,425000000,101917,46529109,41559964,88190990,37682465,32489563,30751351,100923379,30039938,34652778,32078542,96771258,30466760,23347765,23078212,76892737,362778364,422000000,-59221636,-14.03,425000000
Other Materials,,64256616,0,87135457,90735457,3343471,6962414,6550157,16856042,6794533,4814882,9059316,20668731,3405338,7232942,8509209,19147489,6154833,9063972,10756905,25975710,82647972,87135457,-4487485,-5.15,90735457
Contracted services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers and grants,,19564339,0,54750000,55370000,1300000,200000,1450000,2950000,0,16707340,2376003,19083343,3344813,4853591,3192260,11390664,3421709,12128629,4024203,19574541,52998548,54750000,-1751452,-3.2,55370000
Other expenditure,,248673872,0,266997725,322300602,16004244,23876137,31895732,71776113,36111214,9345279,34868558,80325051,15340474,20024493,23789547,59154514,23061428,23463028,23343929,69868385,281124063,266997426,14126637,5.29,322300602
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,1403562907,0,1632583503,1697106380,61716785,264715861,121307593,447740239,122151307,107063806,144164332,373379445,93656347,110806880,110165452,314628679,104797990,111521018,117339470,333658478,1469406841,1632583515,-163176674,-9.994997040013601,1697106380
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,118085874,0,15825972,-21210801,235481118,-143579573,-20718081,71183464,3732356,-22723994,26208604,7216966,36518909,-4860852,42591726,74249783,13041773,-18553226,-480149,-5991602,146658611,15826338,130832273,826.6743260506631,-21210801
Transfers recognised - capital,,140152984,0,88927233,130410521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88927233,-88927233,-100,130410521
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,720724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,258959582,0,104753205,109199720,235481118,-143579573,-20718081,71183464,3732356,-22723994,26208604,7216966,36518909,-4860852,42591726,74249783,13041773,-18553226,-480149,-5991602,146658611,104753571,41905040,40.00344771062745,109199720
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,258959582,0,104753205,109199720,235481118,-143579573,-20718081,71183464,3732356,-22723994,26208604,7216966,36518909,-4860852,42591726,74249783,13041773,-18553226,-480149,-5991602,146658611,104753571,41905040,40.00344771062745,109199720
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,258959582,0,104753205,109199720,235481118,-143579573,-20718081,71183464,3732356,-22723994,26208604,7216966,36518909,-4860852,42591726,74249783,13041773,-18553226,-480149,-5991602,146658611,104753571,41905040,40.00344771062745,109199720
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,258959582,0,104753205,109199720,235481118,-143579573,-20718081,71183464,3732356,-22723994,26208604,7216966,36518909,-4860852,42591726,74249783,13041773,-18553226,-480149,-5991602,146658611,104753571,41905040,40.00344771062745,109199720
