Northern Cape: Dikgatlong(NC092) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,5002917,0,4500000,4500000,354365,458416,400582,1213363,580805,489590,8508478,9578873,669558,543363,-522670,690251,504026,636938,674741,1815705,13298192,4500000,8798192,195.52,4500000
Property rates - penalties and collection charges,,3320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,17779476,0,20000000,27020000,2216927,1670952,1593801,5481680,2198397,829333,1867703,4895433,135300,5595071,5374186,11104557,1510532,1333085,1780071,4623688,26105358,20000000,6105358,30.53,27020000
Service charges - water revenue,,11056812,0,10000000,12000000,1033347,935198,953986,2922531,1024442,1163328,937370,3125140,1257318,987287,-987714,1256891,1027504,856741,367604,2251849,9556411,10000000,-443589,-4.44,12000000
Service charges - sanitation revenue,,2349752,0,2200000,2200000,164939,227773,193586,586298,222152,178742,148995,549889,184688,174107,-137627,221168,206656,186861,188043,581560,1938915,2200000,-261085,-11.87,2200000
Service charges - refuse revenue,,5996607,0,6000000,6000000,534367,530860,546126,1611353,533364,533192,506467,1573023,546193,492147,-500077,538263,524480,513684,490207,1528371,5251010,6000000,-748990,-12.48,6000000
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,299637,0,240000,240000,6608,7479,24384,38471,4998,20446,7923,33367,5232,6608,-22014,-10174,6717,21801,21248,49766,111430,240000,-128570,-53.57,240000
Interest earned - external investments,,273441,0,220000,220000,1602,-1125,0,477,8369,0,2350,10719,0,0,0,0,2182,0,7485,9667,20863,220000,-199137,-90.52,220000
Interest earned - outstanding debtors,,14912766,0,11962000,11962000,1388262,1374215,1393388,4155865,1466420,1511069,1463566,4441055,1478564,1472993,-1536320,1415237,1520563,1535150,1542786,4598499,14610656,11962000,2648656,22.14,11962000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,8210,0,16500,16500,1960,-1960,200,200,0,0,1530,1530,270,200,-2850,-2380,0,15640,1243,16883,16233,16500,-267,-1.62,16500
Licences and permits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Agency services,,0,0,60000,60000,5821,5978,6119,17918,5973,5969,5845,17787,6123,6479,-6514,6088,6445,6802,6709,19956,61749,60000,1749,2.92,60000
Transfers recognised - operational,,67477589,0,55180000,52384000,20452000,0,0,20452000,0,15969000,0,15969000,0,-34154,0,-34154,0,13995000,3514946,17509946,53896792,55180000,-1283208,-2.33,52384000
Other own revenue,,267033,0,141050,141050,13947,43276,1954,59177,18877,-13660,12913,18130,7939,-39473,-20403,-51937,2726,25756,27322,55804,81174,141050,-59876,-42.45,141050
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,611,0,611,0,0,0,0,0,0,0,0,611,,611,0,0
Total Revenue (excl. capital transfers and contributions),,125427560,0,110519550,116743550,26174145,5251062,5114126,36539333,6063797,20687620,13463140,40214557,4291185,9204628,1637997,15133810,5311831,19127458,8622405,33061694,124949394,110519550,14429844,13.056372379366366,116743550
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,35685133,0,43093004,44151703,3585986,3370405,3661855,10618246,3496902,3455222,3522022,10474146,3553728,3562659,3652865,10769252,3606014,3687858,3560470,10854342,42715986,43093309,-377323,-0.88,44151703
Remuneration of councillors,,2808265,0,3313160,3123910,239884,239884,239884,719652,239884,239884,239884,719652,239884,239884,239884,719652,239884,239884,239884,719652,2878608,3313160,-434552,-13.12,3123910
Debt impairment,,4114490,0,7500000,7500000,316509,183954,7897,508360,0,0,0,0,0,0,0,0,0,0,141743,141743,650103,7500000,-6849897,-91.33,7500000
Depreciation and asset impairment,,16747545,0,500000,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,-500000,-100,500000
Finance charges,,230716,0,100000,100000,7023,6994,0,14017,0,0,0,0,13796,12618,0,26414,0,0,0,0,40431,100000,-59569,-59.57,100000
Bulk purchases,,18146679,0,27000000,35585021,4702373,519283,390366,5612022,-76406,312094,523159,758847,230069,12364,15304,257737,0,0,0,0,6628606,27000000,-20371394,-75.45,35585021
Other Materials,,2192606,0,2685000,3635000,437028,943887,155998,1536913,192315,417426,288360,898101,267714,239372,80605,587691,114905,64027,746093,925025,3947730,2685000,1262730,47.03,3635000
Contracted services,,6761520,0,6630000,7345000,2518462,702005,1361263,4581730,229781,346596,403144,979521,335811,154258,179683,669752,613726,26209,895747,1535682,7766685,6630000,1136685,17.14,7345000
Transfers and grants,,1409129,0,0,850000,40845,58612,27925,127382,68501,74557,31495,174553,57740,70220,94845,222805,74458,70359,87451,232268,757008,,757008,0,850000
Other expenditure,,30755228,0,19635000,15212604,1653808,1040121,939342,3633271,1002776,981077,1095922,3079775,559151,844340,459303,1862794,271031,300247,418181,989459,9565299,19635000,-10069701,-51.28,15212604
Loss on disposal of PPE,,221141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,119072452,0,110456164,118003238,13501918,7065145,6784530,27351593,5153753,5826856,6103986,17084595,5257893,5135715,4722489,15116097,4920018,4388584,6089569,15398171,74950456,110456469,-35506013,-32.14480176801596,118003238
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,6355108,0,63386,-1259688,12672227,-1814083,-1670404,9187740,910044,14860764,7359154,23129962,-966708,4068913,-3084492,17713,391813,14738874,2532836,17663523,49998938,63081,49935857,79161.48602590321,-1259688
Transfers recognised - capital,,14531370,0,0,2734000,18000000,0,0,18000000,0,21675,100556,122231,0,0,0,0,0,0,0,0,18122231,,18122231,0,2734000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,420000,8671,0,0,8671,0,0,0,0,3332,0,0,3332,0,0,0,0,12003,,12003,0,420000
Surplus/(Deficit) after capital transfers and contributions,,20886478,0,63386,1894312,30680898,-1814083,-1670404,27196411,910044,14882439,7459710,23252193,-963376,4068913,-3084492,21045,391813,14738874,2532836,17663523,68133172,63081,68070091,107909.02331922448,1894312
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,20886478,0,63386,1894312,30680898,-1814083,-1670404,27196411,910044,14882439,7459710,23252193,-963376,4068913,-3084492,21045,391813,14738874,2532836,17663523,68133172,63081,68070091,107909.02331922448,1894312
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,20886478,0,63386,1894312,30680898,-1814083,-1670404,27196411,910044,14882439,7459710,23252193,-963376,4068913,-3084492,21045,391813,14738874,2532836,17663523,68133172,63081,68070091,107909.02331922448,1894312
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,20886478,0,63386,1894312,30680898,-1814083,-1670404,27196411,910044,14882439,7459710,23252193,-963376,4068913,-3084492,21045,391813,14738874,2532836,17663523,68133172,63081,68070091,107909.02331922448,1894312
