Northern Cape: Magareng(NC093) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,4522649,0,4897564,4897563,346598,346598,311123,1004319,364098,346598,335853,1046549,336908,345908,-3589,679227,-3589,-3589,-3589,-10767,2719328,4897563,-2178235,-44.48,4897563
Property rates - penalties and collection charges,,0,0,1000000,700000,96155,91719,-124778,63096,81643,95378,97205,274226,83223,99274,-728,181769,-728,-728,-728,-2184,516907,1000000,-483093,-48.31,700000
Service charges - electricity revenue,,13322720,0,15181372,17471168,1497760,686,1181267,2679713,2429259,1548338,1429184,5406781,1758645,1244220,140862,3143727,140862,140862,140862,422586,11652807,15181372,-3528565,-23.24,17471168
Service charges - water revenue,,6164179,0,6296065,5846492,481764,435737,174832,1092333,419783,512591,669663,1602037,451420,605639,-162208,894851,-162208,-162208,-162208,-486624,3102597,6296065,-3193468,-50.72,5846492
Service charges - sanitation revenue,,1099498,0,4226683,4428683,324557,325360,328076,977993,327610,328613,332309,988532,326555,328981,6590,662126,6590,6590,6590,19770,2648421,4226683,-1578262,-37.34,4428683
Service charges - refuse revenue,,3492264,0,3751236,3751236,309945,309395,321255,940595,310724,311006,306590,928320,309363,312699,180,622242,180,180,180,540,2491697,3751236,-1259539,-33.58,3751236
Service charges - other,,18478,0,0,0,2150,1609,5367,9126,3282,2817,5475,11574,3425,3346,3465,10236,3465,3465,3465,10395,41331,,41331,0,0
Rental of facilities and equipment,,52995,0,60000,30000,1885,1249,3749,6883,4119,2681,2267,9067,1886,1647,1156,4689,1156,1156,1156,3468,24107,60000,-35893,-59.82,30000
Interest earned - external investments,,240183,0,1003500,323302,0,12073,7965,20038,1836,5448,6102,13386,3524,0,0,3524,0,0,0,0,36948,1003500,-966552,-96.32,323302
Interest earned - outstanding debtors,,5199344,0,6490000,6635000,397063,377075,-2822,771316,397759,401914,413208,1212881,415632,431282,-327,846587,-327,-327,-327,-981,2829803,6490000,-3660197,-56.4,6635000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,202461,0,1012500,158750,5750,25382,700,31832,9470,3100,100,12670,7750,4150,1363,13263,1363,1363,1363,4089,61854,1012500,-950646,-93.89,158750
