Northern Cape: Phokwane(NC094) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,9945962,0,15654296,15654000,1826794,1328808,1384361,4539963,1359805,1382985,1389198,4131988,1389018,1392948,1385783,4167749,0,1355198,1355198,2710396,15550096,15654300,-104204,-0.67,15654000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,42644298,0,45203167,45099000,3016289,2591701,2191458,7799448,2476008,2404058,2654245,7534311,2905243,2528243,2562491,7995977,0,2506217,2506217,5012434,28342170,45203164,-16860994,-37.3,45099000
Service charges - water revenue,,21744171,0,28456885,28473000,1783413,2030446,1781816,5595675,1852416,2027677,1985129,5865222,1631141,1999689,2121958,5752788,0,2990327,2990327,5980654,23194339,28456883,-5262544,-18.49,28473000
Service charges - sanitation revenue,,10344603,0,11622642,11628000,1005709,995664,1042114,3043487,995389,990040,992938,2978367,507095,1000720,997999,2505814,0,999829,999829,1999658,10527326,11622642,-1095316,-9.42,11628000
Service charges - refuse revenue,,6649070,0,7734016,7734000,643153,645435,645230,1933818,643929,642961,645435,1932325,349004,645441,646101,1640546,0,655249,655249,1310498,6817187,7734017,-916830,-11.85,7734000
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,362268,0,379701,363000,33771,28002,30698,92471,29209,31078,28952,89239,36390,29009,30240,95639,0,30582,30582,61164,338513,379701,-41188,-10.85,363000
Interest earned - external investments,,2442131,0,2081683,698000,28114,150778,30886,209778,7216,15023,116815,139054,756463,58014,23483,837960,0,32935,32935,65870,1252662,2081682,-829020,-39.82,698000
Interest earned - outstanding debtors,,10030462,0,9456966,12943000,921741,902863,941360,2765964,992452,1021804,1046998,3061254,1074214,1087023,1103589,3264826,0,1161588,1161588,2323176,11415220,9456963,1958257,20.71,12943000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,99160,0,133287,142000,9800,4950,37200,51950,3500,15600,0,19100,10750,1800,27950,40500,0,2150,2150,4300,115850,133286,-17436,-13.08,142000
Licences and permits,,1059161,0,1616803,1238000,139419,121320,120851,381590,143117,90985,92410,326512,102327,158946,142741,404014,0,149731,149731,299462,1411578,1616803,-205225,-12.69,1238000
Agency services,,1760307,0,1312192,489000,105490,108909,121197,335596,138457,108220,88530,335207,181371,119004,150041,450416,0,93069,93069,186138,1307357,1312192,-4835,-0.37,489000
Transfers recognised - operational,,70489910,0,76376005,76077000,28243000,0,0,28243000,0,0,25055000,25055000,0,0,0,0,0,18055000,18055000,36110000,89408000,76376000,13032000,17.06,76077000
Other own revenue,,2633669,0,1259843,1261000,56171,54120,56544,166835,25300,252479,125129,402908,55062,44489,46783,146334,0,67094,67094,134188,850265,1259730,-409465,-32.5,1261000
Gains on disposal of PPE,,0,0,0,211000,0,0,0,0,0,0,211000,211000,0,0,0,0,0,0,0,0,211000,,211000,0,211000
Total Revenue (excl. capital transfers and contributions),,180205172,0,201287486,202010000,37812864,8962996,8383715,55159575,8666798,8982910,34431779,52081487,8998078,9065326,9239159,27302563,0,28098969,28098969,56197938,190741563,201287363,-10545800,-5.2391763908199245,202010000
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,49425056,0,48290371,55911000,4470365,4642281,4680037,13792683,4736604,4672268,4625951,14034823,4789765,4448667,4518828,13757260,0,4604100,4604100,9208200,50792966,48290283,2502683,5.18,55911000
Remuneration of councillors,,5187188,0,4634014,4454000,353419,353419,353419,1060257,353419,370844,370844,1095107,388269,314358,370844,1073471,0,391583,391583,783166,4012001,4634012,-622011,-13.42,4454000
Debt impairment,,29025373,0,30440416,11984000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30440412,-30440412,-100,11984000
Depreciation and asset impairment,,37884987,0,7293106,7293000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7293108,-7293108,-100,7293000
Finance charges,,1285519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Bulk purchases,,54856978,0,66130702,71481000,0,6029090,0,6029090,3291236,8506565,12874069,24671870,5157502,6100829,859321,12117652,0,3090797,3090797,6181594,49000206,66130701,-17130495,-25.9,71481000
Other Materials,,6110840,0,6937410,8777000,303661,632892,346538,1283091,771696,917712,739482,2428890,499560,251345,302729,1053634,0,165589,165589,331178,5096793,6937397,-1840604,-26.53,8777000
Contracted services,,24748598,0,13122115,7836000,217159,395200,1652777,2265136,1024993,391032,3195643,4611668,255655,1530635,895329,2681619,0,381148,381148,762296,10320719,7349159,2971560,40.43,7836000
Transfers and grants,,13187515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other expenditure,,31621191,0,42305343,48203000,1417679,2750932,1746056,5914667,1969688,1595152,2737307,6302147,1747953,3647729,2014871,7410553,0,1800763,1800763,3601526,23228893,48078266,-24849373,-51.69,48203000
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,253333245,0,219153477,215939000,6762283,14803814,8778827,30344924,12147636,16453573,24543296,53144505,12838704,16293563,8961922,38094189,0,10433980,10433980,20867960,142451578,219153338,-76701760,-34.999129239820206,215939000
,,,,,,,,,,,,,,,,,,,,,,,,,,
