Northern Cape: Joe Morolong(NC451) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,3370642,0,9651027,6303105,0,133988,0,133988,149694,140410,55,290159,10064851,0,0,10064851,0,0,1088657,1088657,11577655,9651027,1926628,19.96,6303105
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,4914111,0,7249380,5854664,161099,392773,131428,685300,347684,355342,422508,1125534,273964,493246,352716,1119926,376367,246442,155367,778176,3708936,7249380,-3540444,-48.84,5854664
Service charges - water revenue,,5314596,0,6419200,6745742,701686,870095,305624,1877405,935621,103412,619702,1658735,3339784,1161800,1645119,6146703,286544,461053,982127,1729724,11412567,6419200,4993367,77.79,6745742
Service charges - sanitation revenue,,1438818,0,1509738,1509738,124990,109473,159988,394451,59622,17499,143953,221074,142259,151471,151951,445681,152540,152146,150795,455481,1516687,1509738,6949,0.46,1509738
Service charges - refuse revenue,,837861,0,914602,914602,70087,63131,89740,222958,37639,79924,79924,197487,84699,84751,84777,254227,84777,84777,84777,254331,929003,914602,14401,1.57,914602
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,99655,0,95391,95391,6215,5115,5515,16845,4815,7115,4365,16295,9247,8009,2821,20077,7167,5855,26250,39272,92489,95391,-2902,-3.04,95391
Interest earned - external investments,,259686,0,0,92130,1388,8736,7149,17273,3986,8582,16224,28792,251529,20161,32663,304353,26916,11423,14741,53080,403498,,403498,0,92130
Interest earned - outstanding debtors,,3726728,0,50000,352460,291940,0,10520,302460,0,0,0,0,0,0,0,0,181343,0,0,181343,483803,50000,433803,867.61,352460
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Licences and permits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,74257000,0,111579900,113634172,41517978,2549792,377152,44444922,5000000,32130735,725506,37856241,58568,485000,32968509,33512077,0,2658908,2398449,5057357,120870597,111579900,9290697,8.33,113634172
Other own revenue,,1022351,0,694173,1011744,10103,16411,147757,174271,104643,81211,393580,579434,128378,44446,48770,221594,78476,33934,1086463,1198873,2174172,694101,1480071,213.24,1011744
