Northern Cape: Ga-Segonyana(NC452) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,17988383,0,33536654,33036654,19500838,919934,967005,21387777,957061,956921,877197,2791179,952739,923205,952962,2828906,958721,958534,21691,1938946,28946808,33536653,-4589845,-13.69,33036654
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,66611599,0,82143709,82043709,3243734,4024554,4075546,11343834,3083946,3198816,3213051,9495813,3426688,5712505,4144831,13284024,4493008,3709490,4919585,13122083,47245754,82143709,-34897955,-42.48,82043709
Service charges - water revenue,,17515495,0,21940836,14975836,1169248,1283441,1064862,3517551,1308251,1610149,1287945,4206345,1643689,1554462,1334907,4533058,1306493,1192296,1250841,3749630,16006584,21940840,-5934256,-27.05,14975836
Service charges - sanitation revenue,,9215150,0,10165984,10255984,856999,823661,861036,2541696,861334,870374,874386,2606094,873271,873203,869910,2616384,872351,876731,919435,2668517,10432691,10165979,266712,2.62,10255984
Service charges - refuse revenue,,6375614,0,9389361,9299361,596693,545450,583744,1725887,566743,591181,579319,1737243,578467,572564,593955,1744986,575320,576964,632387,1784671,6992787,9389364,-2396577,-25.52,9299361
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,1026270,0,1896309,1828309,86665,80099,130235,296999,77987,76136,83523,237646,63775,89541,98387,251703,86019,81445,80467,247931,1034279,1896314,-862035,-45.46,1828309
Interest earned - external investments,,1448305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Interest earned - outstanding debtors,,1287280,0,1139208,3839208,224777,282233,334321,841331,352577,351252,361593,1065422,356217,351561,352134,1059912,356688,365412,368645,1090745,4057410,1139208,2918202,256.16,3839208
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,2259740,0,4300552,2300552,171543,98631,365503,635677,61467,49162,218680,329309,133532,102765,54718,291015,6758,45850,381586,434194,1690195,4300552,-2610357,-60.7,2300552
Licences and permits,,3815354,0,3361761,3317761,177048,207791,511135,895974,346500,229966,133169,709635,174537,220702,369629,764868,95125,318302,286759,700186,3070663,3361764,-291101,-8.66,3317761
Agency services,,0,0,1572559,1772559,122694,126943,171198,420835,26058,122267,70651,218976,139625,117129,231407,488161,73305,221882,203152,498339,1626311,1572557,53754,3.42,1772559
Transfers recognised - operational,,99295614,0,98754000,103333404,34976805,0,2315819,37292624,480965,27709081,1256838,29446884,258427,154301,25732921,26145649,1420276,1203291,7270301,9893868,102779025,98754000,4025025,4.08,103333404
Other own revenue,,38999769,0,34944625,32882325,3585851,2263333,4482476,10331660,1887493,2092097,2037322,6016912,2767309,265889,1615736,4648934,534495,277510,637147,1449152,22446658,34944622,-12497964,-35.77,32882325
