Northern Cape: Gamagara(NC453) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,23623405,0,396607633,177803445,198850338,17255317,37806016,253911671,16724909,16835937,16720422,50281268,0,16582985,16755850,33338835,16594075,-16763218,0,-169143,337362631,396607634,-59245003,-14.94,177803445
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,111303361,0,115694820,132694820,8760168,8894289,8884472,26538929,8313616,7679856,3797920,19791392,685323,28872318,33911647,63469288,9890548,-5498015,0,4392533,114192142,108694824,5497318,5.06,132694820
Service charges - water revenue,,47252053,0,51850612,68850612,3427948,3905555,3990368,11323871,7748047,5205300,3465460,16418807,0,4328326,52739225,57067551,22765991,51864965,0,74630956,159441185,43850616,115590569,263.6,68850612
Service charges - sanitation revenue,,37392747,0,22340931,39340932,985431,2710886,6444777,10141094,-5572791,3495279,4983444,2905932,4409,743388,14524282,15272079,3612607,10098268,0,13710875,42029980,15340932,26689048,173.97,39340932
Service charges - refuse revenue,,13700091,0,14892614,14892614,1194603,1373558,1404427,3972588,1302023,1335174,1355587,3992784,175,1059903,1295606,2355684,1323576,-1380010,0,-56434,10264622,14892612,-4627990,-31.08,14892614
Service charges - other,,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22000004,-22000004,-100,0
Rental of facilities and equipment,,629829,0,715336,715336,43955,38500,34383,116838,36293,36057,29630,101980,4895,33061,36561,74517,28914,-26641,0,2273,295608,715332,-419724,-58.68,715336
Interest earned - external investments,,446076,0,500000,500000,165208,37620,19039,221867,7141,15044,27400,49585,158210,134387,108258,400855,111499,-80908,0,30591,702898,500004,202894,40.58,500000
Interest earned - outstanding debtors,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,775203,0,314374,314374,162817,5494,222,168533,11214,10009,0,21223,11453,7253,38340,57046,1764,-20370,0,-18606,228196,314376,-86180,-27.41,314374
Licences and permits,,1055069,0,872436,871845,97204,2991,2467,102662,157118,94406,0,251524,0,4693,274016,278709,77978,-16841,0,61137,694032,872436,-178404,-20.45,871845
Agency services,,2475622,0,2919084,2919084,218740,33505,23172,275417,478821,247517,6733,733071,24695,27560,715888,768143,246008,-81138,0,164870,1941501,2919084,-977583,-33.49,2919084
Transfers recognised - operational,,28993461,0,25569000,33203282,8726000,643798,0,9369798,0,7348000,1779241,9127241,24009,3100,6007366,6034475,12904,0,0,12904,24544418,25569000,-1024582,-4.01,33203282
Other own revenue,,5979082,0,2431925,4469753,220183,121643,336042,677868,1513945,118375,15969,1648289,50239,45592,44714,140545,135532,-71401,0,64131,2530833,2431920,98913,4.07,4469753
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,273626110,0,634708765,476576097,222852595,35023156,58945385,316821136,30720336,42420954,32181806,105323096,963408,51842566,126451753,179257727,54801396,38024691,0,92826087,694228046,634708774,59519272,9.377414404547054,476576097
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,83936489,0,110755314,110918092,10448950,6443163,7737180,24629293,7253752,7204301,11393031,25851084,717556,7957439,18144958,26819953,9161116,9201124,0,18362240,95662570,110755315,-15092745,-13.63,110918092
Remuneration of councillors,,2637252,0,2890272,2890272,221339,221416,221377,664132,221377,221377,221377,664131,0,229494,229495,458989,290835,242033,0,532868,2320120,2890272,-570152,-19.73,2890272
Debt impairment,,9723814,0,6848594,6848594,1012917,0,2025834,3038751,1012917,1012917,1012917,3038751,1012917,2025834,2025834,5064585,2025834,2025834,0,4051668,15193755,6848592,8345163,121.85,6848594
Depreciation and asset impairment,,54720412,0,53820123,54838704,4569891,0,9139782,13709673,4569891,4569891,4569891,13709673,4569891,4569891,0,9139782,0,13709675,0,13709675,50268803,53820126,-3551323,-6.6,54838704
Finance charges,,3983550,0,3773618,3773618,17188,0,34377,51565,27368,1668382,17188,1712938,0,17188,0,17188,91,68753,0,68844,1850535,3773616,-1923081,-50.96,3773618
Bulk purchases,,82148872,0,111220611,111220611,12644406,10742658,6622352,30009416,7618533,7418620,0,15037153,7683413,7239478,5558790,20481681,12402238,990181,0,13392419,78920669,111220612,-32299943,-29.04,111220611
Other Materials,,0,0,0,0,2309174,1582088,1038801,4930063,1138071,1067645,567293,2773009,733631,1099441,252676,2085748,1609744,955673,0,2565417,12354237,,12354237,0,0
Contracted services,,4901459,0,6662327,6662326,391319,616229,758958,1766506,418761,938095,135500,1492356,162748,720345,285615,1168708,510257,298014,0,808271,5235841,6662328,-1426487,-21.41,6662326
Transfers and grants,,9379499,0,0,0,95861,157018,544743,797622,203573,231404,282620,717597,96603,1100510,240112,1437225,372455,203550,0,576005,3528449,,3528449,0,0
Other expenditure,,34396130,0,71323738,74115156,2901282,2759466,3319750,8980498,2897144,4188049,430251,7515444,1573983,2889699,657136,5120818,3544157,1703499,0,5247656,26864416,71323742,-44459326,-62.33,74115156
Loss on disposal of PPE,,525392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,286352869,0,367294597,371267373,34612327,22522038,31443154,88577519,25361387,28520681,18630068,72512136,16550742,27849319,27394616,71794677,29916727,29398336,0,59315063,292199395,367294603,-75095208,-20.445497262043897,371267373
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-12726759,0,267414168,105308724,188240268,12501118,27502231,228243617,5358949,13900273,13551738,32810960,-15587334,23993247,99057137,107463050,24884669,8626355,0,33511024,402028651,267414171,134614480,50.33932177064767,105308724
Transfers recognised - capital,,26390986,0,20438000,34006314,1978283,1937183,865622,4781088,4990383,0,4721016,9711399,950409,1708584,825620,3484613,-10064,-6257395,0,-6267459,11709641,20438004,-8728363,-42.71,34006314
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64499997,-64499997,-100,0
Contributed assets,,31189641,0,64500000,36406770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,36406770
Surplus/(Deficit) after capital transfers and contributions,,44853868,0,352352168,175721808,190218551,14438301,28367853,233024705,10349332,13900273,18272754,42522359,-14636925,25701831,99882757,110947663,24874605,2368960,0,27243565,413738292,352352172,61386120,17.421808315119453,175721808
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,44853868,0,352352168,175721808,190218551,14438301,28367853,233024705,10349332,13900273,18272754,42522359,-14636925,25701831,99882757,110947663,24874605,2368960,0,27243565,413738292,352352172,61386120,17.421808315119453,175721808
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,44853868,0,352352168,175721808,190218551,14438301,28367853,233024705,10349332,13900273,18272754,42522359,-14636925,25701831,99882757,110947663,24874605,2368960,0,27243565,413738292,352352172,61386120,17.421808315119453,175721808
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,44853868,0,352352168,175721808,190218551,14438301,28367853,233024705,10349332,13900273,18272754,42522359,-14636925,25701831,99882757,110947663,24874605,2368960,0,27243565,413738292,352352172,61386120,17.421808315119453,175721808
