North West: Moretele(NW371) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,19247483,0,21233000,31152000,2570638,2570638,2559916,7701192,2689892,2592410,2592410,7874712,2592602,-2592602,2592603,2592603,2696530,3428171,10933482,17058183,35226690,21233483,13993207,65.9,31152000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,15773948,0,18781000,18781000,1924081,1933543,1941274,5798898,1927283,1968593,1971197,5867073,2011510,-1939022,1963771,2036259,1973791,-1985840,2000519,1988470,15690700,18780792,-3090092,-16.45,18781000
Service charges - sanitation revenue,,0,0,0,0,0,1313956,1314376,2628332,0,0,0,0,0,0,0,0,0,0,0,0,2628332,,2628332,0,0
Service charges - refuse revenue,,9187679,0,10287000,10287000,1313564,0,0,1313564,1314572,1314768,1314768,3944108,1314768,-1315049,1314880,1314599,1315216,-1315468,1315748,1315496,7887767,10287204,-2399437,-23.32,10287000
Service charges - other,,0,0,0,0,106,106,0,212,471,186,0,657,0,0,46,46,0,0,325,325,1240,,1240,0,0
Rental of facilities and equipment,,70815,0,95000,95000,2996,6194,4769,13959,7728,6491,9263,23482,3552,-12500,5645,-3303,3579,10567,5548,19694,53832,95004,-41172,-43.34,95000
Interest earned - external investments,,2083313,0,3704000,3704000,10347,9719,18868,38934,53844,16196,26913,96953,10232277,9072389,563588,19868254,164470,1298994,1958348,3421812,23425953,3703536,19722417,532.53,3704000
Interest earned - outstanding debtors,,4547334,0,5038000,5038000,490397,504680,542956,1538033,581325,629343,844333,2055001,887904,-849954,882636,920586,916056,39,0,916095,5429715,5037600,392115,7.78,5038000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Licences and permits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,177267000,0,225060000,231916000,84548000,3434000,0,87982000,307018,56251000,0,56558018,13600000,-764000,59254000,72090000,309123,0,0,309123,216939141,225060050,-8120909,-3.61,231916000
Other own revenue,,1668967,0,12230000,686000,66638,116332,113618,296588,304315,48445,18266,371026,45934,-31218,129852,144568,56090,-1016359,1528255,567986,1380168,12230364,-10850196,-88.72,686000
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,229846539,0,296428000,301659000,90926767,9889168,6495777,107311712,7186448,62827432,6777150,76791030,30688547,1568044,66707021,98963612,7434855,420104,17742225,25597184,308663538,296428033,12235505,4.12764773836353,301659000
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
