North West: Madibeng(NW372) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,193598617,0,330083730,330083730,28014987,28241818,28217538,84474343,26389000,25614640,25938007,77941647,21022737,25860249,26023597,72906583,24275993,25527981,26883314,76687288,312009861,330083734,-18073873,-5.48,330083730
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,358589938,0,450000096,449999981,33009825,26832340,33713740,93555905,29972555,33136120,19291604,82400279,28731033,33908628,41178976,103818637,33960533,26556216,27392567,87909316,367684137,450000096,-82315959,-18.29,449999981
Service charges - water revenue,,97920876,0,100990070,100990070,-1526386,9295794,9436558,17205966,12023783,13395926,9560606,34980315,9588856,17121830,-3843295,22867391,8033643,9685111,10008078,27726832,102780504,100990068,1790436,1.77,100990070
Service charges - sanitation revenue,,30724153,0,24633034,24633034,-5690062,2722075,2658713,-309274,2847030,2740655,2297462,7885147,2315616,5573710,601790,8491116,4696886,2519983,-318575,6898294,22965283,24633036,-1667753,-6.77,24633034
Service charges - refuse revenue,,29556103,0,25944203,25944203,2207620,2151517,2151070,6510207,2151865,2150542,2145234,6447641,2141776,2134994,2137701,6414471,2140526,2128978,2092779,6362283,25734602,25944199,-209597,-0.81,25944203
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9662,36070,45732,45732,,45732,0,0
Rental of facilities and equipment,,582629,0,596277,596277,73415,51497,46790,171702,31303,19463,88773,139539,33611,51364,37465,122440,63917,69596,42537,176050,609731,596273,13458,2.26,596277
Interest earned - external investments,,3442116,0,3942603,3942603,146481,346564,320116,813161,55750,193958,462817,712525,240925,963477,778531,1982933,34292,1160479,-130740,1064031,4572650,3942607,630043,15.98,3942603
Interest earned - outstanding debtors,,44417978,0,50252601,50252601,4282942,4327983,2919847,11530772,6144671,3394741,3648503,13187915,6398629,6538519,6761042,19698190,6564367,6949421,6836859,20350647,64767524,50252605,14514919,28.88,50252601
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,2469180,0,1093599,1093599,33795,46997,112258,193050,80658,47280,38748,166686,74,35103,48396,83573,339630,84309,86881,510820,954129,1093596,-139467,-12.75,1093599
Licences and permits,,4554531,0,1795951,1795951,0,339556,0,339556,0,3656956,114659,3771615,150236,360293,195387,705916,237914,209694,207490,655098,5472185,1795956,3676229,204.69,1795951
Agency services,,8963833,0,2244610,2244610,0,187181,0,187181,106321,-1679,0,104642,0,1104162,0,1104162,616268,0,481305,1097573,2493558,2244612,248946,11.09,2244610
Transfers recognised - operational,,324328950,0,375958000,375958000,0,0,0,0,141961228,0,104993000,246954228,0,0,0,0,3402772,80000000,0,83402772,330357000,375958000,-45601000,-12.13,375958000
Other own revenue,,9995787,0,26477234,26477234,1286896,1759175,407204,3453275,1892692,2506777,7329,4406798,1155899,740592,1270341,3166832,520766,1790594,3175542,5486902,16513807,26477238,-9963431,-37.63,26477234
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,1109144691,0,1394012008,1394011893,61839513,76302497,79983834,218125844,223656856,86855379,168586742,479098977,71779392,94392921,75189931,241362244,84887507,156692024,76794107,318373638,1256960703,1394012020,-137051317,-9.831430076191165,1394011893
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,292527381,0,308100489,308100489,25816336,25429252,25521993,76767581,26393981,26419685,31182566,83996232,26750063,26125966,25841283,78717312,25169363,25420633,27176714,77766710,317247835,308100486,9147349,2.97,308100489
Remuneration of councillors,,23887187,0,25799620,25799620,1697817,1751290,1754201,5203308,1811079,1780906,1779841,5371826,1779841,1780808,0,3560649,1781763,4614764,1875265,8271792,22407575,25799616,-3392041,-13.15,25799620
Debt impairment,,96083332,0,232912783,232912783,0,0,28286418,28286418,0,0,8255,8255,33838584,0,0,33838584,0,0,30515912,30515912,92649169,232912780,-140263611,-60.22,232912783
Depreciation and asset impairment,,397551760,0,78340000,78340000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78340004,-78340004,-100,78340000
Finance charges,,88809751,0,10000000,0,0,0,21729516,21729516,7321902,0,14407614,21729516,7321902,6613331,7321902,21257135,0,7085712,0,7085712,71801879,9999996,61801883,618.02,0
Bulk purchases,,424503215,0,449200000,463000000,56300620,66259758,30402911,152963289,46372371,44119967,47923874,138416212,22327436,45840192,28461584,96629212,14835184,84747270,-10008228,89574226,477582939,449199996,28382943,6.32,463000000
Other Materials,,58467953,0,47825000,48562000,2311245,3545296,4557179,10413720,2868821,4986097,5873862,13728780,1786711,5443606,1559674,8789991,3488054,2153334,6672954,12314342,45246833,47825003,-2578170,-5.39,48562000
Contracted services,,135786924,0,106200000,87478390,2430037,7570688,10734859,20735584,9872758,6825644,8134116,24832518,5500943,9666885,4184838,19352666,7678480,13779416,17418498,38876394,103797162,106200000,-2402838,-2.26,87478390
Transfers and grants,,5392418,0,15000000,15000000,-3836,4725,1278689,1279578,137307,906040,5057305,6100652,155564,1081326,1583022,2819912,248633,498268,2130400,2877301,13077443,15000000,-1922557,-12.82,15000000
Other expenditure,,134605374,0,120554003,124233613,9226731,6911620,10069958,26208309,29038159,15375188,15013533,59426880,7996044,8438737,8138087,24572868,5422296,9005352,15693615,30121263,140329320,120554004,19775316,16.4,124233613
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,1657615295,0,1393931895,1383426895,97778950,111472629,134335724,343587303,123816378,100413527,129380966,353610871,107457088,104990851,77090390,289538329,58623773,147304749,91475130,297403652,1284140155,1393931885,-109791730,-7.876405668129186,1383426895
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-548470604,0,80113,10584998,-35939437,-35170132,-54351890,-125461459,99840478,-13558148,39205776,125488106,-35677696,-10597930,-1900459,-48176085,26263734,9387275,-14681023,20969986,-27179452,80135,-27259587,-34017.07992762214,10584998
Transfers recognised - capital,,225943015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,-322527589,0,80113,10584998,-35939437,-35170132,-54351890,-125461459,99840478,-13558148,39205776,125488106,-35677696,-10597930,-1900459,-48176085,26263734,9387275,-14681023,20969986,-27179452,80135,-27259587,-34017.07992762214,10584998
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,-322527589,0,80113,10584998,-35939437,-35170132,-54351890,-125461459,99840478,-13558148,39205776,125488106,-35677696,-10597930,-1900459,-48176085,26263734,9387275,-14681023,20969986,-27179452,80135,-27259587,-34017.07992762214,10584998
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,-322527589,0,80113,10584998,-35939437,-35170132,-54351890,-125461459,99840478,-13558148,39205776,125488106,-35677696,-10597930,-1900459,-48176085,26263734,9387275,-14681023,20969986,-27179452,80135,-27259587,-34017.07992762214,10584998
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,-322527589,0,80113,10584998,-35939437,-35170132,-54351890,-125461459,99840478,-13558148,39205776,125488106,-35677696,-10597930,-1900459,-48176085,26263734,9387275,-14681023,20969986,-27179452,80135,-27259587,-34017.07992762214,10584998
