North West: Rustenburg(NW373) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,176950820,0,256483914,256483914,30305713,30445985,30404768,91156466,-5830712,24790864,22143481,41103633,22043086,21417141,22206243,65666470,21836483,21975125,20715854,64527462,262454031,256483914,5970117,2.33,256483914
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,1427820947,0,1889181183,1889181183,153589015,152993553,68616025,375198593,173383468,117736073,118312174,409431715,125293379,116839040,129343828,371476247,111899627,107491671,239361035,458752333,1614858888,1889181183,-274322295,-14.52,1889181183
Service charges - water revenue,,317563646,0,512998807,512998807,25393096,28684422,23534062,77611580,21893098,27861536,23517222,73271856,49194710,30112305,17751128,97058143,26409837,28676254,37672232,92758323,340699902,512998807,-172298905,-33.59,512998807
Service charges - sanitation revenue,,71076802,0,176045943,176045943,6109910,6421164,6404144,18935218,8191100,6384586,4671771,19247457,6447702,6496030,6518845,19462577,6526810,6544219,6554432,19625461,77270713,176045943,-98775230,-56.11,176045943
Service charges - refuse revenue,,82526746,0,88273280,88273280,7188535,7237989,7976668,22403192,9343724,7605796,5960887,22910407,7242273,7234298,7957317,22433888,7736733,7527279,9065321,24329333,92076820,88273280,3803540,4.31,88273280
Service charges - other,,0,0,478470,478470,7584,11807,4053,23444,184,2395,3277,5856,9688,7263,6736,23687,5935,6673,7014,19622,72609,478470,-405861,-84.82,478470
Rental of facilities and equipment,,6440323,0,15105689,15105689,706075,647578,630204,1983857,652744,624720,262103,1539567,574952,648164,679956,1903072,726918,651904,799335,2178157,7604653,15105689,-7501036,-49.66,15105689
Interest earned - external investments,,34353946,0,30657317,30657317,1918483,5549391,1844973,9312847,4070980,5834316,10600067,20505363,-20510077,1091975,5561284,-13856818,2174323,3126592,10484618,15785533,31746925,30657317,1089608,3.55,30657317
Interest earned - outstanding debtors,,112994345,0,126770539,126770539,9700393,10004114,11102716,30807223,10241569,10328982,11795455,32366006,11847396,12264095,11317185,35428676,12963847,9747801,10198121,32909769,131511674,126770539,4741135,3.74,126770539
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,37793658,0,13381998,13381998,1024417,898130,961699,2884246,967294,587306,561030,2115630,1051458,593869,1033293,2678620,43840,1562294,1722908,3329042,11007538,13381998,-2374460,-17.74,13381998
Licences and permits,,9812782,0,12932992,12932992,128854,1042372,842052,2013278,1173481,797773,534402,2505656,786481,950050,1086846,2823377,5290,848114,2252998,3106402,10448713,12932992,-2484279,-19.21,12932992
Agency services,,16568027,0,21094781,21094781,2442640,1159449,-1373124,2228965,7127705,-906979,-454945,5765781,796774,-1593957,2992595,2195412,-5752888,2357907,9424534,6029553,16219711,21094781,-4875070,-23.11,21094781
Transfers recognised - operational,,415553022,0,389946839,389946839,0,137539000,877,137539877,21485364,93438189,14293881,129217434,0,-1161333,95142527,93981194,1352362,2482928,28559182,32394472,393132977,389946839,3186138,0.82,389946839
Other own revenue,,89547644,0,36360227,36360227,3575059,1684770,1468702,6728531,1461601,1874551,983692,4319844,2023916,2055897,1740749,5820562,1506853,1951949,5881642,9340444,26209381,36360227,-10150846,-27.92,36360227
Gains on disposal of PPE,,10459667,0,30000000,30000000,0,87719,0,87719,0,0,0,0,0,0,0,0,0,-87719,1089110,1001391,1089110,30000000,-28910890,-96.37,30000000
Total Revenue (excl. capital transfers and contributions),,2809462375,0,3599711979,3599711979,242089774,384407443,152417819,778915036,254161600,296960108,213184497,764306205,206801738,196954837,303338532,707095107,187435970,194862991,383788336,766087297,3016403645,3599711979,-583308334,-16.204305716760235,3599711979
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,516860752,0,481335880,481335880,43396429,44135406,44179390,131711225,42120009,41653593,41851788,125625390,43912281,42365694,42953782,129231757,43066663,42924206,46214122,132204991,518773363,481335880,37437483,7.78,481335880
Remuneration of councillors,,27238004,0,28766009,28766009,2092736,2088411,2190319,6371466,2154891,2141751,2598113,6894755,2155456,2157456,4309060,8621972,3311771,2273091,2273091,7857953,29746146,28766009,980137,3.41,28766009
Debt impairment,,460260068,0,338000000,338000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338000000,-338000000,-100,338000000
Depreciation and asset impairment,,371499590,0,429945146,429945146,22221045,22221043,21776621,66218709,21341090,20914267,20417754,62673111,20086062,19684342,19290654,59061058,18904842,18526743,14821399,52252984,240205862,429945146,-189739284,-44.13,429945146
Finance charges,,42205566,0,80675175,80675175,0,0,0,0,0,0,15350969,15350969,0,5065497,1,5065498,0,-2123668,24793601,22669933,43086400,80675175,-37588775,-46.59,80675175
Bulk purchases,,1374105715,0,1596599224,1596599224,208299682,120931844,150184127,479415653,79738560,120651495,111442246,311832301,123149675,83227836,149341789,355719300,233018721,-19125905,154771526,368664342,1515631596,1596599224,-80967628,-5.07,1596599224
Other Materials,,169515228,0,136647601,136647601,2626500,10818593,11037792,24482885,13331226,12949871,11123627,37404724,7602872,8171308,9743513,25517693,5361353,2930046,11252390,19543789,106949091,136647601,-29698510,-21.73,136647601
Contracted services,,269715528,0,209551269,209551269,2736262,15691215,13247639,31675116,22413219,16296983,26189373,64899575,14112809,8826004,20038729,42977542,10098215,14889504,54808343,79796062,219348295,209551269,9797026,4.68,209551269
Transfers and grants,,499194,0,57163011,57163011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57163011,-57163011,-100,57163011
Other expenditure,,315113193,0,202640264,202640264,21825515,27294399,14126148,63246062,24784060,16006784,12894583,53685427,19366062,11797061,23574486,54737609,12974235,10281200,36462151,59717586,231386684,202640264,28746420,14.19,202640264
Loss on disposal of PPE,,524804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,3547537642,0,3561323579,3561323579,303198169,243180911,256742036,803121116,205883055,230614744,241868453,678366252,230385217,181295198,269252014,680932429,326735800,70575217,345396623,742707640,2905127437,3561323579,-656196142,-18.425625401448535,3561323579
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-738075267,0,38388400,38388400,-61108395,141226532,-104324217,-24206080,48278545,66345364,-28683956,85939953,-23583479,15659639,34086518,26162678,-139299830,124287774,38391713,23379657,111276208,38388400,72887808,189.86935636806953,38388400
Transfers recognised - capital,,700747283,0,686273161,686273161,0,0,0,0,0,0,877,877,0,0,0,0,0,0,0,0,877,686273161,-686272284,-100,686273161
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,294543,294543,0,0,0,0,0,0,0,0,0,0,0,0,294543,,294543,0,0
Surplus/(Deficit) after capital transfers and contributions,,-37327984,0,724661561,724661561,-61108395,141226532,-104029674,-23911537,48278545,66345364,-28683079,85940830,-23583479,15659639,34086518,26162678,-139299830,124287774,38391713,23379657,111571628,724661561,-613089933,-84.60362271098853,724661561
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,-37327984,0,724661561,724661561,-61108395,141226532,-104029674,-23911537,48278545,66345364,-28683079,85940830,-23583479,15659639,34086518,26162678,-139299830,124287774,38391713,23379657,111571628,724661561,-613089933,-84.60362271098853,724661561
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,-37327984,0,724661561,724661561,-61108395,141226532,-104029674,-23911537,48278545,66345364,-28683079,85940830,-23583479,15659639,34086518,26162678,-139299830,124287774,38391713,23379657,111571628,724661561,-613089933,-84.60362271098853,724661561
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,-37327984,0,724661561,724661561,-61108395,141226532,-104029674,-23911537,48278545,66345364,-28683079,85940830,-23583479,15659639,34086518,26162678,-139299830,124287774,38391713,23379657,111571628,724661561,-613089933,-84.60362271098853,724661561
