North West: Kgetlengrivier(NW374) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,4831384,0,5130000,5130000,597610,604049,636369,1838028,637069,637838,639108,1914015,640105,640294,639451,1919850,639768,640038,640038,1919844,7591737,5130002,2461735,47.99,5130000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,25989356,0,32781000,32781000,2743028,3417397,2563901,8724326,2919848,1022797,2076244,6018889,3713745,485879,2187018,6386642,4483413,-298506,2286008,6470915,27600772,32781000,-5180228,-15.8,32781000
Service charges - water revenue,,5982587,0,8037000,8037000,-91418,474090,777430,1160102,477548,696930,480681,1655159,764538,456803,729651,1950992,337960,609509,649162,1596631,6362884,8037004,-1674120,-20.83,8037000
Service charges - sanitation revenue,,3000669,0,3626000,3626000,266675,267956,272917,807548,269599,259342,268927,797868,267865,260888,268886,797639,268548,269015,264805,802368,3205423,3626000,-420577,-11.6,3626000
Service charges - refuse revenue,,1600927,0,1811925,1811925,142378,143626,143074,429078,142494,142712,142998,428204,142543,142614,143130,428287,140543,142916,142348,425807,1711376,1811001,-99625,-5.5,1811925
Service charges - other,,0,0,377000,377000,2911,5467,3934,12312,2525,3157,2213,7895,1547,3719,1699,6965,4108,1699,3582,9389,36561,377100,-340539,-90.3,377000
Rental of facilities and equipment,,61769,0,39000,39000,212,0,1122,1334,2243,224,0,2467,449,0,1164,1613,897,897,1736,3530,8944,38808,-29864,-76.95,39000
Interest earned - external investments,,453120,0,1873428,1873428,1134,2408,10612,14154,1511,1122,2204,4837,6336,2796,1362,10494,4840,9665,5973,20478,49963,1873428,-1823465,-97.33,1873428
Interest earned - outstanding debtors,,6508097,0,4683571,4683571,689479,712977,724257,2126713,728453,747078,764852,2240383,780274,646013,786379,2212666,800959,820985,821590,2443534,9023296,4683571,4339725,92.66,4683571
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,445840,0,3880673,3880673,479780,57130,99700,636610,41050,10500,8000,59550,21420,8450,8530,38400,7100,1150,1700,9950,744510,3880673,-3136163,-80.81,3880673
Licences and permits,,3926376,0,3569641,3569641,0,158798,679338,838136,468232,0,195657,663889,5833,899313,396734,1301880,73459,768607,528781,1370847,4174752,3569641,605111,16.95,3569641
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,71664010,0,62974750,62974750,19654000,3714219,0,23368219,0,18721727,0,18721727,0,1877959,4926154,6804113,0,0,610980,610980,49505039,62974750,-13469711,-21.39,62974750
Other own revenue,,2976527,0,4640161,4640161,55986,18611,2731138,2805735,154037,1003492,1966568,3124097,4519327,1279259,136395,5934981,11387823,2645697,3601292,17634812,29499625,4641144,24858481,535.61,4640161
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,127440662,0,133424149,133424149,24541775,9576728,8643792,42762295,5844609,23246919,6547452,35638980,10863982,6703987,10226553,27794522,18149418,5611672,9557995,33319085,139514882,133424122,6090760,4.564961649138677,133424149
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,38896544,0,37395965,37395965,3129921,3575194,3169712,9874827,3487530,3428639,3602861,10519030,3182679,3838225,3495981,10516885,3385081,3279500,3300603,9965184,40875926,37395964,3479962,9.31,37395965
Remuneration of councillors,,4161190,0,5306274,5306274,529068,258929,259769,1047766,258932,267343,258932,785207,259260,259544,259260,778064,259260,259260,877625,1396145,4007182,5306280,-1299098,-24.48,5306274
Debt impairment,,13091720,0,3952029,3952029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3952032,-3952032,-100,3952029
Depreciation and asset impairment,,16041377,0,1723710,1723710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1723384,-1723384,-100,1723710
Finance charges,,2265414,0,512385,512385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512388,-512388,-100,512385
Bulk purchases,,22564124,0,24535740,24535740,8000000,0,455325,8455325,1886929,0,1750276,3637205,5000000,0,0,5000000,0,0,0,0,17092530,24535740,-7443210,-30.34,24535740
Other Materials,,0,0,47857,47857,0,0,0,0,0,0,0,0,0,0,0,0,0,1671043,0,1671043,1671043,47857,1623186,3391.74,47857
Contracted services,,0,0,4576962,4576962,1121918,0,60797,1182715,38421,41316,32729,112466,248734,0,578959,827693,0,44342,74146,118488,2241362,4576968,-2335606,-51.03,4576962
Transfers and grants,,0,0,0,0,0,0,45765,45765,46418,0,90754,137172,0,0,0,0,0,0,46296,46296,229233,,229233,0,0
Other expenditure,,70335056,0,43149430,43149430,3958676,3768447,3146678,10873801,2631432,7143974,2330788,12106194,2824204,4118516,7749428,14692148,1964244,3246791,6606365,11817400,49489543,43149876,6339667,14.69,43149430
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75772,0,75772,75772,,75772,0,0
Total Expenditure,,167355425,0,121200352,121200352,16739583,7602570,7138046,31480199,8349662,10881272,8066340,27297274,11514877,8216285,12083628,31814790,5608585,8576708,10905035,25090328,115682591,121200489,-5517898,-4.55270275353427,121200352
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-39914763,0,12223797,12223797,7802192,1974158,1505746,11282096,-2505053,12365647,-1518888,8341706,-650895,-1512298,-1857075,-4020268,12540833,-2965036,-1347040,8228757,23832291,12223633,11608658,94.96896708204508,12223797
Transfers recognised - capital,,22657614,0,0,0,700000,0,0,700000,0,0,0,0,0,0,17040000,17040000,0,0,0,0,17740000,,17740000,0,0
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,-17257149,0,12223797,12223797,8502192,1974158,1505746,11982096,-2505053,12365647,-1518888,8341706,-650895,-1512298,15182925,13019732,12540833,-2965036,-1347040,8228757,41572291,12223633,29348658,240.09766981714847,12223797
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,-17257149,0,12223797,12223797,8502192,1974158,1505746,11982096,-2505053,12365647,-1518888,8341706,-650895,-1512298,15182925,13019732,12540833,-2965036,-1347040,8228757,41572291,12223633,29348658,240.09766981714847,12223797
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,-17257149,0,12223797,12223797,8502192,1974158,1505746,11982096,-2505053,12365647,-1518888,8341706,-650895,-1512298,15182925,13019732,12540833,-2965036,-1347040,8228757,41572291,12223633,29348658,240.09766981714847,12223797
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,-17257149,0,12223797,12223797,8502192,1974158,1505746,11982096,-2505053,12365647,-1518888,8341706,-650895,-1512298,15182925,13019732,12540833,-2965036,-1347040,8228757,41572291,12223633,29348658,240.09766981714847,12223797
