North West: Moses Kotane(NW375) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,0,0,45723106,66373946,3299978,3345395,3345976,9991349,3337541,3411989,3371094,10120624,3378164,3372871,3432129,10183164,3379192,3379192,29392274,36150658,66445795,45723106,20722689,45.32,66373946
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,108885180,98385180,4933943,7170755,6550053,18654751,7821017,7133869,6205837,21160723,7932831,4651609,5257363,17841803,6297291,7679455,9622743,23599489,81256766,108885000,-27628234,-25.37,98385180
Service charges - sanitation revenue,,0,0,3059694,2879694,225426,283973,232493,741892,287897,274871,208216,770984,290703,233174,244111,767988,136198,232674,204982,573854,2854718,3059694,-204976,-6.7,2879694
Service charges - refuse revenue,,0,0,21711557,21811557,494757,501599,501623,1497979,501782,501819,501819,1505420,501819,501819,501844,1505482,501844,501844,464074,1467762,5976643,21712000,-15735357,-72.47,21811557
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,0,0,0,0,0,0,0,0,0,0,0,0,0,658,0,658,0,0,641,641,1299,,1299,0,0
Interest earned - external investments,,0,0,9300000,9500000,730456,961253,932413,2624122,735320,615433,726978,2077731,822062,724847,490545,2037454,730064,762335,610897,2103296,8842603,9300000,-457397,-4.92,9500000
Interest earned - outstanding debtors,,0,0,16500000,22500000,1706491,1766015,1866030,5338536,1898020,1993855,2046333,5938208,2123289,62710,2238450,4424449,2224957,2328165,2616286,7169408,22870601,16500000,6370601,38.61,22500000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,0,0,3500000,3500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500000,-3500000,-100,3500000
Licences and permits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,0,0,291260848,291260848,109136000,0,0,109136000,0,68646000,26678605,95324605,0,553000,74673000,75226000,0,0,0,0,279686605,291260000,-11573395,-3.97,291260848
Other own revenue,,0,0,2364600,1656775,225091,72222,25278,322591,117135,122395,28817,268347,270372,76136,89478,435986,75395,76899,67311,219605,1246529,2364000,-1117471,-47.27,1656775
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,0,0,502304985,517868000,120752142,14101212,13453866,148307220,14698712,82700231,39767699,137166642,15319240,10176824,86926920,112422984,13344941,14960564,42979208,71284713,469181559,502303800,-33122241,-6.594065384335138,517868000
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,0,0,152935091,132577000,10166863,10005405,10178014,30350282,10015430,10182332,11694495,31892257,10085219,11493352,10110149,31688720,12951501,11262623,12064556,36278680,130209939,152935292,-22725353,-14.86,132577000
Remuneration of councillors,,0,0,19515206,19005000,1475469,1487750,1499217,4462436,1500588,1500588,1500588,4501764,1564176,1519252,1518866,4602294,2358088,1603280,1603580,5564948,19131442,19515206,-383764,-1.97,19005000
Debt impairment,,0,0,51517570,51720570,4293131,4293131,4293131,12879393,4336881,4293131,4293131,12923143,2507136,4293131,4293131,11093398,0,4293131,2016131,6309262,43205196,51518000,-8312804,-16.14,51720570
Depreciation and asset impairment,,0,0,95467528,95467529,7955628,7955628,7955628,23866884,7955628,7955628,7955628,23866884,7955626,7955628,7955628,23866882,7955628,7955628,7955628,23866884,95467534,95468000,-466,0,95467529
Finance charges,,0,0,9997842,8997842,0,0,178051,178051,0,0,3331977,3331977,0,0,0,0,0,0,4859773,4859773,8369801,9997842,-1628041,-16.28,8997842
Bulk purchases,,0,0,43500000,52500000,0,3138962,4343274,7482236,5865045,3970759,4192617,14028421,5444041,0,8231690,13675731,0,9135773,4473118,13608891,48795279,43500000,5295279,12.17,52500000
Other Materials,,0,0,33147800,38105800,226299,1531956,3168855,4927110,4090134,3609586,2538284,10238004,1755433,6215468,197625,8168526,3648061,1389684,5324915,10362660,33696300,33148000,548300,1.65,38105800
Contracted services,,0,0,29000000,24949000,0,1877318,1844237,3721555,3736631,66164,3134212,6937007,1578250,2416442,1978544,5973236,2289921,2498402,2912917,7701240,24333038,29000000,-4666962,-16.09,24949000
Transfers and grants,,0,0,38926000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38925700,-38925700,-100,0
Other expenditure,,0,0,107538703,174100000,5856229,11951441,12276330,30084000,6879769,7162741,12568635,26611145,4866359,6444615,4955830,16266804,13847677,5897482,25950706,45695865,118657814,107537359,11120455,10.34,174100000
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,0,0,581545740,597422741,29973619,42241591,45736737,117951947,44380106,38740929,51209567,134330602,35756240,40337888,39241463,115335591,43050876,44036003,67161324,154248203,521866343,581545399,-59679056,-10.26214911211085,597422741
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,0,0,-79240755,-79554741,90778523,-28140379,-32282871,30355273,-29681394,43959302,-11441868,2836040,-20437000,-30161064,47685457,-2912607,-29705935,-29075439,-24182116,-82963490,-52684784,-79241599,26556815,-33.51372932290273,-79554741
Transfers recognised - capital,,0,0,131568861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131569000,-131569000,-100,0
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,-131568861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-131569000,131569000,-100,0
Surplus/(Deficit) after capital transfers and contributions,,0,0,-79240755,-79554741,90778523,-28140379,-32282871,30355273,-29681394,43959302,-11441868,2836040,-20437000,-30161064,47685457,-2912607,-29705935,-29075439,-24182116,-82963490,-52684784,-79241599,26556815,-33.51372932290273,-79554741
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,0,0,-79240755,-79554741,90778523,-28140379,-32282871,30355273,-29681394,43959302,-11441868,2836040,-20437000,-30161064,47685457,-2912607,-29705935,-29075439,-24182116,-82963490,-52684784,-79241599,26556815,-33.51372932290273,-79554741
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,0,0,-79240755,-79554741,90778523,-28140379,-32282871,30355273,-29681394,43959302,-11441868,2836040,-20437000,-30161064,47685457,-2912607,-29705935,-29075439,-24182116,-82963490,-52684784,-79241599,26556815,-33.51372932290273,-79554741
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,0,0,-79240755,-79554741,90778523,-28140379,-32282871,30355273,-29681394,43959302,-11441868,2836040,-20437000,-30161064,47685457,-2912607,-29705935,-29075439,-24182116,-82963490,-52684784,-79241599,26556815,-33.51372932290273,-79554741
