North West: Tswaing(NW382) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,12160200,0,10840720,10840720,1003318,1057099,1057099,3117516,0,2155256,0,2155256,1066731,1259943,726915,3053589,1278865,1278865,0,2557730,10884091,10840720,43371,0.4,10840720
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,29522410,0,36623607,36623607,2117842,2117842,1677039,5912723,0,3713478,0,3713478,1675164,2748607,1612635,6036406,1862045,1517988,0,3380033,19042640,36623607,-17580967,-48,36623607
Service charges - water revenue,,5220547,0,6722831,6722831,399553,507401,401142,1308096,0,1533023,0,1533023,435046,488340,440389,1363775,452798,519490,0,972288,5177182,6722831,-1545649,-22.99,6722831
Service charges - sanitation revenue,,3900802,0,5410490,5410490,395529,617834,617855,1631218,0,1235556,0,1235556,617695,0,617994,1235689,617966,617857,0,1235823,5338286,5410490,-72204,-1.33,5410490
Service charges - refuse revenue,,9155636,0,6912822,6912822,758230,758230,648340,2164800,0,1300024,0,1300024,650679,651130,644269,1946078,651863,651863,0,1303726,6714628,6912822,-198194,-2.87,6912822
Service charges - other,,0,0,0,0,16288,16288,7906,40482,0,3592,0,3592,20395,13967,10448,44810,1811,1811,0,3622,92506,,92506,0,0
Rental of facilities and equipment,,614707,0,577670,577670,0,69197,26024,95221,0,36824,0,36824,125402,125402,42202,293006,24188,23701,0,47889,472940,577670,-104730,-18.13,577670
Interest earned - external investments,,142520,0,26597,26597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26597,-26597,-100,26597
Interest earned - outstanding debtors,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,0,0,1001603,1001603,3040,275,366,3681,0,256,0,256,2350,1861,1514,5725,1014,1044,0,2058,11720,1001603,-989883,-98.83,1001603
Licences and permits,,2249707,0,1968912,1968912,202700,0,0,202700,0,31494,0,31494,0,0,0,0,0,153471,0,153471,387665,1968911,-1581246,-80.31,1968912
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159792,159792,42877,39374,0,82251,242043,,242043,0,0
Transfers recognised - operational,,72996751,0,78046000,78046000,31178000,934000,232200,32344200,0,0,0,0,7001000,0,0,7001000,0,12352000,0,12352000,51697200,78046000,-26348800,-33.76,78046000
Other own revenue,,4594692,0,5133366,5133366,115932,98851,54663,269446,0,56510,0,56510,43770,83291,228357,355418,4988558,1430537,0,6419095,7100469,5133365,1967104,38.32,5133366
Gains on disposal of PPE,,0,0,62115,62115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62115,-62115,-100,62115
Total Revenue (excl. capital transfers and contributions),,140557972,0,153326733,153326733,36190432,6177017,4722634,47090083,0,10066013,0,10066013,11638232,5372541,4484515,21495288,9921985,18588001,0,28509986,107161370,153326731,-46165361,-30.10914059075583,153326733
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,65170651,0,68268626,68268626,5790707,6094503,5352941,17238151,0,5175770,0,5175770,5528067,5356620,5103671,15988358,5158605,5033924,0,10192529,48594808,68268626,-19673818,-28.82,68268626
Remuneration of councillors,,8975423,0,8921624,8921624,0,0,686378,686378,0,736838,0,736838,699033,709016,714362,2122411,709362,705793,0,1415155,4960782,8921624,-3960842,-44.4,8921624
Debt impairment,,62792853,0,5860987,5860987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5860987,-5860987,-100,5860987
Depreciation and asset impairment,,19799568,0,993841,993841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,993841,-993841,-100,993841
Finance charges,,762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Bulk purchases,,27032074,0,31661785,31661785,52713,5790806,4307892,10151411,0,203304,0,203304,558163,3486307,4241208,8285678,4171976,1086485,0,5258461,23898854,31661785,-7762931,-24.52,31661785
