North West: Mafikeng(NW383) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,113023922,0,148359809,127466000,12294486,11862713,12109860,36267059,12405088,12427590,12531394,37364072,10948685,12339223,10283412,33571320,12024437,11447979,11485731,34958147,142160598,148359805,-6199207,-4.18,127466000
Property rates - penalties and collection charges,,14441632,0,14596359,13290000,1508756,1630460,1828302,4967518,1677311,1881735,0,3559046,2020801,1943919,1970239,5934959,1970239,2002795,1923330,5896364,20357887,14596359,5761528,39.47,13290000
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,62763816,0,115452000,71525000,5506286,5320197,6297057,17123540,6424333,6104370,6253481,18782184,5129887,6749118,6396066,18275071,7875486,6738396,11286059,25899941,80080736,115452000,-35371264,-30.64,71525000
Service charges - sanitation revenue,,23381573,0,25433900,25434000,2086980,2069785,2051861,6208626,2062814,1999205,2017640,6079659,1969397,2004601,1978512,5952510,1982062,2012401,1993993,5988456,24229251,25433904,-1204653,-4.74,25434000
Service charges - refuse revenue,,24969074,0,22431480,22431000,2563610,2569935,2382473,7516018,2529718,2475982,2434142,7439842,2262285,2398645,2398742,7059672,2392872,2414836,2412880,7220588,29236120,22431484,6804636,30.34,22431000
Service charges - other,,0,0,12533229,3569000,89328,84263,101263,274854,94755,0,0,94755,0,0,0,0,0,0,0,0,369609,12533208,-12163599,-97.05,3569000
Rental of facilities and equipment,,976119,0,3738675,1513000,47886,149760,94468,292114,207959,42186,36070,286215,46608,98751,140422,285781,97029,52625,45466,195120,1059230,3738996,-2679766,-71.67,1513000
Interest earned - external investments,,2633022,0,2000000,2000000,252352,0,0,252352,0,90236,0,90236,122091,0,129634,251725,123989,104442,79234,307665,901978,2000004,-1098026,-54.9,2000000
Interest earned - outstanding debtors,,35649216,0,15756794,28087000,1673904,1633385,1642427,4949716,1616537,1869916,3725630,7212083,1425639,1763292,1115879,4304810,1684288,1425882,1689453,4799623,21266232,15756794,5509438,34.97,28087000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,14286566,0,3421000,599000,52078,29432,41889,123399,26030,37220,44850,108100,33969,39028,88612,161609,57163,49193,68123,174479,567587,3420996,-2853409,-83.41,599000
Licences and permits,,5204127,0,3336535,2877000,385758,140512,346095,872365,396774,229938,105594,732306,182520,345980,267720,796220,38976,68280,114456,221712,2622603,3336532,-713929,-21.4,2877000
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,156282636,0,153128000,153128000,55114000,1850000,0,56964000,0,0,0,0,0,602632,0,602632,0,3687000,44264000,47951000,105517632,153127999,-47610367,-31.09,153128000
Other own revenue,,11893660,0,3092100,1833000,539484,78750,94215,712449,113791,291293,174812,579896,341220,415565,356533,1113318,411761,244671,435259,1091691,3497354,3092892,404462,13.08,1833000
Gains on disposal of PPE,,0,0,550000,2500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549996,-549996,-100,2500000
Total Revenue (excl. capital transfers and contributions),,465505363,0,523829881,456252000,82114908,27419192,26989910,136524010,27555110,27449671,27323613,82328394,24483102,28700754,25125771,78309627,28658302,30248500,75797984,134704786,431866817,523830969,-91964152,-17.556073894516153,456252000
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,191142863,0,200656762,194366245,15146148,14124331,15823057,45093536,14316325,22931401,15052645,52300371,15838017,15793704,18490549,50122270,15893813,15722942,15785448,47402203,194918380,200656762,-5738382,-2.86,194366245
Remuneration of councillors,,19249186,0,21018000,21018236,1647182,1595047,1586255,4828484,1559830,1701715,1564612,4826157,1739717,1671567,1624171,5035455,2815484,1897896,1898872,6612252,21302348,21017996,284352,1.35,21018236
Debt impairment,,139375927,0,50932000,70033456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50932004,-50932004,-100,70033456
Depreciation and asset impairment,,56489077,0,29657408,29657000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29657403,-29657403,-100,29657000
Finance charges,,9816547,0,3745000,3745000,1438653,0,56386,1495039,0,0,0,0,0,1312711,0,1312711,84343,74690,125305,284338,3092088,3744996,-652908,-17.43,3745000
Bulk purchases,,53278801,0,78000000,78000000,120938,0,28720,149658,26880,0,29700,56580,54873,0,2631579,2686452,3145589,0,4385965,7531554,10424244,78000000,-67575756,-86.64,78000000
Other Materials,,23136356,0,8346226,9967256,3288743,1772118,5412020,10472881,2187426,2316474,1749711,6253611,1412350,1694939,4525607,7632896,568411,1620463,1365131,3554005,27913393,8346230,19567163,234.44,9967256
Contracted services,,17253838,0,16019566,23547007,5869898,1209292,1686144,8765334,2248397,788214,924727,3961338,1701357,1408611,1449427,4559395,52000,74773,4001988,4128761,21414828,16019566,5395262,33.68,23547007
Transfers and grants,,0,0,30383000,30792000,0,0,0,0,0,152650,78904,231554,191689,4144571,795145,5131405,3127571,1587441,1821230,6536242,11899201,30383000,-18483799,-60.84,30792000
Other expenditure,,102767876,0,76871735,86743401,7244419,4882233,6790878,18917530,5356000,3887027,2349017,11592044,6542884,4327171,6108325,16978380,2114997,1902790,2059389,6077176,53565130,76872480,-23307350,-30.32,86743401
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,612510471,0,515629697,547869601,34755981,23583021,31383460,89722462,25694858,31777481,21749316,79221655,27480887,30353274,35624803,93458964,27802208,22880995,31443328,82126531,344529612,515630437,-171100825,-33.1828404070724,547869601
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-147005108,0,8200184,-91617601,47358927,3836171,-4393550,46801548,1860252,-4327810,5574297,3106739,-2997785,-1652520,-10499032,-15149337,856094,7367505,44354656,52578255,87337205,8200532,79136673,965.018769513978,-91617601
Transfers recognised - capital,,63143156,0,53961000,53961000,0,5680000,0,5680000,0,0,1931,1931,0,0,24801000,24801000,0,0,0,0,30482931,53961000,-23478069,-43.51,53961000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,-83861952,0,62161184,-37656601,47358927,9516171,-4393550,52481548,1860252,-4327810,5576228,3108670,-2997785,-1652520,14301968,9651663,856094,7367505,44354656,52578255,117820136,62161532,55658604,89.53866194932262,-37656601
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,-83861952,0,62161184,-37656601,47358927,9516171,-4393550,52481548,1860252,-4327810,5576228,3108670,-2997785,-1652520,14301968,9651663,856094,7367505,44354656,52578255,117820136,62161532,55658604,89.53866194932262,-37656601
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,-83861952,0,62161184,-37656601,47358927,9516171,-4393550,52481548,1860252,-4327810,5576228,3108670,-2997785,-1652520,14301968,9651663,856094,7367505,44354656,52578255,117820136,62161532,55658604,89.53866194932262,-37656601
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,-83861952,0,62161184,-37656601,47358927,9516171,-4393550,52481548,1860252,-4327810,5576228,3108670,-2997785,-1652520,14301968,9651663,856094,7367505,44354656,52578255,117820136,62161532,55658604,89.53866194932262,-37656601
