North West: Ditsobotla(NW384) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,37113664,0,43400592,43401000,2895138,41903932,3058481,47857551,2718715,1720349,713037,5152101,-16962,123494,2918942,3025474,2577222,2043430,3960803,8581455,64616581,43400592,21215989,48.88,43401000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,96927534,0,132103271,132103000,8363254,7467348,6996924,22827526,8021715,7709983,7813168,23544866,8437340,8927733,4855091,22220164,7751543,7135193,8407320,23294056,91886612,132103271,-40216659,-30.44,132103000
Service charges - water revenue,,33086642,0,32384700,32385000,3634377,2819414,4331299,10785090,3118048,2607169,595618,6320835,2810406,3141605,4486655,10438666,774323,2574882,2527143,5876348,33420939,32384700,1036239,3.2,32385000
Service charges - sanitation revenue,,7608447,0,7908840,7909000,723552,707687,723467,2154706,640458,722491,721673,2084622,714473,780637,774242,2269352,860193,941958,782302,2584453,9093133,7908840,1184293,14.97,7909000
Service charges - refuse revenue,,10888973,0,10742267,10743000,892622,882559,889940,2665121,891039,889746,891763,2672548,919191,954956,959436,2833583,982515,1028492,1065758,3076765,11248017,10742267,505750,4.71,10743000
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,2477137,0,1629383,1628000,285298,295418,288664,869380,301832,292800,282131,876763,286363,285633,289824,861820,288582,290067,290214,868863,3476826,1629383,1847443,113.38,1628000
Interest earned - external investments,,481780,0,655522,656000,0,0,10878,10878,0,0,0,0,0,0,0,0,0,0,17552,17552,28430,655522,-627092,-95.66,656000
