North West: Ramotshere Moiloa(NW385) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,23926042,0,15000000,47640973,1501449,1619163,1541852,4662464,1041736,1502867,1556127,4100730,1651331,1727705,1726564,5105600,1807726,1741860,2172417,5722003,19590797,15000000,4590797,30.61,47640973
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,61968474,0,27411168,36703347,2759195,2633028,2483911,7876134,2484943,2418714,2430255,7333912,2665731,2428459,2288001,7382191,2473928,2145891,2097654,6717473,29309710,27411168,1898542,6.93,36703347
Service charges - water revenue,,13749450,0,13840000,10682226,850515,626433,777966,2254914,960525,673456,547354,2181335,621203,634939,729966,1986108,716308,598788,133560,1448656,7871013,13840000,-5968987,-43.13,10682226
Service charges - sanitation revenue,,2392672,0,2671000,2460628,189135,189100,197943,576178,196055,193251,192784,582090,196378,197654,189153,583185,195464,188944,194681,579089,2320542,2671000,-350458,-13.12,2460628
Service charges - refuse revenue,,6457896,0,3500000,5309071,567983,577637,579193,1724813,600295,582276,580795,1763366,580997,582549,581204,1744750,582531,581868,567440,1731839,6964768,3500000,3464768,98.99,5309071
Service charges - other,,0,0,0,0,1618184,1625133,1576812,4820129,1581709,1488520,1669924,4740153,1470505,1432970,1532872,4436347,1551612,1547614,1260744,4359970,18356599,,18356599,0,0
Rental of facilities and equipment,,98628,0,250000,167585,5310,4820,11718,21848,16883,7214,4816,28913,0,7657,11377,19034,8896,2944,17281,29121,98916,250000,-151084,-60.43,167585
Interest earned - external investments,,95912,0,100000,124313,7765,15871,13737,37373,10999,8219,15577,34795,2871,2820,3012,8703,8772,234005,7609,250386,331257,100000,231257,231.26,124313
Interest earned - outstanding debtors,,0,0,2725095,29145,1424,978,3445,5847,7465,7685,8148,23298,6351,0,8309,14660,7302,8400,13853,29555,73360,2725095,-2651735,-97.31,29145
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,2579774,0,0,53070,1001869,796755,703313,2501937,887486,994537,629418,2511441,817469,0,776965,1594434,0,840240,2134571,2974811,9582623,,9582623,0,53070
