North West: Naledi (Nw)(NW392) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,29586970,0,39842307,37916798,-28012,6308492,2915753,9196233,3029899,3029899,3021589,9081387,3022173,3022173,3007970,9052316,2885498,2688900,806890,6381288,33711224,39842304,-6131080,-15.39,37916798
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,83528914,0,107548742,91871030,8883735,7602953,9423355,25910043,8509452,8509452,7421868,24440772,8438221,9389635,5797396,23625252,8310235,10308176,5726299,24344710,98320777,107548742,-9227965,-8.58,91871030
Service charges - water revenue,,22480335,0,27868347,23489372,1054937,1464430,1147180,3666547,1275402,1275402,1542445,4093249,1511584,929033,882929,3323546,1054407,814346,824975,2693728,13777070,27868347,-14091277,-50.56,23489372
Service charges - sanitation revenue,,13968700,0,14731844,13896626,1165911,1217694,1199020,3582625,1265111,1265111,1170267,3700489,1266323,1206614,989392,3462329,1261146,1182903,1274707,3718756,14464199,14731845,-267646,-1.82,13896626
Service charges - refuse revenue,,13669973,0,14845442,13248219,1223230,1223284,1215735,3662249,1219318,1219318,1117829,3556465,1220504,1141086,1133879,3495469,1213157,1134470,1138453,3486080,14200263,14845442,-645179,-4.35,13248219
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,1115914,0,949300,703000,54526,47877,46798,149201,59016,59016,53305,171337,37360,84317,46659,168336,36539,45921,211180,293640,782514,949299,-166785,-17.57,703000
Interest earned - external investments,,574971,0,600000,200000,23202,20371,17192,60765,8483,8483,17561,34527,15151,8058,26414,49623,32165,42115,5912,80192,225107,600000,-374893,-62.48,200000
Interest earned - outstanding debtors,,11406180,0,12000000,15000000,874694,1351645,1336744,3563083,1324743,1324743,1450101,4099587,1498927,1420566,1540724,4460217,1410344,1354136,1362555,4127035,16249922,12000000,4249922,35.42,15000000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,1854650,0,340400,301000,21279,15472,16500,53251,32350,32350,13800,78500,25438,67550,126400,219388,43726,50500,29422,123648,474787,340398,134389,39.48,301000
Licences and permits,,5872376,0,5670000,6420000,305814,290979,337362,934155,442882,442882,181338,1067102,122472,3108265,291901,3522638,57081,1033547,745411,1836039,7359934,5670000,1689934,29.8,6420000
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,55906754,0,55559000,53859000,16126000,7672000,0,23798000,0,0,0,0,0,18352529,14139000,32491529,108882,3915619,120099,4144600,60434129,55559000,4875129,8.77,53859000
Other own revenue,,41696720,0,7414900,19789105,159979,674196,205309,1039484,239095,239095,176624,654814,186357,288644,90253,565254,77150,207677,148660,433487,2693039,7414901,-4721862,-63.68,19789105
Gains on disposal of PPE,,0,0,12102000,14000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12102000,-12102000,-100,14000000
Total Revenue (excl. capital transfers and contributions),,281662457,0,299472282,290694150,29865295,27889393,17860948,75615636,17405751,17405751,16166727,50978229,17344510,39018470,28072917,84435897,16490330,22778310,12394563,51663203,262692965,299472278,-36779313,-12.281374838975912,290694150
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,118341874,0,135719064,136182459,11033682,11310661,11108912,33453255,11072163,11072163,11540965,33685291,11340244,11209499,11517066,34066809,11275866,11400418,12546970,35223254,136428609,135719066,709543,0.52,136182459
Remuneration of councillors,,5856071,0,6176381,6176381,472406,472406,491252,1436064,491252,491252,491247,1473751,491247,491241,491468,1473956,491473,793777,518882,1804132,6187903,6176382,11521,0.19,6176381
Debt impairment,,40924919,0,15473357,13918523,277729,279790,291724,849243,295683,295683,295384,886750,295715,302434,302246,900395,309577,316402,316311,942290,3578678,15473357,-11894679,-76.87,13918523
Depreciation and asset impairment,,48634993,0,60600000,60600000,5000000,5000000,5000000,15000000,5000000,5000000,5000000,15000000,5000000,5000000,5000000,15000000,5000000,5000000,5000000,15000000,60000000,60600000,-600000,-0.99,60600000
Finance charges,,16784983,0,18285357,21937900,942942,1184351,1250916,3378209,1121544,1121544,1332992,3576080,1785618,1656073,1877993,5319684,1460781,1401853,2300766,5163400,17437373,18285358,-847985,-4.64,21937900
Bulk purchases,,72911080,0,77500000,80411854,9875727,7922322,8508591,26306640,5612961,5612961,5968246,17194168,6124503,6660157,6360227,19144887,5514016,5618140,9016368,20148524,82794219,77499998,5294221,6.83,80411854
Other Materials,,12805329,0,25056182,25234782,256167,74275,738851,1069293,578089,578089,468952,1625130,913597,203732,-309618,807711,1042963,694567,779585,2517115,6019249,25056180,-19036931,-75.98,25234782
Contracted services,,16342662,0,12027230,15486702,199312,260858,417273,877443,627592,627592,637522,1892706,848139,635756,1531053,3014948,1222145,762281,3312042,5296468,11081565,12027229,-945664,-7.86,15486702
Transfers and grants,,598880,0,1004472,2062330,0,25095,53623,78718,99698,99698,144004,343400,87000,21790,179572,288362,167535,815060,133612,1116207,1826687,1004472,822215,81.86,2062330
Other expenditure,,28569292,0,26245430,23225639,1194554,2076288,1820729,5091571,1690033,1690033,1424395,4804461,1400883,2001635,1754498,5157016,1844006,796237,1431392,4071635,19124683,26245430,-7120747,-27.13,23225639
Loss on disposal of PPE,,9564997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,371335080,0,378087473,385236570,29252519,28606046,29681871,87540436,26589015,26589015,27303707,80481737,28286946,28182317,28704505,85173768,28328362,27598735,35355928,91283025,344478966,378087472,-33608506,-8.889082153983669,385236570
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-89672623,0,-78615191,-94542420,612776,-716653,-11820923,-11924800,-9183264,-9183264,-11136980,-29503508,-10942436,10836153,-631588,-737871,-11838032,-4820425,-22961365,-39619822,-81786001,-78615194,-3170807,4.03332592424818,-94542420
Transfers recognised - capital,,26007214,0,24751000,44751000,11150000,0,0,11150000,2000000,2000000,2000000,6000000,5650000,12000000,15251000,32901000,0,0,0,0,50051000,24751000,25300000,102.22,44751000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,21324273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,-42341136,0,-53864191,-49791420,11762776,-716653,-11820923,-774800,-7183264,-7183264,-9136980,-23503508,-5292436,22836153,14619412,32163129,-11838032,-4820425,-22961365,-39619822,-31735001,-53864194,22129193,-41.08330851474358,-49791420
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,-42341136,0,-53864191,-49791420,11762776,-716653,-11820923,-774800,-7183264,-7183264,-9136980,-23503508,-5292436,22836153,14619412,32163129,-11838032,-4820425,-22961365,-39619822,-31735001,-53864194,22129193,-41.08330851474358,-49791420
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,-42341136,0,-53864191,-49791420,11762776,-716653,-11820923,-774800,-7183264,-7183264,-9136980,-23503508,-5292436,22836153,14619412,32163129,-11838032,-4820425,-22961365,-39619822,-31735001,-53864194,22129193,-41.08330851474358,-49791420
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,-42341136,0,-53864191,-49791420,11762776,-716653,-11820923,-774800,-7183264,-7183264,-9136980,-23503508,-5292436,22836153,14619412,32163129,-11838032,-4820425,-22961365,-39619822,-31735001,-53864194,22129193,-41.08330851474358,-49791420
