North West: Mamusa(NW393) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,7592874,0,9500000,9397005,2563393,461569,727243,3752205,725754,725754,725754,2177262,723723,723723,723721,2171167,721245,832529,733343,2287117,10387751,9500164,887587,9.34,9397005
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,24124233,0,28612400,28612400,2110790,2339458,2272333,6722581,2057472,2033257,2234127,6324856,2583673,2174070,2060341,6818084,2853424,2095184,2344411,7293019,27158540,28612400,-1453860,-5.08,28612400
Service charges - water revenue,,8488837,0,12868170,12868170,914972,948965,1173349,3037286,1109163,976331,831022,2916516,903933,1155328,880883,2940144,850869,804945,1074908,2730722,11624668,12868170,-1243502,-9.66,12868170
Service charges - sanitation revenue,,9213514,0,9326236,9326236,853441,853543,853293,2560277,853295,852598,847626,2553519,846905,847510,846364,2540779,843910,832529,810631,2487070,10141645,9326236,815409,8.74,9326236
Service charges - refuse revenue,,5582937,0,5805458,5805458,491673,491739,491469,1474881,491836,498689,500046,1490571,501905,502703,505628,1510236,517124,541164,543581,1601869,6077557,5805458,272099,4.69,5805458
Service charges - other,,0,0,137060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137060,-137060,-100,0
Rental of facilities and equipment,,380254,0,350000,350000,15999,35462,33705,85166,28849,26269,26238,81356,35645,13242,27557,76444,26697,28500,709473,764670,1007636,350000,657636,187.9,350000
Interest earned - external investments,,232075,0,604136,395846,10017,3065,3065,16147,1053,86945,0,87998,0,5794,1014,6808,4152,34104,8128,46384,157337,604136,-446799,-73.96,395846
Interest earned - outstanding debtors,,12892540,0,8643916,8643916,1061743,78240,1109900,2249883,1141432,1171054,1188510,3500996,1201159,1209013,1226173,3636345,1248538,1269901,1217554,3735993,13123217,8643916,4479301,51.82,8643916
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,41754,0,824288,824288,13568,2544,3158,19270,1009,0,4386,5395,3228,12211,8640,24079,11368,1491,12019,24878,73622,824288,-750666,-91.07,824288
Licences and permits,,2263813,0,1550000,1550000,0,74977,79820,154797,121428,121595,148052,391075,129010,142004,127582,398596,90145,97382,147103,334630,1279098,1550000,-270902,-17.48,1550000
Agency services,,0,0,1258243,1258243,144874,131495,112700,389069,140921,80134,86885,307940,129100,120291,132647,382038,93002,100017,161900,354919,1433966,1258243,175723,13.97,1258243
Transfers recognised - operational,,39254020,0,55360400,65860438,16885000,7363000,0,24248000,0,0,9889000,9889000,0,0,1220000,1220000,57899,10636152,4500725,15194776,50551776,55360200,-4808424,-8.69,65860438
Other own revenue,,941639,0,913018,1567000,318044,66877,41418,426339,413616,38757,211114,663487,48681,46521,472387,567589,40610,57096,118489,216195,1873610,912597,961013,105.31,1567000
Gains on disposal of PPE,,0,0,0,0,0,120,0,120,0,0,0,0,0,0,0,0,0,0,0,0,120,,120,0,0
Total Revenue (excl. capital transfers and contributions),,111008490,0,135753325,146459000,25383514,12851054,6901453,45136021,7085828,6611383,16692760,30389971,7106962,6952410,8232937,22292309,7358983,17330994,12382265,37072242,134890543,135752868,-862325,-0.6352167823076857,146459000
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,43658838,0,57146517,46566000,3448238,3385892,3423269,10257399,3353158,3390912,3966110,10710180,3591936,3884546,3633400,11109882,3717485,3844222,3755532,11317239,43394700,57146686,-13751986,-24.06,46566000
Remuneration of councillors,,5022044,0,4515082,4861073,755511,348727,349099,1453337,348703,354047,350417,1053167,353570,305313,329561,988444,0,348672,359207,707879,4202827,4515082,-312255,-6.92,4861073
Debt impairment,,28593809,0,24244454,24243854,784435,773195,769901,2327531,739174,676742,654308,2070224,648992,287247,296018,1232257,214578,206063,447860,868501,6498513,24243854,-17745341,-73.2,24243854
Depreciation and asset impairment,,12769275,0,899970,10525000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,-900000,-100,10525000
Finance charges,,1206620,0,463000,1156822,19149,124971,176954,321074,132751,339671,25684,498106,28,575634,105662,681324,222185,557890,408126,1188201,2688705,463000,2225705,480.71,1156822
Bulk purchases,,21609365,0,26203392,26203392,3552141,3043081,3011278,9606500,2036412,2938358,0,4974770,9873,4642258,0,4652131,2858442,2806342,2761720,8426504,27659905,26203392,1456513,5.56,26203392
Other Materials,,7240508,0,7400090,9451000,225537,880237,268058,1373832,189771,581849,768646,1540266,250260,1383367,558081,2191708,938472,261610,454908,1654990,6760796,7400000,-639204,-8.64,9451000
Contracted services,,11219656,0,9240695,9041000,739784,100697,2019981,2860462,988032,1449513,356300,2793845,616906,1114796,2100388,3832090,4777744,1395782,823095,6996621,16483018,9240695,7242323,78.37,9041000
Transfers and grants,,58574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319400,319400,319400,,319400,0,0
Other expenditure,,15485487,0,15782000,16100000,830785,853708,1699610,3384103,653451,4300028,1542749,6496228,975518,1820242,2678922,5474682,5480606,2524788,2619794,10625188,25980201,15782460,10197741,64.61,16100000
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,146864176,0,145895200,148148141,10355580,9510508,11718150,31584238,8441452,14031120,7664214,30136786,6447083,14013403,9702032,30162518,18209512,11945369,11949642,42104523,133988065,145895169,-11907104,-8.16141074554703,148148141
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-35855686,0,-10141875,-1689141,15027934,3340546,-4816697,13551783,-1355624,-7419737,9028546,253185,659879,-7060993,-1469095,-7870209,-10850529,5385625,432623,-5032281,902478,-10142301,11044779,-108.89815831732858,-1689141
Transfers recognised - capital,,13616012,0,14991000,14991000,0,0,0,0,0,0,0,0,45956,0,982126,1028082,0,2116342,4859281,6975623,8003705,14991000,-6987295,-46.61,14991000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,-22239674,0,4849125,13301859,15027934,3340546,-4816697,13551783,-1355624,-7419737,9028546,253185,705835,-7060993,-486969,-6842127,-10850529,7501967,5291904,1943342,8906183,4848699,4057484,83.68191137457698,13301859
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,-22239674,0,4849125,13301859,15027934,3340546,-4816697,13551783,-1355624,-7419737,9028546,253185,705835,-7060993,-486969,-6842127,-10850529,7501967,5291904,1943342,8906183,4848699,4057484,83.68191137457698,13301859
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,-22239674,0,4849125,13301859,15027934,3340546,-4816697,13551783,-1355624,-7419737,9028546,253185,705835,-7060993,-486969,-6842127,-10850529,7501967,5291904,1943342,8906183,4848699,4057484,83.68191137457698,13301859
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
