North West: Greater Taung(NW394) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,5743937,0,10171120,0,9872913,-571362,-304,9301247,-319,753963,-786512,-32868,319,319,10249536,10250174,10249536,641,-1136,10249041,29767594,10171120,19596474,192.67,0
Property rates - penalties and collection charges,,1027049,0,990000,0,0,0,0,0,144088,146486,149059,439633,149541,149541,153145,452227,153145,251519,253497,658161,1550021,990000,560021,56.57,0
Service charges - electricity revenue,,2371524,0,3275540,3275540,268204,278858,216198,763260,240479,221546,199413,661438,218346,218346,219451,656143,219451,198800,202145,620396,2701237,3275540,-574303,-17.53,3275540
Service charges - water revenue,,455422,0,2081962,463978,31949,43326,37089,112364,45483,73498,44933,163914,63807,63807,47333,174947,47333,59350,45221,151904,603129,2081962,-1478833,-71.03,463978
Service charges - sanitation revenue,,1489887,0,0,1617984,137142,135764,131988,404894,138274,131059,129306,398639,140167,140167,127224,407558,127224,147491,124851,399566,1610657,,1610657,0,1617984
Service charges - refuse revenue,,2385186,0,2602053,0,224800,217677,208359,650836,214511,189626,190329,594466,248552,248552,219115,716219,219115,224271,221831,665217,2626738,2602053,24685,0.95,0
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,273066,0,485979,12600,24748,31116,40805,96669,26495,2895,36490,65880,20559,20559,29326,70444,29326,33397,28100,90823,323816,485979,-162163,-33.37,12600
Interest earned - external investments,,4525808,0,5538750,0,20025,67732,66224,153981,33826,24216,45562,103604,68391,68391,20996,157778,20996,70763,36066,127825,543188,5538750,-4995562,-90.19,0
Interest earned - outstanding debtors,,1322727,0,1314071,0,119568,121645,125017,366230,128055,125570,133477,387102,135053,135053,133872,403978,133872,171378,143800,449050,1606360,1314071,292289,22.24,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,0,0,6791,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,6791,-6781,-99.85,0
Licences and permits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,120187678,0,139229000,101870003,53307000,1416100,0,54723100,0,44812542,620000,45432542,0,0,36835100,36835100,36835100,0,-1000,36834100,173824842,139229000,34595842,24.85,101870003
Other own revenue,,2030100,0,-47162850,59769434,-83732,-34510,53205,-65037,70524,46781,582618,699923,52861,52861,88885,194607,88885,631038,23585,743508,1573001,3514563,-1941562,-55.24,59769434
Gains on disposal of PPE,,722211,0,-340000,0,0,0,0,0,0,0,0,0,0,0,860,860,860,0,0,860,1720,,1720,0,0
Total Revenue (excl. capital transfers and contributions),,142534595,0,118192416,167009539,63922617,1706356,878581,66507554,1041416,46528182,1344675,48914273,1097596,1097596,48124843,50320035,48124843,1788648,1076960,50990451,216732313,169209829,47522484,28.084942985197394,167009539
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,51662439,0,63623000,43438060,4442471,4271611,4544120,13258202,4667193,4417865,4887123,13972181,4479181,4479181,4966863,13925225,4966863,4315660,4699248,13981771,55137379,63623111,-8485732,-13.34,43438060
