North West: Lekwa-Teemane(NW396) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,13151617,0,13261000,14062000,4778352,838802,839537,6456691,823440,855558,840091,2519089,838248,836540,840397,2515185,850506,-624658,821515,1047363,12538328,13261029,-722701,-5.45,14062000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,49470243,0,48448000,50061248,3952449,3189543,4346371,11488363,4175459,5051406,4032223,13259088,5970228,3663849,3622106,13256183,6214023,2013051,3712708,11939782,49943416,48448113,1495303,3.09,50061248
Service charges - water revenue,,32736253,0,29592000,29474090,-1934432,1557574,3128294,2751436,1760571,-1992804,5022518,4790285,7659477,1795157,2159204,11613838,2456984,1992920,3901455,8351359,27506918,29591519,-2084601,-7.04,29474090
Service charges - sanitation revenue,,27216941,0,17304000,29257970,2521805,2522708,2522279,7566792,1815495,3213807,2523778,7553080,2518763,2522069,2520731,7561563,2525225,2518646,2526227,7570098,30251533,17303500,12948033,74.83,29257970
Service charges - refuse revenue,,0,0,12228000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12227760,-12227760,-100,0
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,958938,0,1255000,845152,32687,36451,48080,117218,35495,41001,160938,237434,40794,47551,47696,136041,39344,43005,131371,213720,704413,1255151,-550738,-43.88,845152
Interest earned - external investments,,229241,0,23000,23170,3832,0,0,3832,5511,-19614,1561,-12542,5052,0,3854,8906,0,6082,234305,240387,240583,23170,217413,938.34,23170
Interest earned - outstanding debtors,,19021446,0,18191000,22615000,1820442,1814898,1870714,5506054,1932924,1912574,1956220,5801718,1931052,2025145,1951818,5908015,1913312,2156390,2027065,6096767,23312554,18191240,5121314,28.15,22615000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,2809150,0,7802000,7801689,0,26780,11900,38680,700,13800,0,14500,2250,18548,30900,51698,15350,23100,21107,59557,164435,7802000,-7637565,-97.89,7801689
Licences and permits,,3600,0,3790,3980,300,300,300,900,300,300,300,900,300,300,300,900,300,300,300,900,3600,3980,-380,-9.55,3980
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,35553538,0,46900528,54211460,14544606,1431394,527138,16503138,0,371000,800000,1171000,0,371000,0,371000,0,11033000,20583305,31616305,49661443,46901000,2760443,5.89,54211460
Other own revenue,,4611146,0,3898000,8454405,82958,670197,165587,918742,345829,45575,250509,641913,164018,873656,132767,1170441,1043322,261343,2548942,3853607,6584703,3898000,2686703,68.93,8454405
Gains on disposal of PPE,,68739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,185830852,0,198906318,216810164,25802999,12088647,13460200,51351846,10895724,9492603,15588138,35976465,19130182,12153815,11309773,42593770,15058366,19423179,36508300,70989845,200911926,198906462,2005464,1.0082447698456372,216810164
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,39291553,0,50866439,62816276,3764996,3888238,3509543,11162777,3720079,3960297,3682416,11362792,3455319,3574450,3716758,10746527,3486477,3642359,4705613,11834449,45106545,50865991,-5759446,-11.32,62816276
Remuneration of councillors,,4467796,0,3953246,3952545,305545,305545,324530,935620,329331,329331,329331,987993,329331,329331,329331,987993,329331,329331,347378,1006040,3917646,3952546,-34900,-0.88,3952545
Debt impairment,,50019496,0,41415905,36231663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41415386,-41415386,-100,36231663
Depreciation and asset impairment,,31464008,0,29825976,34650000,0,0,61794,61794,0,0,0,0,97004,191154,0,288158,97066,0,-349954,-252888,97064,29825474,-29728410,-99.67,34650000
Finance charges,,174226,0,590000,424700,0,0,19447,19447,0,0,0,0,58400,19477,0,77877,58430,0,691077,749507,846831,590000,256831,43.53,424700
Bulk purchases,,51277572,0,54391000,54391128,6734629,7353281,7276720,21364630,6826326,6014377,6128713,18969416,3670506,-7573242,7271631,3368895,5367691,3749977,343067,9460735,53163676,54391128,-1227452,-2.26,54391128
Other Materials,,4823727,0,1799809,12200219,330202,165514,885364,1381080,767048,302751,263457,1333256,359821,281925,365124,1006870,200744,150322,674124,1025190,4746396,1800000,2946396,163.69,12200219
Contracted services,,5398457,0,6299800,5805000,-93574,202252,677169,785847,231112,632638,498904,1362654,1154179,326970,542988,2024137,840470,512604,1598088,2951162,7123800,6300000,823800,13.08,5805000
Transfers and grants,,0,0,18545500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18545000,-18545000,-100,0
Other expenditure,,47382389,0,34639618,59117313,3591527,1983085,2989507,8564119,4157905,2451489,2671750,9281144,3481981,4141123,3108415,10731519,3674107,3398142,4735399,11807648,40384430,34641430,5743000,16.58,59117313
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,234299224,0,242327293,269588844,14633325,13897915,15744074,44275314,16031801,13690883,13574571,43297255,12606541,1291188,15334247,29231976,14054316,11782735,12744792,38581843,155386388,242326955,-86940567,-35.87738186203842,269588844
,,,,,,,,,,,,,,,,,,,,,,,,,,
