North West: Kagisano-Molopo(NW397) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,0,0,7064000,7064000,7064000,0,0,7064000,0,0,0,0,0,0,0,0,0,0,0,0,7064000,7064000,0,0,7064000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,0,0,1250000,1250000,84021,50256,127543,261820,0,0,0,0,0,0,0,0,17961,47619,48223,113803,375623,1250000,-874377,-69.95,1250000
Interest earned - external investments,,0,0,1100000,1100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100000,-1100000,-100,1100000
Interest earned - outstanding debtors,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Licences and permits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,0,0,91589001,91589001,40603520,1330000,0,41933520,0,0,0,0,0,0,0,0,0,0,0,0,41933520,91589000,-49655480,-54.22,91589001
Other own revenue,,0,0,4780000,4780000,1088444,14623012,96649,15808105,0,0,0,0,0,0,0,0,106961,355582,45795,508338,16316443,4780000,11536443,241.35,4780000
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,0,0,105783001,105783001,48839985,16003268,224192,65067445,0,0,0,0,0,0,0,0,124922,403201,94018,622141,65689586,105783000,-40093414,-37.90156641426316,105783001
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,0,0,27205000,27205000,1965937,1836644,2058904,5861485,0,0,0,0,0,1443893,0,1443893,2119290,2517317,2843989,7480596,14785974,27204951,-12418977,-45.65,27205000
Remuneration of councillors,,0,0,9113624,9113624,768723,541403,799465,2109591,0,0,0,0,0,0,0,0,1251248,892583,964483,3108314,5217905,9113624,-3895719,-42.75,9113624
Debt impairment,,0,0,2836000,2836000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2836000,-2836000,-100,2836000
Depreciation and asset impairment,,0,0,21800000,21800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21800000,-21800000,-100,21800000
Finance charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Bulk purchases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,0,0,7380000,7380000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7380000,-7380000,-100,7380000
Transfers and grants,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other expenditure,,0,0,36746998,36746998,2446160,1443391,2186405,6075956,0,0,0,0,0,2783271,0,2783271,3158277,2085713,1962720,7206710,16065937,36747433,-20681496,-56.28,36746998
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,0,0,105081622,105081622,5180820,3821438,5044774,14047032,0,0,0,0,0,4227164,0,4227164,6528815,5495613,5771192,17795620,36069816,105082008,-69012192,-65.67460340118357,105081622
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,0,0,701379,701379,43659165,12181830,-4820582,51020413,0,0,0,0,0,-4227164,0,-4227164,-6403893,-5092412,-5677174,-17173479,29619770,700992,28918778,4125.4077079338995,701379
Transfers recognised - capital,,0,0,0,0,4257000,0,0,4257000,0,0,0,0,0,0,0,0,0,0,0,0,4257000,,4257000,0,0
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,0,0,701379,701379,47916165,12181830,-4820582,55277413,0,0,0,0,0,-4227164,0,-4227164,-6403893,-5092412,-5677174,-17173479,33876770,700992,33175778,4732.689959371862,701379
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,0,0,701379,701379,47916165,12181830,-4820582,55277413,0,0,0,0,0,-4227164,0,-4227164,-6403893,-5092412,-5677174,-17173479,33876770,700992,33175778,4732.689959371862,701379
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,0,0,701379,701379,47916165,12181830,-4820582,55277413,0,0,0,0,0,-4227164,0,-4227164,-6403893,-5092412,-5677174,-17173479,33876770,700992,33175778,4732.689959371862,701379
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,0,0,701379,701379,47916165,12181830,-4820582,55277413,0,0,0,0,0,-4227164,0,-4227164,-6403893,-5092412,-5677174,-17173479,33876770,700992,33175778,4732.689959371862,701379
