North West: Ventersdorp(NW401) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,5458424,0,8755960,8755960,517985,831523,817773,2167281,0,824541,823722,1648263,823465,817945,833260,2474670,814155,819025,-50426,1582754,7872968,8755960,-882992,-10.08,8755960
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,34457972,0,44981839,44981839,2931822,2849971,2882859,8664652,0,2971571,2930057,5901628,2652977,1776805,3003051,7432833,3191165,2853692,6803278,12848135,34847248,44981839,-10134591,-22.53,44981839
Service charges - water revenue,,2367876,0,4218220,4218220,197113,219481,224685,641279,0,133400,201027,334427,262773,473709,1061517,1797999,828692,-357916,381044,851820,3625525,4218220,-592695,-14.05,4218220
Service charges - sanitation revenue,,4312744,0,6437850,6437850,485489,484212,484000,1453701,0,484086,484086,968172,484086,445795,968292,1898173,484197,479676,484682,1448555,5768601,6437850,-669249,-10.4,6437850
Service charges - refuse revenue,,2720636,0,4235440,4235440,318009,317844,317988,953841,0,318096,318096,636192,318096,287294,636072,1241462,318171,318171,318171,954513,3786008,4235440,-449432,-10.61,4235440
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,100542,0,82320,82320,2638,18133,6521,27292,0,8655,6336,14991,3219,1700,5403,10322,1010,5565,15749,22324,74929,82320,-7391,-8.98,82320
Interest earned - external investments,,687060,0,355770,355770,59777,37357,305816,402950,0,38640,33758,72398,51806,51025,35105,137936,28045,20766,8903,57714,670998,355770,315228,88.6,355770
