North West: Tlokwe(NW402) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,0,0,114582929,114833961,9789259,9794657,9890575,29474491,9887441,9849092,9928244,29664777,9967760,10013603,10144294,30125657,10060625,10057972,10069560,30188157,119453082,114582929,4870153,4.25,114833961
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,566450217,562587477,60850366,60468543,55962579,177281488,44825418,44112199,37805377,126742994,39970307,38664907,40299475,118934689,43179295,37418622,43121101,123719018,546678189,530409737,16268452,3.07,562587477
Service charges - water revenue,,0,0,86072140,87704040,6901550,7039092,7518141,21458783,7914303,4883071,7320156,20117530,8682762,7587837,6586927,22857526,7711843,7443848,6805793,21961484,86395323,86072140,323183,0.38,87704040
Service charges - sanitation revenue,,0,0,47940751,50257595,4146982,4138738,4129591,12415311,4176519,4510625,4132574,12819718,4570714,4285432,4177318,13033464,4212279,4235566,4320999,12768844,51037337,47940751,3096586,6.46,50257595
Service charges - refuse revenue,,0,0,30840893,37915893,3133921,3150393,3157303,9441617,3130643,3156843,3162109,9449595,3160277,3172321,3163177,9495775,3157715,3155837,3167484,9481036,37868023,30840893,7027130,22.79,37915893
Service charges - other,,0,0,0,33600,2009,7344,3019,12372,1635,4056,1600,7291,1752,1891,1690,5333,1600,2030,1962,5592,30588,,30588,0,33600
Rental of facilities and equipment,,0,0,2304400,4423076,334141,259061,421802,1015004,470858,292390,393695,1156943,424394,370985,379335,1174714,330449,282646,591421,1204516,4551177,5965456,-1414279,-23.71,4423076
Interest earned - external investments,,0,0,11000000,23000000,958185,668481,1023954,2650620,1223697,786517,532607,2542821,1148357,928948,887988,2965293,940739,1077028,729372,2747139,10905873,11000000,-94127,-0.86,23000000
Interest earned - outstanding debtors,,0,0,10000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,-10000000,-100,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,0,0,10500000,4573150,190756,149584,5987,346327,3741,129746,416270,549757,350874,14634,1130276,1495784,658478,1634329,1494430,3787237,6179105,10500000,-4320895,-41.15,4573150
Licences and permits,,0,0,48960400,4547528,370947,418278,378822,1168047,344238,585780,243645,1173663,332311,590182,363678,1286171,533027,362291,509198,1404516,5032397,6750000,-1717603,-25.45,4547528
Agency services,,0,0,0,300000,57141,0,53651,110792,14494,0,53982,68476,0,50990,26904,77894,23037,31142,38524,92703,349865,,349865,0,300000
Transfers recognised - operational,,0,0,106710153,180899891,45472025,4753811,4123812,54349648,6637009,3386547,28913971,38937527,5672305,7229002,41926363,54827670,9333211,14865852,7316629,31515692,179630537,110540650,69089887,62.5,180899891
Other own revenue,,0,0,33360300,18938001,1238598,1229894,1689703,4158195,3204362,1840210,1286535,6331107,2594668,1330984,3744655,7670307,1381831,1304431,1856106,4542368,22701977,52539277,-29837300,-56.79,18938001
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,0,0,1068722183,1090014212,133445880,92077876,88358939,313882695,81834358,73537076,94190765,249562199,76876481,74241716,112832080,263950277,81524129,81871594,80022579,243418302,1070813473,1017141833,53671640,5.276711492801221,1090014212
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,0,0,0,292349626,23329250,20933657,21377411,65640318,21281695,21533688,21988749,64804132,22626403,22754293,22219433,67600129,23247573,22248986,23463062,68959621,267004200,315373352,-48369152,-15.34,292349626
Remuneration of councillors,,0,0,16715320,16715320,1347749,1347026,1379269,4074044,1366887,1358814,1349749,4075450,1366189,1343535,1343535,4053259,1390691,2581621,1486471,5458783,17661536,16715320,946216,5.66,16715320
