North West: City Of Matlosana(NW403) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,190356831,0,230478416,217644000,18149382,20331488,22320422,60801292,22201020,22097879,21755446,66054345,22147498,26143777,23774748,72066023,23586497,23232568,2033397,48852462,247774122,230478416,17295706,7.5,217644000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,576582490,0,584282257,653346015,51449852,56409947,52032885,159892684,49116647,45821462,46546792,141484901,45492695,47849670,46184323,139526688,46893612,61288020,45044975,153226607,594130880,584282257,9848623,1.69,653346015
Service charges - water revenue,,283922786,0,388194777,434929000,21224567,25226132,23994232,70444931,30139790,27759074,26842430,84741294,22263867,30099063,25802497,78165427,25215955,73851013,24317299,123384267,356735919,388194777,-31458858,-8.1,434929000
Service charges - sanitation revenue,,60810434,0,46507549,103162341,4968225,5612286,5635139,16215650,5655626,5724420,5769718,17149764,5762019,5276140,6066456,17104615,5864248,21388222,5824842,33077312,83547341,46507549,37039792,79.64,103162341
Service charges - refuse revenue,,67588142,0,70562857,152764234,5321638,7945869,7857998,21125505,7763126,7714196,7684279,23161601,7637773,7620605,7514346,22772724,7524773,38982419,7506394,54013586,121073416,70562857,50510559,71.58,152764234
Service charges - other,,0,0,158477100,2730560,1742242,2730022,825040,5297304,4362980,609166,2681606,7653752,1464826,224944,1538790,3228560,2873123,1740958,1508561,6122642,22302258,158476644,-136174386,-85.93,2730560
Rental of facilities and equipment,,4909224,0,6424778,5329350,444275,375451,321234,1140960,671918,360461,453868,1486247,445341,371368,483364,1300073,543009,469489,516054,1528552,5455832,6424778,-968946,-15.08,5329350
Interest earned - external investments,,57067891,0,5347955,2500000,28342,29050,23305,80697,31446,23345,24822,79613,164805,668,42363,207836,9199,2510,1423,13132,381278,5347955,-4966677,-92.87,2500000
Interest earned - outstanding debtors,,0,0,38650076,76322000,5311775,1948262,5376308,12636345,5462046,8841102,8804334,23107482,8580673,8238135,7464873,24283681,9175081,9424819,9457295,28057195,88084703,38650076,49434627,127.9,76322000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,26332594,0,7500000,2150000,108953,156069,101452,366474,215328,121401,56716,393445,209518,277385,279274,766177,94393,266708,219925,581026,2107122,7500000,-5392878,-71.91,2150000
Licences and permits,,7012811,0,7000263,5756500,495657,535205,425589,1456451,451488,782311,428224,1662023,628064,465706,594637,1688407,737076,622491,691623,2051190,6858071,7000000,-141929,-2.03,5756500
Agency services,,0,0,14378358,6928000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14378358,-14378358,-100,6928000
Transfers recognised - operational,,355935444,0,347183090,348750000,123111000,1699000,0,124810000,0,62864000,974000,63838000,0,0,574000,574000,0,38000000,39880000,77880000,267102000,347183000,-80081000,-23.07,348750000
Other own revenue,,70553910,0,109695914,105209000,7595056,8797854,7551524,23944434,5994107,9382478,6900676,22277261,8411447,6522474,8011280,22945201,9265420,7610405,8269516,25145341,94312237,109696414,-15384177,-14.02,105209000
Gains on disposal of PPE,,0,0,422000,1000000,0,0,0,0,0,0,0,0,0,0,4000000,4000000,0,0,0,0,4000000,422000,3578000,847.87,1000000
Total Revenue (excl. capital transfers and contributions),,1701072557,0,2015105390,2118521000,239950964,131796635,126465128,498212727,132065522,192101295,128922911,453089728,123208526,133089935,132330951,388629412,131782386,276879622,145271304,553933312,1893865179,2015105081,-121239902,-6.016554826006118,2118521000
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,456008076,0,468821566,461871292,36712073,36720944,37230634,110663651,37265020,37611695,36704156,111580871,39394606,35544198,37554353,112493157,35534169,36760207,36431282,108725658,443463337,468822050,-25358713,-5.41,461871292
